sentence_id,file,sentence,cited_keys,survey_arxiv_id,survey_title,cited_keys_split,n_cited_keys,n_resolved,resolved_titles,resolved_authors,resolved_years,resolved_abstracts,resolved_context,resolution_source
s0003,discussion_and_conclusion.tex,"In sparse feedback domains, agents can improve sample efficiency by assigning intrinsic value to interactions with high prediction errors or verifier disagreement ~\citep{schmidhuber1991possibility, zhao2026curious}.","schmidhuber1991possibility, zhao2026curious",2607.13104,Self-Improvements in Modern Agentic Systems: A Survey,schmidhuber1991possibility;zhao2026curious,2,2,A possibility for implementing curiosity and boredom in model-building neural controllers;Curious Causality-Seeking Agents in Open-ended Worlds,"Schmidhuber, J{\""u}rgen;Zhao, Zhiyu and Li, Haoxuan and Zhang, Haifeng and Wang, Jun and Faccio, Francesco and Schmidhuber, J{\""u}rgen and Yang, Mengyue",1991;2026,;,"schmidhuber1991possibility, title={A possibility for implementing curiosity and boredom in model-building neural controllers}, author={Schmidhuber, J{\""u}rgen}, booktitle={Proc. of the international conference on simulation of adaptive behavior: From animals to animats}, pages={222--227}, year={1991};zhao2026curious, title={Curious Causality-Seeking Agents in Open-ended Worlds}, author={Zhao, Zhiyu and Li, Haoxuan and Zhang, Haifeng and Wang, Jun and Faccio, Francesco and Schmidhuber, J{\""u}rgen and Yang, Mengyue}, journal={Advances in Neural Information Processing Systems}, volume={38}, pages={153856--153893}, year={2026}",bib;bib
s0006,main.tex,"\citet{cmdc}, \citet{li2023detection}, \citet{shin2022detection} use the Hamilton Depression Rating Scale (HAMD) \cite{RENEMANE2021175} to annotate the dataset for Major Depressive Disorder (MDD) or suicidal ideation (SDI), while \citet{jiang2022mmda} uses both HAMD and Hamilton Anxiety Rating Scale (HAMA) \cite{matza2010identifying} for depression and anxiety labeling.",cmdc;li2023detection;shin2022detection;RENEMANE2021175;jiang2022mmda;matza2010identifying,2607.03540,Mental Health Disorder Detection Beyond Social Media: A Systematic Review of Available Datasets,cmdc;li2023detection;shin2022detection;RENEMANE2021175;jiang2022mmda;matza2010identifying,6,6,"Semi-Structural Interview-Based Chinese Multimodal Depression Corpus Towards Automatic Preliminary Screening of Depressive Disorders;Detection of suicidal ideation in clinical interviews for depression using natural language processing and machine learning: cross-sectional study;Detection of depression and suicide risk based on text from clinical interviews using machine learning: possibility of a new objective diagnostic marker;Chapter 17 - Hamilton depression rating scale: Uses and applications;MMDA: A Multimodal Dataset for Depression and Anxiety Detection;Identifying HAM-A cutoffs for mild, moderate, and severe generalized anxiety disorder","Zou, Bochao and Han, Jiali and Wang, Yingxue and Liu, Rui and Zhao, Shenghui and Feng, Lei and Lyu, Xiangwen and Ma, Huimin;Li, Tim MH and Chen, Jie and Law, Framenia OC and Li, Chun-Tung and Chan, Ngan Yin and Chan, Joey WY and Chau, Steven WH and Liu, Yaping and Li, Shirley Xin and Zhang, Jihui and others;Shin, Daun and Kim, Kyungdo and Lee, Seung-Bo and Lee, Changwoo and Bae, Ye Seul and Cho, Won Ik and Kim, Min Ji and Hyung Keun Park, C and Chie, Eui Kyu and Kim, Nam Soo and others;Lubova Renemane and Jelena Vrublevska;Jiang, Yueqi and Zhang, Ziyang and Sun, Xiao;Matza, Louis S and Morlock, Robert and Sexton, Chris and Malley, Karen and Feltner, Douglas",2023;2023;2022;2021;2022;2010,;;;;;,"cmdc, author={Zou, Bochao and Han, Jiali and Wang, Yingxue and Liu, Rui and Zhao, Shenghui and Feng, Lei and Lyu, Xiangwen and Ma, Huimin}, journal={IEEE Transactions on Affective Computing}, title={Semi-Structural Interview-Based Chinese Multimodal Depression Corpus Towards Automatic Preliminary Screening of Depressive Disorders}, year={2023}, volume={14}, number={4}, pages={2823-2838};li2023detection, title={Detection of suicidal ideation in clinical interviews for depression using natural language processing and machine learning: cross-sectional study}, author={Li, Tim MH and Chen, Jie and Law, Framenia OC and Li, Chun-Tung and Chan, Ngan Yin and Chan, Joey WY and Chau, Steven WH and Liu, Yaping and Li, Shirley Xin and Zhang, Jihui and others}, journal={JMIR medical informatics}, volume={11}, number={1}, pages={e50221}, year={2023}, publisher={JMIR Publications Inc., Toronto, Canada};shin2022detection, title={Detection of depression and suicide risk based on text from clinical interviews using machine learning: possibility of a new objective diagnostic marker}, author={Shin, Daun and Kim, Kyungdo and Lee, Seung-Bo and Lee, Changwoo and Bae, Ye Seul and Cho, Won Ik and Kim, Min Ji and Hyung Keun Park, C and Chie, Eui Kyu and Kim, Nam Soo and others}, journal={Frontiers in psychiatry}, volume={13}, pages={801301}, year={2022}, publisher={Frontiers Media SA};RENEMANE2021175, title = {Chapter 17 - Hamilton depression rating scale: Uses and applications}, editor = {Colin R. Martin and Lan-Anh Hunter and Vinood B. Patel and Victor R. Preedy and Rajkumar Rajendram}, booktitle = {The Neuroscience of Depression}, publisher = {Academic Press}, pages = {175-183}, year = {2021}, author = {Lubova Renemane and Jelena Vrublevska};jiang2022mmda, title={MMDA: A Multimodal Dataset for Depression and Anxiety Detection}, author={Jiang, Yueqi and Zhang, Ziyang and Sun, Xiao}, booktitle={Proceedings of ICPR}, year={2022};matza2010identifying, title={Identifying HAM-A cutoffs for mild, moderate, and severe generalized anxiety disorder}, author={Matza, Louis S and Morlock, Robert and Sexton, Chris and Malley, Karen and Feltner, Douglas}, journal={International journal of methods in psychiatric research}, volume={19}, number={4}, pages={223--232}, year={2010}, publisher={Wiley Online Library}",bib;bib;bib;bib;bib;bib
s0007,main.tex,"In this survey, ICD-9 is used by \citet{hcet2021}, while \citet{xu2025identifying} and \citet{wawer2022single} utilize ICD-10 for data annotation, and \citet{ive2024data} uses both editions to label anxiety.",hcet2021;xu2025identifying;wawer2022single;ive2024data,2607.03540,Mental Health Disorder Detection Beyond Social Media: A Systematic Review of Available Datasets,hcet2021;xu2025identifying;wawer2022single;ive2024data,4,4,HCET: Hierarchical Clinical Embedding With Topic Modeling on Electronic Health Records for Predicting Future Depression;Identifying Psychiatric Manifestations in Outpatients with Depression and Anxiety: A Large Language Model-Based Approach;Single and cross-disorder detection for autism and schizophrenia;A Data-Centric Approach to Detecting and Mitigating Demographic Bias in Pediatric Mental Health Text: A Case Study in Anxiety Detection,"Meng, Yiwen and Speier, William and Ong, Michael and Arnold, Corey W.;Xu, Shihao and Yan, Yiming and Ding, Yanli and Li, Feng and Zhang, Shu and Tang, Haoyun and Luo, Chao and Li, Yan and Liu, Hao and Mei, Yu and others;Wawer, Aleksander and Chojnicka, Izabela and Okruszek, Lukasz and Sarzynska-Wawer, Justyna;Ive, Julia and Bondaronek, Paulina and Yadav, Vishal and Santel, Daniel and Glauser, Tracy and Cheng, Tina and Strawn, Jeffrey R and Agasthya, Greeshma and Tschida, Jordan and Choo, Sanghyun and others",2021;2025;2022;2024,;;;,"hcet2021, author={Meng, Yiwen and Speier, William and Ong, Michael and Arnold, Corey W.}, journal={IEEE Journal of Biomedical and Health Informatics}, title={HCET: Hierarchical Clinical Embedding With Topic Modeling on Electronic Health Records for Predicting Future Depression}, year={2021}, volume={25}, number={4}, pages={1265-1272};xu2025identifying, title={Identifying Psychiatric Manifestations in Outpatients with Depression and Anxiety: A Large Language Model-Based Approach}, author={Xu, Shihao and Yan, Yiming and Ding, Yanli and Li, Feng and Zhang, Shu and Tang, Haoyun and Luo, Chao and Li, Yan and Liu, Hao and Mei, Yu and others}, journal={medRxiv}, pages={2025--01}, year={2025}, publisher={Cold Spring Harbor Laboratory Press};wawer2022single, title={Single and cross-disorder detection for autism and schizophrenia}, author={Wawer, Aleksander and Chojnicka, Izabela and Okruszek, Lukasz and Sarzynska-Wawer, Justyna}, journal={Cognitive Computation}, volume={14}, number={1}, pages={461--473}, year={2022}, publisher={Springer};ive2024data, title={A Data-Centric Approach to Detecting and Mitigating Demographic Bias in Pediatric Mental Health Text: A Case Study in Anxiety Detection}, author={Ive, Julia and Bondaronek, Paulina and Yadav, Vishal and Santel, Daniel and Glauser, Tracy and Cheng, Tina and Strawn, Jeffrey R and Agasthya, Greeshma and Tschida, Jordan and Choo, Sanghyun and others}, journal={arXiv preprint arXiv:2501.00129}, year={2024}",bib;bib;bib;bib
s0010,main3_ieee_preprint.tex,\textsc{WizardMath}~\cite{luo2023wizardmath} applies iterative difficulty amplification; \textsc{MetaMath}~\cite{yu2024metamath} uses backward question rewriting; \textsc{DeepTheorem}~\cite{zhang2025deeptheorem} filters for difficulty $\geq 5$ and constructs entailing/contradictory theorem variants to ensure non-trivial binary rewards.,luo2023wizardmath;yu2024metamath;zhang2025deeptheorem,2606.08728,"Artificial Intelligence for Mathematical Reasoning: An Integrated Survey of Language Models, Neuro-symbolic Systems, and Verified Discovery",luo2023wizardmath;yu2024metamath;zhang2025deeptheorem,3,3,{WizardMath}: Empowering mathematical reasoning for large language models via Reinforced Evol-Instruct;{MetaMath}: Bootstrap Your Own Mathematical Questions for Large Language Models;{DeepTheorem}: Advancing {LLM} Reasoning for Theorem Proving Through Natural Language and Reinforcement Learning,"Luo, Haipeng and Sun, Qingfeng and Xu, Can and Zhao, Pu and Lou, Jianguang and Tao, Chongyang and Geng, Xiubo and Lin, Qingwei and Chen, Shifeng and Zhang, Dongmei;Yu, Longhui and Jiang, Weisen and Shi, Han and Yu, Jincheng and Liu, Zhengying and Zhang, Yu and Kwok, James T and Li, Zhenguo and Weller, Adrian and Liu, Weiyang;Zhang, Ziyin and Xu, Jiahao and He, Zhiwei and Liang, Tian and Liu, Qiuzhi and Li, Yansi and Song, Linfeng and Liang, Zhenwen and Zhang, Zhuosheng and Wang, Rui and Tu, Zhaopeng and Mi, Haitao and Yu, Dong",2023;2024;2025,;;,"luo2023wizardmath, title = {{WizardMath}: Empowering mathematical reasoning for large language models via Reinforced Evol-Instruct}, author = {Luo, Haipeng and Sun, Qingfeng and Xu, Can and Zhao, Pu and Lou, Jianguang and Tao, Chongyang and Geng, Xiubo and Lin, Qingwei and Chen, Shifeng and Zhang, Dongmei}, journal = {arXiv preprint arXiv:2308.09583}, year = {2023};yu2024metamath, title = {{MetaMath}: Bootstrap Your Own Mathematical Questions for Large Language Models}, author = {Yu, Longhui and Jiang, Weisen and Shi, Han and Yu, Jincheng and Liu, Zhengying and Zhang, Yu and Kwok, James T and Li, Zhenguo and Weller, Adrian and Liu, Weiyang}, journal = {ICLR}, year = {2024};zhang2025deeptheorem, title = {{DeepTheorem}: Advancing {LLM} Reasoning for Theorem Proving Through Natural Language and Reinforcement Learning}, author = {Zhang, Ziyin and Xu, Jiahao and He, Zhiwei and Liang, Tian and Liu, Qiuzhi and Li, Yansi and Song, Linfeng and Liang, Zhenwen and Zhang, Zhuosheng and Wang, Rui and Tu, Zhaopeng and Mi, Haitao and Yu, Dong}, journal = {arXiv preprint arXiv:2505.23754}, year = {2025}",bib;bib;bib
s0013,acl_latex_new.tex,"This mechanism enables systematic error correction and sustained performance improvement across episodes, establishing introspective reflection as a central mechanism rather than a peripheral heuristic.Building on this paradigm,~\citet{Liu2023ThinkinMemoryRA} introduces a post-reasoning verification stage to retain only validated memories, while~\citet{Zhang2025ConstructingCS} detects contradictory or erroneous segments through introspective consistency checks, thereby limiting error accumulatio",Liu2023ThinkinMemoryRA;Zhang2025ConstructingCS,2605.06716,From Storage to Experience: A Survey on the Evolution of LLM Agent Memory Mechanisms,Liu2023ThinkinMemoryRA;Zhang2025ConstructingCS,2,2,Think-in-memory: Recalling and post-thinking enable llms with long-term memory;Constructing coherent spatial memory in llm agents through graph rectification,;,;,;,"Lei Liu, Xiaoyan Yang, Yue Shen, Binbin Hu, Zhiqiang Zhang, Jinjie Gu, and Guannan Zhang. 2023. Think-in-memory: Recalling and post-thinking enable llms with long-term memory. ArXiv, abs/2311.08719.;Puzhen Zhang, Xuyang Chen, Yu Feng, Yuhan Jiang, and Liqiu Meng. 2025{\natexlab{h}}. Constructing coherent spatial memory in llm agents through graph rectification. ArXiv, abs/2510.04195.",bbl;bbl
s0017,5-defense.tex,"TrustRAG~\citep{zhou2025trustrag} and SeCon-RAG~\citep{si2025seconrag} use clustering, trust scoring, semantic similarity, and contradiction-aware filtering to distinguish benign from malicious retrieved content.",zhou2025trustrag;si2025seconrag,2604.16548,"A Survey on Long-Term Memory Security in LLM Agents: Attacks, Defenses, and Governance Across the Memory Lifecycle",zhou2025trustrag;si2025seconrag,2,2,{TrustRAG}: Enhancing robustness and trustworthiness in retrieval-augmented generation;{SeCon-RAG}: A two-stage semantic filtering and conflict-free framework for trustworthy {RAG},"Zhou, Huichi and Lee, Kin-Hei and Zhan, Zhonghao and Chen, Yue and Li, Zhenhao and others;Si, Xiaonan and Zhu, Meilin and Qin, Simeng and Yu, Lijia and Zhang, Lijun and Liu, Shuaitong and Li, Xinfeng and Duan, Ranjie and Liu, Yang and Jia, Xiaojun",2025;2025,;,"zhou2025trustrag, title={{TrustRAG}: Enhancing robustness and trustworthiness in retrieval-augmented generation}, author={Zhou, Huichi and Lee, Kin-Hei and Zhan, Zhonghao and Chen, Yue and Li, Zhenhao and others}, journal={arXiv preprint arXiv:2501.00879}, year={2025}, note={AAAI 2026 Workshop};si2025seconrag, title={{SeCon-RAG}: A two-stage semantic filtering and conflict-free framework for trustworthy {RAG}}, author={Si, Xiaonan and Zhu, Meilin and Qin, Simeng and Yu, Lijia and Zhang, Lijun and Liu, Shuaitong and Li, Xinfeng and Duan, Ranjie and Liu, Yang and Jia, Xiaojun}, journal={arXiv preprint arXiv:2510.09710}, year={2025}, note={NeurIPS 2025}",bib;bib
s0019,main-v2-compressed-arxiv.tex,"& \cite{wang2021} (emotion), \cite{guelorget2021} (slant, annotation effort), \cite{jarquin2023} (annotation, imbalance), \cite{kozienkop2023} (subjectivity, disagreement), \cite{rasheeda2023} (ambiguous designs), \cite{paraskevopoulos2022} (subjectivity) \\ \addlinespace Model interpretability \& explainability & The development of models whose decision-making processes are transparent and understandable.",wang2021;guelorget2021;jarquin2023;kozienkop2023;rasheeda2023;paraskevopoulos2022,2605.23910,Document Classification Pattern Recognition via Information Fusion: A Systematic Review of Multimodal and Multiview Representation Approaches,wang2021;guelorget2021;jarquin2023;kozienkop2023;rasheeda2023;paraskevopoulos2022,6,6,"Implicit Emotion Relationship Mining Based on Optimal and Majority Synthesis From Multimodal Data Prediction;Active learning to measure opinion and violence in French newspapers;Overview of DA-VINCIS at IberLEF 2023: Detection of Aggressive and Violent Incidents from Social Media in Spanish;Human-centered neural reasoning for subjective content processing: Hate speech, emotions, and humor;Cover-based multiple book genre recognition using an improved multimodal network;Multimodal Classification of Safety-Report Observations",Xinzhi Wang and Yudong Chang and Vijayan Sugumaran and Xiangfeng Luo and Peng Wang and Hui Zhang;Paul Guélorget and Guillaume Gadek and Titus Zaharia and Bruno Grilheres;Horacio Jarquín-Vásquez and Delia Irazú Hernández-Farías and Luis Joaquín Arellano and Hugo Jair Escalante and Luis Villaseñor-Pineda and Manuel Montes-y-Gómez and Fernando Sanchez-Vega;Przemysław Kazienko and Julita Bielaniewicz and Marcin Gruza and Kamil Kanclerz and Konrad Karanowski and Piotr Miłkowski and Jan Kocoń;Assad Rasheed and Arif Iqbal Umar and Syed Hamad Shirazi and Zakir Khan and Muhammad Shahzad;Georgios Paraskevopoulos and Petros Pistofidis and Georgios Banoutsos and Efthymios Georgiou and Vassilis Katsouros,2021;2021;2023;2023;2022;2022,"Emotion is precious, useful for many applications such as public opinion detection and psychological disease prediction. Emotion recognition on multimodal data has attracted extensive attention. Although modifying model structure or multimodal feature fusion methods have contributed a lot to emotion recognition, little attention is paid to mining implicit emotion relationship. In this article, implicit emotion relationship consists of emotion distribution, confusion, and transfer. Emotion distribution allows multiple emotions in one sample, while confusion and transfer imply the prediction confusion and bias. In order to mine implicit emotion relationship in multimodal data, this article employs three image and two text classification models to recognize emotions, respectively. Two predict;News articles analysis may be oversimplified when restricted to detecting classes of interest already benefiting from trustworthy labeled datasets, like political affiliation or fakeness. Behind an apparent neutrality, an editorial slant may be embodied by favoring one-sided interviews, avoiding topics or choosing oriented illustrations. These challenges, seen as machine learning problems, would require a tedious annotation task. We introduce ReALMS, an active learning framework capable of quickly elaborating models which detect arbitrary classes in multi-modal text and image documents. Evidence of this capability is given by a case study on French news outlets: the detection of subjectivity, demonstrations and violence.;In this paper, we present the overview of the DA-VINCIS 2023 shared task which was organized at IberLEF 2023 and co-located in the framework of the 39th International Conference of the Spanish Society for Natural Language Processing (SEPLN 2023). The main aim of this task is to promote the research on developing automatic solutions for detecting violent events in social networks. Two subtasks were considered: (i) A binary classification task aimed to determine whether or not a tweet is about a violent incident; and (ii) A multi-label multi-class classification task in which the category(ies) of a violent incident must be identified. A multimodal manual annotated corpus comprising both tweets and images associated to them was provided to the participants. A total of 15 systems were submitte;Some tasks in content processing, e.g., natural language processing (NLP), like hate or offensive speech and emotional or funny text detection, are subjective by nature. Each human may perceive some content individually. The existing reasoning methods commonly rely on agreed output values, the same for all recipients. We propose fundamentally different — personalized solutions applicable to any subjective NLP task. Our five new deep learning models take into account not only the textual content but also the opinions and beliefs of a given person. They differ in their approaches to learning Human Bias (HuBi) and fusion with content (text) representation. The experiments were carried out on 14 tasks related to offensive, emotional, and humorous texts. Our personalized HuBi methods radically ;Despite the idiom not to prejudge something by its outward appearance, we consider deep learning to learn whether we can judge a book by its cover or, more precisely, by its text and design. The classification was accomplished using three strategies, i.e., text only, image only, and both text and image. State-of-the-art CNNs (convolutional neural networks) models were used to classify books through cover images. The Gram and SE layers (squeeze and excitation) were used as an attention unit in them to learn the optimal features and identify characteristics from the cover image. The Gram layer enabled more accurate multi-genre classification than the SE layer. The text-based classification was done using word-based, character-based, and feature engineering-based models. We designed EXplicit ;Modern businesses are obligated to conform to regulations to prevent physical injuries and ill health for anyone present on a site under their responsibility, such as customers, employees and visitors. Safety officers (SOs) are engineers, who perform site audits to businesses, record observations regarding possible safety issues and make appropriate recommendations. In this work, we develop a multimodal machine-learning architecture for the analysis and categorization of safety observations, given textual descriptions and images taken from the location sites. For this, we utilize a new multimodal dataset, Safety4All, which contains 5344 safety-related observations created by 86 SOs in 486 sites. An observation consists of a short issue description, written by the SOs, accompanied with imag","wang2021, author = {Xinzhi Wang and Yudong Chang and Vijayan Sugumaran and Xiangfeng Luo and Peng Wang and Hui Zhang}, journal = {IEEE MultiMedia}, title = {Implicit Emotion Relationship Mining Based on Optimal and Majority Synthesis From Multimodal Data Prediction}, year = {2021}, issn = {1941-0166}, month = apr, number = {2}, pages = {96--105}, volume = {28}, abstract = {Emotion is precious, useful for many applications such as public opinion detection and psychological disease prediction. Emotion recognition on multimodal data has attracted extensive attention. Although modifying model structure or multimodal feature fusion methods have contributed a lot to emotion recognition, little attention is paid to mining implicit emotion relationship. In this article, implicit emotion relationsh;guelorget2021, author = {Paul Guélorget and Guillaume Gadek and Titus Zaharia and Bruno Grilheres}, journal = {Procedia Computer Science}, title = {Active learning to measure opinion and violence in French newspapers}, year = {2021}, issn = {1877-0509}, pages = {202--211}, volume = {192}, abstract = {News articles analysis may be oversimplified when restricted to detecting classes of interest already benefiting from trustworthy labeled datasets, like political affiliation or fakeness. Behind an apparent neutrality, an editorial slant may be embodied by favoring one-sided interviews, avoiding topics or choosing oriented illustrations. These challenges, seen as machine learning problems, would require a tedious annotation task. We introduce ReALMS, an active learning framework capable of qui;jarquin2023, author = {Horacio Jarquín-Vásquez and Delia Irazú Hernández-Farías and Luis Joaquín Arellano and Hugo Jair Escalante and Luis Villaseñor-Pineda and Manuel Montes-y-Gómez and Fernando Sanchez-Vega}, journal = {Procesamiento del Lenguaje Natural}, title = {Overview of DA-VINCIS at IberLEF 2023: Detection of Aggressive and Violent Incidents from Social Media in Spanish}, year = {2023}, issn = {1989-7553}, month = {9}, pages = {351–360}, abstract = {In this paper, we present the overview of the DA-VINCIS 2023 shared task which was organized at IberLEF 2023 and co-located in the framework of the 39th International Conference of the Spanish Society for Natural Language Processing (SEPLN 2023). The main aim of this task is to promote the research on developing automatic solutions for;kozienkop2023, author = {Przemysław Kazienko and Julita Bielaniewicz and Marcin Gruza and Kamil Kanclerz and Konrad Karanowski and Piotr Miłkowski and Jan Kocoń}, journal = {Information Fusion}, title = {Human-centered neural reasoning for subjective content processing: Hate speech, emotions, and humor}, year = {2023}, issn = {1566-2535}, month = jun, pages = {43--65}, volume = {94}, abstract = {Some tasks in content processing, e.g., natural language processing (NLP), like hate or offensive speech and emotional or funny text detection, are subjective by nature. Each human may perceive some content individually. The existing reasoning methods commonly rely on agreed output values, the same for all recipients. We propose fundamentally different — personalized solutions applicable to any sub;rasheeda2023, author = {Assad Rasheed and Arif Iqbal Umar and Syed Hamad Shirazi and Zakir Khan and Muhammad Shahzad}, journal = {International Journal on Document Analysis and Recognition (IJDAR)}, title = {Cover-based multiple book genre recognition using an improved multimodal network}, year = {2022}, issn = {1433-2825}, month = sep, number = {1}, pages = {65--88}, volume = {26}, abstract = {Despite the idiom not to prejudge something by its outward appearance, we consider deep learning to learn whether we can judge a book by its cover or, more precisely, by its text and design. The classification was accomplished using three strategies, i.e., text only, image only, and both text and image. State-of-the-art CNNs (convolutional neural networks) models were used to classify books through ;paraskevopoulos2022, author = {Georgios Paraskevopoulos and Petros Pistofidis and Georgios Banoutsos and Efthymios Georgiou and Vassilis Katsouros}, journal = {Applied Sciences}, title = {Multimodal Classification of Safety-Report Observations}, year = {2022}, issn = {2076-3417}, month = jun, number = {12}, pages = {5781}, volume = {12}, abstract = {Modern businesses are obligated to conform to regulations to prevent physical injuries and ill health for anyone present on a site under their responsibility, such as customers, employees and visitors. Safety officers (SOs) are engineers, who perform site audits to businesses, record observations regarding possible safety issues and make appropriate recommendations. In this work, we develop a multimodal machine-learning architecture for the ana",bib;bib;bib;bib;bib;bib
s0022,Q4_3.tex,"Then, the generation strategies accelerated progress: \emph{MAZE}~\citep{kariyappa2021maze} guides a generator toward regions of maximal model disagreement via zeroth-order gradient estimation; and \emph{DFMS-HL}~\citep{sanyal2022towards} adapts to hard-label constraints with class-diversity regularization and adversarial alignment terms.",kariyappa2021maze;sanyal2022towards,2603.24857,AI Security in the Foundation Model Era: A Comprehensive Survey from a Unified Perspective,kariyappa2021maze;sanyal2022towards,2,2,Maze: Data-free model stealing attack using zeroth-order gradient estimation;Towards data-free model stealing in a hard label setting,"Kariyappa, Sanjay and Prakash, Atul and Qureshi, Moinuddin K;Sanyal, Sunandini and Addepalli, Sravanti and Babu, R Venkatesh",2021;2022,;,"kariyappa2021maze, title={Maze: Data-free model stealing attack using zeroth-order gradient estimation}, author={Kariyappa, Sanjay and Prakash, Atul and Qureshi, Moinuddin K}, booktitle={Proceedings of the IEEE/CVF conference on computer vision and pattern recognition}, pages={13814--13823}, year={2021};sanyal2022towards, title={Towards data-free model stealing in a hard label setting}, author={Sanyal, Sunandini and Addepalli, Sravanti and Babu, R Venkatesh}, booktitle={Proceedings of the IEEE/CVF conference on computer vision and pattern recognition}, pages={15284--15293}, year={2022}",bib;bib
s0023,Q4_3.tex,"Because DFME is highly budget-sensitive, several methods emphasize query efficiency: \emph{IDEAL}~\citep{zhang2022ideal} decouples generation from distillation, requiring only one query per synthetic sample, whereas \emph{E$^3$}~\citep{zhu2025efficient} improves efficiency via language-guided sample selection, multi-resolution training, and temperature tuning, achieving comparable fidelity with merely about $0.5\%$ of the queries needed by conventional GAN-based methods; and \emph{DualCOS}~\cite",zhang2022ideal;zhu2025efficient;yang2024dualcos,2603.24857,AI Security in the Foundation Model Era: A Comprehensive Survey from a Unified Perspective,zhang2022ideal;zhu2025efficient;yang2024dualcos,3,3,Ideal: Query-efficient data-free learning from black-box models;Efficient and Effective Model Extraction;DualCOS: Query-Efficient Data-Free Model Stealing with Dual Clone Networks and Optimal Samples,"Zhang, Jie and Chen, Chen and Lyu, Lingjuan;Zhu, Hongyu and Hu, Wentao and Liang, Sichu and Li, Fangqi and Wang, Wenwen and Wang, Shilin;Yang, Yunfei and Chen, Xiaojun and Xuan, Yuexin and Zhao, Zhendong",2022;2025;2024,;;,"zhang2022ideal, title={Ideal: Query-efficient data-free learning from black-box models}, author={Zhang, Jie and Chen, Chen and Lyu, Lingjuan}, booktitle={The Eleventh International Conference on Learning Representations}, year={2022};zhu2025efficient, title={Efficient and Effective Model Extraction}, author={Zhu, Hongyu and Hu, Wentao and Liang, Sichu and Li, Fangqi and Wang, Wenwen and Wang, Shilin}, booktitle={ICASSP 2025-2025 IEEE International Conference on Acoustics, Speech and Signal Processing (ICASSP)}, pages={1--5}, year={2025}, organization={IEEE};yang2024dualcos, title={DualCOS: Query-Efficient Data-Free Model Stealing with Dual Clone Networks and Optimal Samples}, author={Yang, Yunfei and Chen, Xiaojun and Xuan, Yuexin and Zhao, Zhendong}, booktitle={2024 IEEE International Conference on Multimedia and Expo (ICME)}, pages={1--6}, year={2024}, organization={IEEE}",bib;bib;bib
s0027,main_v1.tex,"\citet{yadav2023lahm} employ F1-score and accuracy for six languages, while \citet{rottger2022multilingual} and \citet{das2022hatecheckhin} use accuracy on diagnostic test cases to reveal weaknesses in 10 languages and Hinglish, respectively.",yadav2023lahm;rottger2022multilingual;das2022hatecheckhin,2603.19279,Multilingual Hate Speech Detection and Counterspeech Generation: A Comprehensive Survey and Practical Guide,yadav2023lahm;rottger2022multilingual;das2022hatecheckhin,3,3,Lahm: Large annotated dataset for multi-domain and multilingual hate speech identification;Multilingual HateCheck: Functional tests for multilingual hate speech detection models;Hatecheckhin: Evaluating hindi hate speech detection models,"Yadav, Ankit and Chandel, Shubham and Chatufale, Sushant and Bandhakavi, Anil;R{\""o}ttger, Paul and Seelawi, Haitham and Nozza, Debora and Talat, Zeerak and Vidgen, Bertie;Das, Mithun and Saha, Punyajoy and Mathew, Binny and Mukherjee, Animesh",2023;2022;2022,;;,"yadav2023lahm, title={Lahm: Large annotated dataset for multi-domain and multilingual hate speech identification}, author={Yadav, Ankit and Chandel, Shubham and Chatufale, Sushant and Bandhakavi, Anil}, journal={arXiv preprint arXiv:2304.00913}, year={2023};rottger2022multilingual, title={Multilingual HateCheck: Functional tests for multilingual hate speech detection models}, author={R{\""o}ttger, Paul and Seelawi, Haitham and Nozza, Debora and Talat, Zeerak and Vidgen, Bertie}, journal={arXiv preprint arXiv:2206.09917}, year={2022};das2022hatecheckhin, title={Hatecheckhin: Evaluating hindi hate speech detection models}, author={Das, Mithun and Saha, Punyajoy and Mathew, Binny and Mukherjee, Animesh}, journal={arXiv preprint arXiv:2205.00328}, year={2022}",bib;bib;bib
