file,sentence,cited_keys,survey_arxiv_id,survey_title,sentence_id,drop_reason
pami.tex,"It has also been extended to deal with disagreement between modalities, by filtering out unreliable samples \cite{Christoudias2008}.",Christoudias2008,1705.09406,Multimodal Machine Learning: A Survey and Taxonomy,s0000,single_cite_key
template.tex,"For example, on one hand, some recent works find that the student model can learn little from some teacher models due to the model capacity gap between the teacher model and the student model~\citep{ZhangL2019,Kang2020}; On the other hand, from some early theoretical analysis on the capacity of neural networks, shallow networks are capable of learning the same representation as deep neural networks~\citep{Ba2014}.","ZhangL2019,Kang2020;Ba2014",2006.05525,Knowledge Distillation: A Survey,s0001,all_keys_unresolved
main.tex,"% Conversely, Li et al.~\cite{li2022memory} implement a text-image Affine Combination Module (ACM) that directly concatenates hidden features.",li2022memory,2402.19473,Retrieval-Augmented Generation for AI-Generated Content: A Survey,s0002,single_cite_key
06a_model_explanation_tree.tex,"On the other hand, random data enrichment and model combination are the basis for the \textit{Combined Multiple Model (CCM)} procedure $f$ presented in \cite{domingos1998knowledge}.",domingos1998knowledge,1802.01933,A Survey Of Methods For Explaining Black Box Models,s0005,single_cite_key
section-4-applications.tex,"% ------------------------------------------- % \keypoint{Discussion on Pretraining Mask} \todo{} % \blue{TABLE} % random mask, \\ % conditional mask, \eg, UNITER \cite{chen2020uniter} \\ % ------------------------------ % \magenta{``On the other hand, multiple cross-modality loss functions have been proposed as part of the training % objectives, for example image-text matching (Tan Bansal, 2019; Lu et al., 2019; Xu et al., 2021), % masked region classification/feature regression (Tan Bansal, 20",chen2020uniter,2206.06488,Multimodal Learning with Transformers: A Survey,s0007,single_cite_key
3_causes.tex,"On the other hand, object co-occurrence refers to the phenomenon that the model will remember which two objects usually `go together'~\cite{chair}.",chair,2404.18930,Hallucination of Multimodal Large Language Models: A Survey,s0010,single_cite_key
3_causes.tex,"On the other hand, Q-former-like~\cite{blip-2} architecture has diverse supervision on the extracted visual feature, aligning it to the language embedding space.",blip-2,2404.18930,Hallucination of Multimodal Large Language Models: A Survey,s0011,single_cite_key
1_introduction.tex,"In contrast to pure LLMs, research efforts of hallucination in MLLMs mainly focus on the discrepancy between generated \textbf{text response} and provided \textbf{visual content}~\cite{pope,LURE_zhou2023analyzing,lvlm_survey}, \ie, cross-modal inconsistency.","pope,LURE_zhou2023analyzing,lvlm_survey",2404.18930,Hallucination of Multimodal Large Language Models: A Survey,s0012,all_keys_unresolved
Article_v2.tex,"%balanced incorporation On the other hand, solution generalizability can be explicitly improved by converging to a flat loss landscape, where representative strategies include optimizing the flatness metric~\cite{shi2021overcoming,mehta2021empirical,mirzadeh2020understanding,deng2021flattening,mirzadeh2020linear}, constructing an ensemble model at either spatial scale~\cite{cha2020cpr,wang2022coscl,wang2023incorporating} or temporal scale~\cite{buzzega2020dark,boschini2022class}, and obtaining w","shi2021overcoming,mehta2021empirical,mirzadeh2020understanding,deng2021flattening,mirzadeh2020linear;cha2020cpr,wang2022coscl,wang2023incorporating;buzzega2020dark,boschini2022class;ramasesh2021effect,mehta2021empirical,hu2021well,pham2021dualnet,cha2021co2l,madaan2021representational",2302.00487,"A Comprehensive Survey of Continual Learning: Theory, Method and Application",s0014,likely_latex_artifact
032_conversational_metrics.tex,"However, \cite{liu2016eval} showed that neither of the word-overlap based scores have any correlation to human judgments.\\ Based on the criticism of the word-overlap metrics, several new metrics have been proposed.",liu2016eval,1905.04071,Survey on Evaluation Methods for Dialogue Systems,s0015,single_cite_key
