file,sentence,cited_keys,survey_arxiv_id,survey_title,sentence_id,drop_reason
arxiv_v2.tex,"The problem is formulated by minimizing the \textit{Dirichlet energy}, expressed as \begin{equation} \frac{1}{2} \,\Pi(t)^{\top} L \Pi(t) \;=\; \sum_{i \in \mathcal{K}} \sum_{j \in \mathcal{N}(i)} \big(\pi_i(t) - \pi_j(t)\big)^2, \label{eq:energy} \end{equation} which quantifies the quadratic disagreement between neighboring nodes, where $L$ is the graph Laplacian~\citep{mohar1991laplacian} and $\mathcal{N}(i)$ denotes the neighbors of node $i$ in the mesh network.",mohar1991laplacian,2609.02984,From Euclidean to Graph-Structured Data: A Survey of Collaborative Learning,s0000,single_cite_key
arxiv_v2.tex,It increases the communication requirements and contradicts the efforts for privacy-preserving FL \citep{ngyen2022fed}.,ngyen2022fed,2609.02984,From Euclidean to Graph-Structured Data: A Survey of Collaborative Learning,s0001,single_cite_key
main.tex,Static analyzers are valuable validators but imperfect ground truth; human-validated comparison has exposed substantial per-sample disagreement between analyzer reports and actual security labels \cite{firouzi2026persistent}.,firouzi2026persistent,2608.21107,Large Language Models at the Intersection of Software Engineering and Software Security:An Evidence-Centered Structured Survey and Research Agenda,s0002,single_cite_key
appendix.tex,"& B \\ \cite{kumar2023EstimatingRemainingUseful} & Contrary to the claim of proposing a novel approach, ""which integrates machine learning techniques with electrochemical modeling,"" the implemented method is a conventional neural network, reflecting standard deep learning (see Sec.~2/4).",kumar2023EstimatingRemainingUseful,2608.10047,Physics-Informed Machine Learning in Prognostics and Health Management: A Systematic Literature Review,s0003,single_cite_key
main.tex,"Such methods can provide differing explanations of the same model and decision, which is known as the ``disagreement problem'' in XAI \cite{Krishna2022}.",Krishna2022,2608.02699,Explainable AI for the EU Right to Explanation: A Systematic Review of the Law-XAI Translation Gap,s0004,single_cite_key
main.tex,"%Multiple post-hoc methods with different theoretical foundations may yield conflicting explanations of the same model and decision, also known as the ``disagreement problem'' \cite{Krishna2022}.",Krishna2022,2608.02699,Explainable AI for the EU Right to Explanation: A Systematic Review of the Law-XAI Translation Gap,s0005,single_cite_key
main.tex,"Additionally, different post-hoc XAI methods applied to the same model and decision can yield conflicting explanations---the ``disagreement problem''~\cite{Krishna2022}.",Krishna2022,2608.02699,Explainable AI for the EU Right to Explanation: A Systematic Review of the Law-XAI Translation Gap,s0010,single_cite_key
main.tex,"% Additionally, different post-hoc XAI methods applied to the same model and decision can yield conflicting explanations---the ``disagreement problem'' \cite{Krishna2022}.",Krishna2022,2608.02699,Explainable AI for the EU Right to Explanation: A Systematic Review of the Law-XAI Translation Gap,s0012,single_cite_key
main.tex,"Stance assignment is a practical way to force disagreement and surface counterarguments, especially through adversarial pairings such as angel/devil, faithful/unfaithful, prosecution/defence, or proponent/challenger~\cite{3,11,50,56,75,76,124,136}.","3,11,50,56,75,76,124,136",2607.26212,"Multi-Agent Debate Strategies: Survey, Taxonomy, and Challenges",s0013,likely_latex_artifact
arXiv.tex,"Current evidence is contradictory: applying RoB questionnaires to randomized controlled trials, {\v{S}}uster et al.~\cite{suster2024} found LLMs ``seldom surpassing trivial baselines'', whereas Lai et al.~\cite{lai-2024} reported ``substantial accuracy and consistency''.",suster2024;lai-2024,2607.24991,Preliminary Guidelines for Using and Evaluating GenAI Tools to Support Systematic Literature Reviews,s0014,all_keys_unresolved
