file,sentence,cited_keys,survey_arxiv_id,survey_title
manuscript.tex,"In contrast to \cite{chorowski2015attention}, the authors have used $ RELU $ instead of $ tanh $ function and claimed it provides better ASR performance.",chorowski2015attention,2102.07259,Thank you for Attention: A survey on Attention-based Artificial Neural Networks for Automatic Speech Recognition
ijcai19.tex,"But unlike \cite{DBLP:conf/cvpr/VinyalsTBE15}, the model uses the underlying convolutional layer output instead of the final fully connected layer output as the image feature vector.",DBLP:conf/cvpr/VinyalsTBE15,1905.08110,Image Captioning based on Deep Learning Methods: A Survey
image.tex,"As \citeA{Donahue2015} put it, image captioning is a task whose input is static and non-sequential (an image, rather than, say, a video), whereas the output is sequential (a multi-word text), in contrast to non-sequential outputs such as object labels \cite<e.g.>[among others]{Duygulu2002,Ordonez2016}.",Donahue2015,1703.09902,"Survey of the State of the Art in Natural Language Generation: Core tasks, applications and evaluation"
evaluation.tex,"This is similar in spirit to the question about jokehood asked by \citeA{Binsted1997}, in contrast to the more explicitly extrinsic evaluation of the {\sc standup} joke generator by \citeA{Waller2009}, which asked whether the system actually helped users improve their interactions with peers.",Binsted1997;Waller2009,1703.09902,"Survey of the State of the Art in Natural Language Generation: Core tasks, applications and evaluation"
acl_latex.tex,"In contrast to absolute positional embeddings, Transformers equipped with relative positional embeddings showcase the capability to generalize to sequences surpassing the lengths encountered in training, demonstrating proficiency in extrapolation \cite{press2021train}.",press2021train,2401.07872,"The What, Why, and How of Context Length Extension Techniques in Large Language Models -- A Detailed Survey"
sn-article.tex,"In contrast to text classification, lexical systems that use different weighting and normalization of exact term matching methods, such as BM25~\citep{10.1561/1500000019}, are strong baselines in IR~\citep{trec-fair-ranking-2021}.",10.1561/1500000019;trec-fair-ranking-2021,2412.15831,Enriching Social Science Research via Survey Item Linking
final.tex,"\citet{ollagnier-2024-cyberagressionado} introduces a tagset for annotating discursive roles in cyberbullying, while \citet{sap-etal-2019-social} and \citet{sap-etal-2020-social} provide benchmarks for reasoning about social norms, biases, and power dynamics.",ollagnier-2024-cyberagressionado;sap-etal-2019-social;sap-etal-2020-social,2502.12378,"Pragmatics in the Era of Large Language Models: A Survey on Datasets, Evaluation, Opportunities and Challenges"
final.tex,"\textbf{Natural Language Inference (NLI).} NLI usually includes a premise and a hypothesis to determine whether the hypothesis is true (entailment), false (contradiction), or undetermined (neutral) given the premise \cite{storks2020recent}.",storks2020recent,2502.12378,"Pragmatics in the Era of Large Language Models: A Survey on Datasets, Evaluation, Opportunities and Challenges"
tmlr.tex,"Despite recent progress, LLMs continue to exhibit important limitations, particularly in handling ambiguity and contradiction, distinguishing correlation from causation, transferring reasoning across domains, and grounding knowledge in physical or experiential reality~\citep{teolar}.",teolar,2606.11470,"The Periodic Table of LLM Reasoning: A Structured Survey of Reasoning Paradigms, Methods, and Failure Modes"
acl_latex.tex,"This parameter will help estimate and prevent the skewness of a word distribution towards a label; for example, the word `sleep’ and its variations are found to be indicators of contradiction, as they were predominantly present in samples with that label \cite{poliak2018hypothesis}.",poliak2018hypothesis,2210.07566,A Survey of Parameters Associated with the Quality of Benchmarks in NLP
