file,sentence,cited_keys,survey_arxiv_id,survey_title,sentence_id,drop_reason
manuscript.tex,"In contrast to \cite{chorowski2015attention}, the authors have used $ RELU $ instead of $ tanh $ function and claimed it provides better ASR performance.",chorowski2015attention,2102.07259,Thank you for Attention: A survey on Attention-based Artificial Neural Networks for Automatic Speech Recognition,s0000,single_cite_key
ijcai19.tex,"But unlike \cite{DBLP:conf/cvpr/VinyalsTBE15}, the model uses the underlying convolutional layer output instead of the final fully connected layer output as the image feature vector.",DBLP:conf/cvpr/VinyalsTBE15,1905.08110,Image Captioning based on Deep Learning Methods: A Survey,s0001,single_cite_key
image.tex,"As \citeA{Donahue2015} put it, image captioning is a task whose input is static and non-sequential (an image, rather than, say, a video), whereas the output is sequential (a multi-word text), in contrast to non-sequential outputs such as object labels \cite<e.g.>[among others]{Duygulu2002,Ordonez2016}.",Donahue2015,1703.09902,"Survey of the State of the Art in Natural Language Generation: Core tasks, applications and evaluation",s0002,single_cite_key
acl_latex.tex,"In contrast to absolute positional embeddings, Transformers equipped with relative positional embeddings showcase the capability to generalize to sequences surpassing the lengths encountered in training, demonstrating proficiency in extrapolation \cite{press2021train}.",press2021train,2401.07872,"The What, Why, and How of Context Length Extension Techniques in Large Language Models -- A Detailed Survey",s0004,single_cite_key
final.tex,"\textbf{Natural Language Inference (NLI).} NLI usually includes a premise and a hypothesis to determine whether the hypothesis is true (entailment), false (contradiction), or undetermined (neutral) given the premise \cite{storks2020recent}.",storks2020recent,2502.12378,"Pragmatics in the Era of Large Language Models: A Survey on Datasets, Evaluation, Opportunities and Challenges",s0007,single_cite_key
tmlr.tex,"Despite recent progress, LLMs continue to exhibit important limitations, particularly in handling ambiguity and contradiction, distinguishing correlation from causation, transferring reasoning across domains, and grounding knowledge in physical or experiential reality~\citep{teolar}.",teolar,2606.11470,"The Periodic Table of LLM Reasoning: A Structured Survey of Reasoning Paradigms, Methods, and Failure Modes",s0008,single_cite_key
acl_latex.tex,"This parameter will help estimate and prevent the skewness of a word distribution towards a label; for example, the word `sleep’ and its variations are found to be indicators of contradiction, as they were predominantly present in samples with that label \cite{poliak2018hypothesis}.",poliak2018hypothesis,2210.07566,A Survey of Parameters Associated with the Quality of Benchmarks in NLP,s0009,single_cite_key
acl_latex.tex,"% \vspace{-2mm} \paragraph{Absence Indicators:} Words like ‘sleep’ or ‘naked’ indicate the absence of an object in the sentence, and therefore are associated primarily with the contradiction class \cite{gururangan2018annotation}.",gururangan2018annotation,2210.07566,A Survey of Parameters Associated with the Quality of Benchmarks in NLP,s0010,single_cite_key
acl_latex.tex,"However, not all patterns picked up by the model will necessarily show up on the correlation test- a scenario where the number of samples with disagreement is too low \cite{reidsma2008reliability}.",reidsma2008reliability,2210.07566,A Survey of Parameters Associated with the Quality of Benchmarks in NLP,s0011,single_cite_key
main.tex,"However, \citet{golobokov2022deepgen} noted that the extractive approach is more suitable for generating ad titles than ad descriptions.",golobokov2022deepgen,2306.12719,Natural Language Generation for Advertising: A Survey,s0012,single_cite_key
acl_latex.tex,\\ \cite{davani2024d3code} & Subjective cultural disagreement in offense.,davani2024d3code,2604.18423,"BhashaSutra: A Task-Centric Unified Survey of Indian NLP Datasets, Corpora, and Resources",s0014,single_cite_key
acl_latex.tex,"Preliminary post-training works~\citep{xuan2025mmlu} show that they yield mixed results across languages, with effectiveness depending on the base model and required degree of linguistic diversity, highlighting the need for language inclusive training approaches.",xuan2025mmlu,2502.09457,A Survey of Multilingual Reasoning in Language Models,s0015,single_cite_key
acl_latex.tex,"\textcolor{blue}{However, recent study \citep{xuan2025mmlu} shows that reasoning-enhanced post-training methods yield mixed results across languages, with effectiveness depending on the base model and the degree of linguistic diversity considered, highlighting the need for more linguistically inclusive training approaches.",xuan2025mmlu,2502.09457,A Survey of Multilingual Reasoning in Language Models,s0016,single_cite_key
main.tex,"However, ESL and MAVEN-ERE also have inherent limitations: In ESL, some event causal relationships form directed cycles, which contradicts the basic logic of causality \cite{Pearl2009}.",Pearl2009,2411.10371,"A Survey of Event Causality Identification: Taxonomy, Challenges, Assessment, and Prospects",s0017,single_cite_key
sn-article.tex,"In contrast to sentence-level datasets, DocRED \citep{bib396} is constructed for RE tasks at the document level.",bib396,2402.18041,Datasets for Large Language Models: A Comprehensive Survey,s0020,single_cite_key
sn-article.tex,"SuperGLUE has designated CommitmentBank as the assessment standard for the English RTE task, categorizing the veracity between the initial dataset pairs as “Entailment,” “Neutral,” and “Contradiction.” \item \textbf{MedNLI} \citep{bib326}.",bib326,2402.18041,Datasets for Large Language Models: A Comprehensive Survey,s0021,single_cite_key
template.tex,"This is in contrast to previous studies on automatic literature summarization~\citep{Tang2023}, which examined scientific abstracts.",Tang2023,2310.06260,An experiment on an automated literature survey of data-driven speech enhancement methods,s0022,single_cite_key
