file,sentence,cited_keys,survey_arxiv_id,survey_title
07_detection.tex,"However, \citet{sap-etal-2017-connotation} find that, high-agency women frames are rare in modern films.",sap-etal-2017-connotation,2112.14168,A Survey on Gender Bias in Natural Language Processing
07_detection.tex,"However, \citet{asr2021} report that there, in fact, is a gender gap in coverage of women in Canadian news outlets.",asr2021,2112.14168,A Survey on Gender Bias in Natural Language Processing
07_detection.tex,"However, \citet{Garg_2018} show that gender bias has decreased in the last 100 years and that the women’s movement in the 1960s and 1970s had a significant effect on women's portrayals in literature and culture.",Garg_2018,2112.14168,A Survey on Gender Bias in Natural Language Processing
06_definition.tex,"However, \citet{rudinger-etal-2017-social} note that bias at the level of word co-occurrences is likely to lead to overgeneralisation when applied to a heterogenous dataset.",rudinger-etal-2017-social,2112.14168,A Survey on Gender Bias in Natural Language Processing
06_definition.tex,"However, \citet{bentivogli-etal-2020-gender} point out that previously obtained BLEU gains \citep{vanmassenhove-etal-2018-getting, moryossef-etal-2019-filling} cannot be ascribed with certainty to a better control of gender features and following previous research \citep{elaraby2018gender, vanmassenhove-etal-2018-getting} underlie the importance of applying gender-swapping in BLEU-based evaluations focused on gender translation.","bentivogli-etal-2020-gender;vanmassenhove-etal-2018-getting, moryossef-etal-2019-filling;elaraby2018gender, vanmassenhove-etal-2018-getting",2112.14168,A Survey on Gender Bias in Natural Language Processing
06_definition.tex,"However, \citet{gonen-goldberg-2019-lipstick} argue that the indirect bias has been disregarded to some extent and complain that mitigation methods are not provided.",gonen-goldberg-2019-lipstick,2112.14168,A Survey on Gender Bias in Natural Language Processing
05_datasets.tex,"However, \citet{chaloner-maldonado-2019-measuring} note that not all of the listed words are truly gender-biased and suggest an additional filtering or classification step before employing the list as a genderness lexicon.",chaloner-maldonado-2019-measuring,2112.14168,A Survey on Gender Bias in Natural Language Processing
08_mitigation.tex,"%However, \citep{cho-etal-2019-measuring} warn that mitigated male dependency does not necessarily mean that the system bias has reduced, another social bias might be involved.",cho-etal-2019-measuring,2112.14168,A Survey on Gender Bias in Natural Language Processing
08_mitigation.tex,"However, \citet{savoldi2021gender} note that this improvement might not be due to the added gender context, but for instance, a regularisation effect.",savoldi2021gender,2112.14168,A Survey on Gender Bias in Natural Language Processing
08_mitigation.tex,"However, \citet{savoldi2021gender} note that this approach does not account for the qualitative differences in how men and women are portrayed \citep{savoldi2021gender}.",savoldi2021gender;savoldi2021gender,2112.14168,A Survey on Gender Bias in Natural Language Processing
08_mitigation.tex,"However, \citet{elazar2018adversarial} claim that word representations preserve traces of the protected attributes and recommend external verification of the method.",elazar2018adversarial,2112.14168,A Survey on Gender Bias in Natural Language Processing
08_mitigation.tex,"However, \citet{sun-etal-2019-mitigating} note that it is unclear if gender-neutralised word embeddings are applicable to languages with grammatical genders.",sun-etal-2019-mitigating,2112.14168,A Survey on Gender Bias in Natural Language Processing
main.tex,"In contrast to classification, \textit{uncertainty information of regression} models is currently under-explored in human-AI decision making, with one recent exception~\cite{mcgrath2020does} (though the effect of uncertainty information on decision making has long been studied outside the context of AI assistance, e.g.~\cite{kay2016ish}).",mcgrath2020does;kay2016ish,2112.11471,Towards a Science of Human-AI Decision Making: A Survey of Empirical Studies
