file,sentence,cited_keys,survey_arxiv_id,survey_title,sentence_id,drop_reason
01-triage.tex,"Some work also reports disagreement-based measures such as total discordance, defined as $1-\text{accuracy}$, to quantify mismatch with clinician-assigned triage levels~\cite{lu-etal-2024-triageagent}.",lu-etal-2024-triageagent,2608.23627,"From Triage to Discharge: A Survey of NLP Tasks, Methods, and Open Challenges in the Emergency Department",s0000,single_cite_key
04-report-gen.tex,"For example, \citet{min-etal-2022-rred} presents RRED, a supervised detector that identifies contradictions between the \textit{Findings} and \textit{Impression} sections, addressing limited error annotations by synthesising plausible errors and adding knowledge-enhanced pretraining.",min-etal-2022-rred,2608.23627,"From Triage to Discharge: A Survey of NLP Tasks, Methods, and Open Challenges in the Emergency Department",s0001,single_cite_key
main.tex,\textbf{Reconciling with the U.S.\ evidence.} Our negative result need not contradict the positive silicon-sampling findings for U.S.\ opinions~\cite{argyle}.,argyle,2608.28615,Distributional Validity and Calibration of a Korean Synthetic Persona Panel for Digital and AI Service Use: A Secondary-Data Validation Against the Korea Media Panel Survey,s0002,single_cite_key
006-challenge.tex,The practical difficulty is to reconcile potentially conflicting evidence and surface it in a unified evidence space that supports auditing and abstention under uncertainty~\citep{Wang2024DeepfakeReliability}.,Wang2024DeepfakeReliability,2607.10787,Detecting AI-Generated Video: A Vision-Language Dual-View Survey,s0004,single_cite_key
acl_appendix.tex,"\rev{\citet{miao2023towards} explored both algorithmic innovations and system architectures for efficient LLM serving, \citet{yuan2024llm} analyzed LLM inference techniques through a Roofline-based framework, \citet{zhou2024survey} organized efficient LLM inference methods across data-, model-, and system-level optimizations, \citet{li2024llm} examined system-level enhancements for LLM inference serving, \citet{zhen2025taming} reviewed recent advances across different LLM serving scenarios, whil",miao2023towards;yuan2024llm;zhou2024survey;li2024llm;zhen2025taming;bai2024beyond;xu2024survey,2607.08057,Towards Efficient Large Language Model Serving: A Survey on System-Aware KV Cache Optimization,s0005,likely_latex_artifact
elsarticle-template-num-names.tex,"In contrast to the above methods that explicitly inject visual cues, Look-Back~\cite{yang2025look} enables models to autonomously decide when and how to refocus on visual inputs by emitting special ⟨back⟩ tokens, allowing them to re-evaluate and correct their reasoning against the image.",yang2025look,2606.26196,From Structure to Synergy: A Survey of Vision-Language Perception Paradigm Evolution in Multimodal Large Language Models,s0008,single_cite_key
4_env_domain.tex,"Conflicts~\cite{Conflicts} focuses explicitly on contradictions across sources, testing whether models can detect conflicts and distinguish their types.",Conflicts,2606.12191,"Agentic Environment Engineering for Large Language Models: A Survey of Environment Modeling, Synthesis, Evaluation, and Application",s0009,single_cite_key
03_methodology.tex,"These included 5‑point Likert scales \cite{joshi2015likert} (1 = \enquote{Strongly disagree}, 5 = \enquote{Strongly agree}) with an additional \enquote{Don't know/Not applicable} option, single‑choice questions for categorical attributes such as company size or self‑assessed knowledge level, and multiple‑choice questions with an upper limit (e.g., \enquote{Select up to 3 options}) for practices, barriers, and priorities.",joshi2015likert,2607.21608,From Obligation to Specification: A Survey on Validating EU AI Act Requirements in RE,s0011,single_cite_key
main.tex,"As it stands, a true expression of design justice was not found in any of the reviewed papers of this corpus, however \citet{wang-etal-2025-generating-pedagogically} embodies some aspects of it.",wang-etal-2025-generating-pedagogically,2606.13691,Incentives Of EdTech: A Systematic Review Of EduNLP Research,s0012,single_cite_key
sec9_open_problems.tex,"These issues are amplified in role-based settings, where broken memory or contradictions can lead to hallucinations and character violations \cite{tang2024rolebreak}.",tang2024rolebreak,2604.24977,A Survey on LLM-based Conversational User Simulation,s0014,single_cite_key
main_arxiv.tex,% Recent follow-up work~\citep{si2025seconrag} (Tier-2) extends this % to semantic- and conflict-aware filtering by jointly considering % content similarity and inter-passage contradictions.,si2025seconrag,2604.16548,"A Survey on Long-Term Memory Security in LLM Agents: Attacks, Defenses, and Governance Across the Memory Lifecycle",s0015,single_cite_key
main_arxiv.tex,"% \paragraph{LLM as memory defender.} % The clearest existing example is % A-MemGuard~\citep{wei2025amemguard} (Section~\ref{ssec:def-retrieve}), % which uses LLM reasoning to generate independent paths from related % memories and flags inter-path disagreement as an anomaly.",wei2025amemguard,2604.16548,"A Survey on Long-Term Memory Security in LLM Agents: Attacks, Defenses, and Governance Across the Memory Lifecycle",s0016,single_cite_key
5-defense.tex,"A-MemGuard~\citep{wei2025amemguard} is more memory-native: it retrieves semantically related memories, compares independent reasoning paths, treats disagreement as an anomaly signal, and distills detected attacks into lesson memories for future hardening.",wei2025amemguard,2604.16548,"A Survey on Long-Term Memory Security in LLM Agents: Attacks, Defenses, and Governance Across the Memory Lifecycle",s0018,single_cite_key
main.tex,"AVSD~\citep{2605.20643} takes a modest step by treating multiple training-time views of the same input as parallel PI sources, decomposing the per-token signal into a consensus component shared across views and a view-specific residual so that the student does not collapse onto a single teacher view when views disagree.",2605.20643,2604.00626,A Survey of On-Policy Distillation for Large Language Models,s0020,single_cite_key
Q4_3.tex,"For example, \emph{Army of Thieves}~\citep{jindal2024army} employs ensemble-based consensus entropy and label disagreement to guide query selection.",jindal2024army,2603.24857,AI Security in the Foundation Model Era: A Comprehensive Survey from a Unified Perspective,s0021,single_cite_key
main.tex,"MetaGen~\citep{wangMetaGenSelfEvolvingRoles2026} initializes a task-adaptive graph and then revises both roles and edges based on lightweight feedback such as contradictions, failures, and cost signals.",wangMetaGenSelfEvolvingRoles2026,2603.22386,From Static Templates to Dynamic Runtime Graphs: A Survey of Workflow Optimization for LLM Agents,s0024,single_cite_key
main.tex,MetaGen~\citep{wangMetaGenSelfEvolvingRoles2026} updates role descriptions and graph edits using contradiction- and failure-oriented feedback from logs.,wangMetaGenSelfEvolvingRoles2026,2603.22386,From Static Templates to Dynamic Runtime Graphs: A Survey of Workflow Optimization for LLM Agents,s0025,single_cite_key
main_v1.tex,"\citet{sahoo2024indicconan} propose a taxonomy for Hindi and Indian English, encompassing consequences, denouncing, facts, contradiction, counter-questions, and positive responses, tailored to the Indian context.",sahoo2024indicconan,2603.19279,Multilingual Hate Speech Detection and Counterspeech Generation: A Comprehensive Survey and Practical Guide,s0026,single_cite_key
main_v1.tex,"By contrast, \textit{Multi3Hate} \citep{bui2024multi3hate} reveal how cultural disagreement itself complicates evaluation, as annotators from the USA and India agreed on only 67\% of cases.",bui2024multi3hate,2603.19279,Multilingual Hate Speech Detection and Counterspeech Generation: A Comprehensive Survey and Practical Guide,s0028,single_cite_key
main.tex,"By augmenting training data with ""hard negative"" captions, descriptions that are semantically plausible but factually contradictory (e.g., describing a monotonic increase as a plateau), models are forced to learn discriminative features rather than relying on superficial correlations \cite{yuksekgonul2023visionlanguagemodelsbehavelike}.",yuksekgonul2023visionlanguagemodelsbehavelike,2602.10138,"Multimodal Information Fusion for Chart Understanding: A Survey of MLLMs -- Evolution, Limitations, and Cognitive Enhancement",s0032,single_cite_key
uncertainty.tex,\citet{malinin2021uncertainty} take an ensemble approach and characterizes epistemic or ``knowledge'' uncertainty using mutual information and the level of disagreement between models in the ensemble.,malinin2021uncertainty,2602.08145,Reliable and Responsible Foundation Models: A Comprehensive Survey,s0034,single_cite_key
bias.tex,"However, \citet{webster2020measuring} normalize a token's predicted probability (based on the template prompt ``[MASK] is an [ITEM FROM GROUP i]'') with the model's prior probability (based on the template ``[MASK] is a [MASK]'').",webster2020measuring,2602.08145,Reliable and Responsible Foundation Models: A Comprehensive Survey,s0036,single_cite_key
