pair_id,topic,hypothesis_a,source_a,hypothesis_b,source_b
r9_000,Deriving concepts for interpretability,"Concepts used to explain a model's decisions should be manually pre-defined by the user (e.g., as concept activation vectors in TCAV-style testing), rather than discovered automatically from the model itself.",pytorchcaptum2022,Interpretable abstractions can instead be learned automatically by analyzing individual neurons' activation patterns and composing logical concepts from them; doing so reveals that many neurons actually encode shallow lexical heuristics inherited from dataset biases rather than the clean concepts assumed by manual definitions.,mu_compositional_2021
r9_001,Narrative and causality (cognitive vs textual),"Event causality is a key cognitive faculty underlying narrative sense-making, i.e., narrative understanding is fundamentally grounded in identifying causal relations between events.",sun-etal-2024-event,"Narrative constitutes a distinct 'narrative mode' of thought that is separate from the 'Paradigmatic/Logico-Scientific Mode' responsible for causal explanation, so narrative sense-making should not be reduced to a causal-reasoning process.",bruner1991narrative
r9_002,Narrative causality: text vs cognitive process,"The proper object of study for narrative causality is the narrative text itself, i.e., causality is a structural property of the narrative discourse/form.",todorov19712,"The proper object of study for narrative causality is the cognitive process of the reader constructing the narrative, i.e., causality is a property of mental representation/comprehension rather than of the text structure.",trabasso1985causal
r9_003,LLM-era code-switching: synthetic generation vs zero-shot transfer,"Synthetic code-mixed data for language modeling can be effectively generated by using linguistic theory (e.g. equivalence-constraint-based mixing) to synthesize training examples, improving code-mixed/code-switched language models.",pratapa-etal-2018-language,"Multilingual large language models are not yet effective code-switchers: despite broad multilingual pretraining, they fail to robustly handle real (naturalistic) code-switching phenomena in zero-shot settings.",zhang-etal-2023-multilingual
r9_004,Neural weight-update rules: Hebbian vs Delta,"The Hebbian learning rule updates synaptic/memory weights via reinforcement-driven, correlation-based updates: connections between co-activated units are strengthened without reference to an explicit target output or error signal.",chakraverty2019hebbian,"The Delta learning rule updates memory traces via supervised, error-corrective control: weights are adjusted in proportion to the difference between the actual and desired (target) output.",prados1989neural
r9_005,LLM-generated Boolean queries for reviews,"ChatGPT can effectively formulate and refine complex Boolean search queries for systematic review literature searches, successfully following user instructions to produce high-quality queries.",wang2023can,"LLM-based Boolean query generation for systematic reviews does not reliably reproduce or generalize across studies and settings, contradicting claims that well-chosen seed studies reliably improve guided query formulation.",Moritz2024boolean-reproduce
r9_006,online discourse and community ideals,"Early theorizing on virtual communities (Rheingold, 'The Virtual Community: Homesteading on the Electronic Frontier') held that computer-mediated communication and online communities would foster mutual understanding among participants.",rheingold00,"Empirical work on online social media (Mathew et al., 'Spread of hate speech in online social media') finds that hate speech spreads widely through these platforms, contradicting hopes that online discussion would primarily promote mutual understanding.",binny2019
r9_007,Emergent abilities of LLMs,"Apparent 'emergent abilities' of large language models are largely a measurement artifact: using linear/continuous metrics (e.g., token-edit distance) instead of discontinuous metrics like accuracy reveals smooth, continuous, and predictable improvements in model performance with scale, rather than sudden qualitative jumps.",schaeffer2023emergent,Large language models display genuine emergent abilities: capabilities that are essentially absent in smaller-scale models but appear abruptly and unpredictably once a certain scale threshold is crossed.,wei2022emergent
r9_008,LLMs identifying reasoning errors,"LLMs generally perform poorly at pinpointing the location of errors within their own reasoning traces, even though they can correct an error once its location is explicitly given to them.",tyen-etal-2024-llms,"Evaluation on ProcessBench shows that reasoning-focused models such as OpenAI's o1 and QwQ achieve remarkable performance at identifying process errors, even on challenging mathematical reasoning benchmarks.",zheng2024processbenchidentifyingprocesserrors
r9_009,LLMs' inductive reasoning ability,"Pre-trained language models can serve as effective inductive reasoners, capable of inducing general rules from given examples.",yang-etal-2024-language,A comprehensive evaluation shows that even advanced LLMs struggle with simple inductive reasoning tasks when tested in symbolic settings.,bowen-etal-2024-comprehensive
