file,sentence,cited_keys,survey_arxiv_id,survey_title,sentence_id,drop_reason
LIPAR.tex,"\cite{garimella-etal-2019-womens} \tabularnewline \hline \centering Annotation Bias & \centering Bias introduced during the process of data labeling and annotation & \centering Assumptions and stereotypes of annotators, alignment with biases in training data, inconsistencies and disagreements among annotators & \centering Lingren et al.",garimella-etal-2019-womens,2306.10530,Gender Bias in Transformer Models: A comprehensive survey,s0000,single_cite_key
07_detection.tex,"However, \citet{sap-etal-2017-connotation} find that, high-agency women frames are rare in modern films.",sap-etal-2017-connotation,2112.14168,A Survey on Gender Bias in Natural Language Processing,s0001,single_cite_key
07_detection.tex,"However, \citet{asr2021} report that there, in fact, is a gender gap in coverage of women in Canadian news outlets.",asr2021,2112.14168,A Survey on Gender Bias in Natural Language Processing,s0002,single_cite_key
07_detection.tex,"However, \citet{Garg_2018} show that gender bias has decreased in the last 100 years and that the women’s movement in the 1960s and 1970s had a significant effect on women's portrayals in literature and culture.",Garg_2018,2112.14168,A Survey on Gender Bias in Natural Language Processing,s0003,single_cite_key
06_definition.tex,"However, \citet{rudinger-etal-2017-social} note that bias at the level of word co-occurrences is likely to lead to overgeneralisation when applied to a heterogenous dataset.",rudinger-etal-2017-social,2112.14168,A Survey on Gender Bias in Natural Language Processing,s0004,single_cite_key
06_definition.tex,"However, \citet{gonen-goldberg-2019-lipstick} argue that the indirect bias has been disregarded to some extent and complain that mitigation methods are not provided.",gonen-goldberg-2019-lipstick,2112.14168,A Survey on Gender Bias in Natural Language Processing,s0006,single_cite_key
05_datasets.tex,"However, \citet{chaloner-maldonado-2019-measuring} note that not all of the listed words are truly gender-biased and suggest an additional filtering or classification step before employing the list as a genderness lexicon.",chaloner-maldonado-2019-measuring,2112.14168,A Survey on Gender Bias in Natural Language Processing,s0007,single_cite_key
08_mitigation.tex,"%However, \citep{cho-etal-2019-measuring} warn that mitigated male dependency does not necessarily mean that the system bias has reduced, another social bias might be involved.",cho-etal-2019-measuring,2112.14168,A Survey on Gender Bias in Natural Language Processing,s0008,single_cite_key
08_mitigation.tex,"However, \citet{savoldi2021gender} note that this improvement might not be due to the added gender context, but for instance, a regularisation effect.",savoldi2021gender,2112.14168,A Survey on Gender Bias in Natural Language Processing,s0009,single_cite_key
08_mitigation.tex,"However, \citet{savoldi2021gender} note that this approach does not account for the qualitative differences in how men and women are portrayed \citep{savoldi2021gender}.",savoldi2021gender;savoldi2021gender,2112.14168,A Survey on Gender Bias in Natural Language Processing,s0010,single_cite_key
08_mitigation.tex,"However, \citet{elazar2018adversarial} claim that word representations preserve traces of the protected attributes and recommend external verification of the method.",elazar2018adversarial,2112.14168,A Survey on Gender Bias in Natural Language Processing,s0011,single_cite_key
08_mitigation.tex,"However, \citet{sun-etal-2019-mitigating} note that it is unclear if gender-neutralised word embeddings are applicable to languages with grammatical genders.",sun-etal-2019-mitigating,2112.14168,A Survey on Gender Bias in Natural Language Processing,s0012,single_cite_key
response_bias.tex,"Related work also shows that LLMs often offer contradictory answers to semantically equivalent questions when the format shifts from multiple choice, close-ended to an open-ended form \citep{rottgerPoliticalCompassSpinning2024d}.",rottgerPoliticalCompassSpinning2024d,2507.07188,Prompt Perturbations Reveal Human-Like Biases in Large Language Model Survey Responses,s0013,single_cite_key
response_bias.tex,"Moreover, related work suggests that LLMs may not hold stable, context-independent stances, often providing contradictory answers to the same conceptual question when the format changes from MCQ to open-ended \citep{rottgerPoliticalCompassSpinning2024}.",rottgerPoliticalCompassSpinning2024,2507.07188,Prompt Perturbations Reveal Human-Like Biases in Large Language Model Survey Responses,s0014,single_cite_key
custom.tex,"Empirical studies document demographic and positional biases~\cite{cheng2023marked,wang2025large}, sensitivity to prompt wording, lexical features, and option order~\cite{atreja2025s,gligoric-etal-2024-nlp}, desirability bias~\cite{sharma2023towards,cheng2025social}, and hallucinations or self-contradictions \cite{tjuatja2024llms,dominguez2024questioning,pezeshkpour2023large,huang2025survey}.","cheng2023marked,wang2025large;atreja2025s,gligoric-etal-2024-nlp;sharma2023towards,cheng2025social;tjuatja2024llms,dominguez2024questioning,pezeshkpour2023large,huang2025survey",2510.11408,"Valid Survey Simulations with Limited Human Data: The Roles of Prompting, Fine-Tuning, and Rectification",s0017,likely_latex_artifact
Survey.tex,"\textbf{ii) Prompt Tuning.} In contrast to CDA, \textit{prompt tuning}~\cite{lester2021power} focuses on reducing biases in LLMs by refining prompts provided by users.",lester2021power,2404.01349,Fairness in Large Language Models: A Taxonomic Survey,s0018,single_cite_key
4_Taxonomy_of_Adversarial_Attacks_on_RAG.tex,"\subsubsection{Untargeted Accuracy Attacks} \label{sec:accuracy_untargeted} In contrast to targeted attacks, which aim to induce incorrect outputs for a designated set of queries under related topics, untargeted attacks focus on bypassing safety constraints and inducing incorrect or policy violations for diverse queries~\cite{zou2023universaltransferableadversarialattacks}.",zou2023universaltransferableadversarialattacks,2608.24977,"Retrieved But Not Reliable: A Survey on Attacks, and Defenses in Retrieval-Augmented Generation",s0019,single_cite_key
4_Taxonomy_of_Adversarial_Attacks_on_RAG.tex,"However, \citet{wang2025ragleaks} show that response similarity--semantic similarity between the generated response and the target document--does not directly represent the membership status, then propose a difficulty-calibrated membership inference that isolates the true membership signal via a reference RAG.",wang2025ragleaks,2608.24977,"Retrieved But Not Reliable: A Survey on Attacks, and Defenses in Retrieval-Augmented Generation",s0020,single_cite_key
Appendix.tex,"\citet{zheng2025knowshiftqa} examine knowledge conflict, where retrieved evidence disagrees with the model's parametric memory; it appears that models do not always follow updated retrieved facts.",zheng2025knowshiftqa,2608.24977,"Retrieved But Not Reliable: A Survey on Attacks, and Defenses in Retrieval-Augmented Generation",s0021,single_cite_key
table_dataset.tex,% \clearpage \begin{table*}[ht] \centering \scriptsize % \tiny % \begin{tabular}{|p{1.0cm}|p{3cm}|p{2.5cm}|p{1.7cm}|p{4cm}|p{1.2cm}|} % \resizebox{\linewidth}{!}{ \begin{tabular}{|m{1.0cm}|m{2.9cm}|m{2.5cm}|m{1.7cm}|m{4.3cm}|m{0.9cm}|} \hline \textbf{Category} & \textbf{Dataset} & \textbf{Task} & \textbf{Size} & \textbf{Label Type} & \textbf{Links} \\ \hline \multirow{16}{*}{\parbox{1.0cm}{\centering\textbf{Task-specific}}} & DialogueNLI \citep{welleck2018dialogue} & Dialogue & 343k pairs & Enta,welleck2018dialogue;falke-etal-2019-ranking;maynez-etal-2020-faithfulness;wang-etal-2020-asking;huang-etal-2020-achieved;pagnoni-etal-2021-understanding;utama-etal-2022-falsesum;wang-etal-2022-analyzing;devaraj-etal-2022-evaluating;soleimani-etal-2023-nonfacts;gao-etal-2023-reference;chen_diahalu_2024;tang-etal-2024-tofueval;niu-etal-2024-ragtruth;luo-etal-2024-summacoz;bao_faithbench_2025;honovich-etal-2021-q2;ATokenlevelReferencefreeH2022Dolan;lin-etal-2022-truthfulqa;muhlgay2023generating;li2023halueval;yang2023new;mishra_fine-grained_2024;liang_thames_2024;su2024unsupervised;bang2025hallulensllmhallucinationbenchmark;vu2023freshllms;oh2024erbench;yu2023kola;kasai2024realtime;FactBench2025Wang;wei2024measuringshortformfactualitylarge,2404.12041,A Survey of Automatic Hallucination Evaluation on Natural Language Generation,s0025,likely_latex_artifact
