arxiv_id,title,published
2609.03816,When Vision Meets Graphs: A Survey on Graph Reasoning and Learning,2026-09-03
2609.02984,From Euclidean to Graph-Structured Data: A Survey of Collaborative Learning,2026-09-02
2609.01212,Recent Developments in Transformer Inference Deployment on FPGA Platforms: A Survey,2026-09-01
2609.01194,Births are difficult to predict even with rich survey and full-population register data,2026-09-01
2608.29667,A Target-Centric Survey of Quantization-Aware Training,2026-08-30
2608.26500,Systematic Literature Review of Machine Learning Models and Applications for Text Recognition,2026-08-27
2608.26226,LLM Agents for Time-Series: A Survey,2026-08-26
2608.25667,AI Slop and Hallucinations in Vulnerability Assessment: A Survey on Reasoning Failures and Trustworthy Mitigation,2026-08-26
2608.25050,"ARISMA: Guidelines for AI- and LLM-Assisted Systematic Reviews, Scoping Reviews, and Mapping Studies",2026-08-25
2608.21107,Large Language Models at the Intersection of Software Engineering and Software Security:An Evidence-Centered Structured Survey and Research Agenda,2026-08-21
2608.20743,Is Multimodal Speculative Decoding Ready for Diffusion-Based Parallel Drafting? A Survey and Empirical Diagnosis,2026-08-21
2608.20485,Terminal Agents: A Survey of AI Agents in Command-Line Environments,2026-08-20
2608.18188,A systematic review of machine learning techniques to address diagnosis and treatment of autism: challenges and opportunities,2026-08-18
2608.15459,Not All Attention Is Equal: A Quantitative Survey of the EEI Trade-off,2026-08-16
2608.10047,Physics-Informed Machine Learning in Prognostics and Health Management: A Systematic Literature Review,2026-08-10
2608.06085,Signal or Spurious Cue? A Randomized Audit of Survey-Country Metadata in LLM Social Inference,2026-08-06
2608.02699,Explainable AI for the EU Right to Explanation: A Systematic Review of the Law-XAI Translation Gap,2026-08-03
2607.26212,"Multi-Agent Debate Strategies: Survey, Taxonomy, and Challenges",2026-07-28
2608.07535,Evolving Safety Landscape of Multi-modal Large Language Models: A Survey of Emerging Threats and Safeguards,2026-07-27
2607.24991,Preliminary Guidelines for Using and Evaluating GenAI Tools to Support Systematic Literature Reviews,2026-07-27
2607.16066,"LLM-Powered Agentic AI for 5G/6G Networks: A Tutorial and Survey on Architectures, Protocols, and Standardization",2026-07-17
2607.13123,"AI in Cyberpsychology: A systematic literature review of Cybersecurity enhancement by using AI for analyzing psychology of Victims, Attackers, and Defenders",2026-07-14
2607.14141,Human AI Construction of Bayesian Networks for Operational Decision Support -- A Virtual Survey Approach,2026-07-13
2607.10113,Dynamic Agent Skills: A Lifecycle Survey and Taxonomy of Evolving Skill Libraries,2026-07-11
2607.09792,A Comprehensive Survey and Systematic Real-World Evaluation of Embodied Vision-and-Language Navigation,2026-07-09
2607.07761,Aligning Clinical Needs and AI Capabilities: A Survey on LLMs for Medical Reasoning,2026-07-08
2607.05031,LLM-Based Test Oracles: Source-of-Authority Taxonomy -- A Systematic Literature Review,2026-07-06
2607.13054,Autonomous UAV Route Planning for Coverage Maximization in Environmental Monitoring: A Systematic Literature Review,2026-07-03
2607.01305,Generative AI and Federated Learning for Intrusion Detection Systems: A Survey,2026-07-01
2608.26150,Leveraging Large Language Models for Systematic Literature Review of Disease Spread Models,2026-07-01
2608.21374,LitReview Arena: Evaluating Literature Review Agents with Battle-Style Peer Review Platform,2026-07-01
2607.00527,AI Native Games: A Survey and Roadmap,2026-07-01
2607.02574,From Tensor Buffer to Distributed Memory Hierarchy: A Survey of KV Cache Management for LLM Serving,2026-06-30
2606.31639,"A Lifecycle and Application-Stack Survey of Large Language Model Vulnerabilities: Attacks, Risks, Defenses, and Open Problems",2026-06-30
2606.30306,"Always-OnAgents:A Survey of Persistent Memory, State, and Governance in LLMAgents",2026-06-29
2608.05179,Autonomous Research Agents: A Survey of AI Scientists and the Verification Gap,2026-06-29
2608.26145,LLMs for Academic Workflows: An Evaluation of Literature Reviews Generated with Short and Long Context Windows of LLMs,2026-06-28
2608.20379,A Survey on Foundations and Frontiers of Multimodal Agentic Frameworks: Techniques and Applications,2026-06-28
2606.28450,LLM agents security duality: a comprehensive survey of self-security and empowered cybersecurity,2026-06-26
2606.26627,Agents That Know Too Much: A Data-Centric Survey of Privacy in LLM Agents,2026-06-25
2607.16227,"LLM Unlearning for Cyber Defense: A Survey on Methods, Challenges, and Emerging Threats",2026-06-23
2608.14590,"Toward Safe LLM Agents: A Survey of Specification, Verification, and Enforcement",2026-06-22
2606.22793,A Formula-Driven Survey and Research Agenda for On-Policy Distillation,2026-06-22
2608.28597,The Race between Agentic AI Capabilities and Data Quality Control in Online Surveys,2026-06-21
2608.07494,How to Ask the AI: A User Perspective Survey for Large Language Model Prompting,2026-06-17
2606.30660,Improving Survey Participation in Low-Literacy Populations Through Value-Sensitive Conversational AI,2026-06-16
2606.16153,"A Comprehensive Survey of Medical Image Segmentation: Challenges, Benchmarks, and Beyond",2026-06-15
2608.18104,Self-Evolving Agents as Dynamic Graph Transformation: A Survey and New Perspective,2026-06-10
2606.10706,"Unifying Data, Memory, and Compute Efficiency in LLM training: A Survey",2026-06-09
2606.06563,AI-Driven Test Case Generation from Natural Language Requirements: A Survey of Techniques and Research Gaps,2026-06-04
2606.04990,From Agent Traces to Trust: A Survey of Evidence Tracing and Execution Provenance in LLM Agents,2026-06-03
2607.01252,How Indian Dermatologists are Utilizing Artificial Intelligence for Clinical Practice and Workflow Management: A Nationwide Survey with a Special Focus on atopic dermatitis,2026-06-03
2606.01015,"AI-IoT-Robotics Integration: Survey of Frameworks, Emerging Trends, and the Path Toward Connected Robotics",2026-05-31
2608.18080,"Large Language Models in Mental Health: A Systematic Review of Applications, Innovations, and Ethical Challenges",2026-05-31
2608.26110,Exploring the Role of LLMs in HPC Programming: A Survey,2026-05-24
2607.21611,A Systematic Survey on Image Description Techniques for STEM Domains,2026-05-22
2605.21778,What Counts as AI Sycophancy? A Taxonomy and Expert Survey of a Fragmented Construct,2026-05-20
2608.24890,AI-Powered Mental Health Chatbots in Africa: A Systematic Review and Culturally Adaptive Framework,2026-05-17
2605.14892,"Beyond Individual Intelligence: Surveying Collaboration, Failure Attribution, and Self-Evolution in LLM-based Multi-Agent Systems",2026-05-14
2605.23955,From Accuracy to Auditability: A Survey of Determinism in Financial AI Systems,2026-05-11
2605.08963,Survey-aware Machine Learning: A Guideline for Valid Population Health Inference based on Scoping Review,2026-05-09
2605.08679,Attention-based graph neural networks: a survey,2026-05-09
2605.05267,Bridging Generation and Training: A Systematic Review of Quality Issues in LLMs for Code,2026-05-06
2605.13873,Large Language Models for Web Accessibility: A Systematic Literature Review,2026-05-06
2605.03213,When Agents Handle Secrets: A Survey of Confidential Computing for Agentic AI,2026-05-04
2605.01392,Using LLMs in Software Design: An Empirical Study of GitHub and A Practitioner Survey,2026-05-02
2605.00063,A Survey of Reasoning-Intensive Retrieval: Progress and Challenges,2026-04-30
2604.25960,Large Language Models for Multilingual Code Intelligence: A Survey,2026-04-27
2604.23338,A Systematic Survey of Security Threats and Defenses in LLM-Based AI Agents: A Layered Attack Surface Framework,2026-04-25
2604.23001,"Vision-Language-Action in Robotics: A Survey of Datasets, Benchmarks, and Data Engines",2026-04-24
2604.22861,IntrAgent: An LLM Agent for Content-Grounded Information Retrieval through Literature Review,2026-04-23
2604.21030,A Systematic Review and Taxonomy of Reinforcement Learning-Model Predictive Control Integration for Linear Systems,2026-04-22
2604.17312,A Survey of Reinforcement Learning for Large Language Models under Data Scarcity: Challenges and Solutions,2026-04-19
2604.15385,Prompt-Driven Code Summarization: A Systematic Literature Review,2026-04-16
2604.16516,"Operationalizing Fairness in Text-to-Image Models: A Survey of Bias, Fairness Audits and Mitigation Strategies",2026-04-15
2604.12944,Distorted or Fabricated? A Survey on Hallucination in Video LLMs,2026-04-14
2606.15577,Large Language Models as Optimizers: A Survey of Direct vs. Tool-Augmented Approaches and Their Performance Frontiers,2026-04-09
2604.08016,Wiring the 'Why': A Unified Taxonomy and Survey of Abductive Reasoning in LLMs,2026-04-09
2606.23690,"Beyond the Autoregressive Horizon: A Comprehensive Survey of Diffusion Models, World Modelling, and State Space Models for Code",2026-04-09
2604.07857,Networking-Aware Energy Efficiency in Agentic AI Inference: A Survey,2026-04-09
2605.02913,"Generate, Filter, Control, Replay: A Comprehensive Survey of Rollout Strategies for LLM Reinforcement Learning",2026-04-08
2606.28363,meta-pipe: An LLM-agent pipeline for end-to-end automated systematic review and meta-analysis,2026-04-05
2603.27918,Adversarial Attacks on Multimodal Large Language Models: A Comprehensive Survey,2026-03-30
2603.27460,Project Imaging-X: A Survey of 1000+ Open-Access Medical Imaging Datasets for Foundation Model Development,2026-03-29
2603.26838,Concerning Uncertainty -- A Systematic Survey of Uncertainty-Aware XAI,2026-03-27
2605.12509,Representing Higher-Order Networks: A Survey of Graph-Based Frameworks,2026-03-24
2603.22327,Evaluating AI-based Scientific Knowledge Synthesis with Epidemiological Systematic Reviews,2026-03-20
2603.16975,The State of Generative AI in Software Development: Insights from Literature and a Developer Survey,2026-03-17
2603.15709,Survey of Various Fuzzy and Uncertain Decision-Making Methods,2026-03-16
2603.13570,Privacy-Preserving Machine Learning for IoT: A Cross-Paradigm Survey and Future Roadmap,2026-03-13
2603.11093,A Survey of Reasoning in Autonomous Driving Systems: Open Challenges and Emerging Paradigms,2026-03-11
2603.11088,The Attack and Defense Landscape of Agentic AI: A Comprehensive Survey,2026-03-11
