pair_id,label,rationale
r2_000,not_contradiction,"NER Portuguese pattern-matching vs SDoH extraction pipeline; different languages, domains, and datasets, no comparable claim."
r2_001,not_contradiction,"PAMPO Portuguese NER vs TWIX gut-brain axis IE benchmark; different domains, datasets and subtasks."
r2_002,not_contradiction,SDoH extraction NER vs TWIX gut-brain IE benchmark; different clinical vs biomedical-literature domains.
r2_003,not_contradiction,Constituency parsing method (not dependency) vs Tamil dependency parser; different task variant and language.
r2_004,not_contradiction,Constituency parsing (En/Fr) vs cross-lingual UD parsing framework; different specific task and languages.
r2_005,not_contradiction,Tamil-specific dependency parser vs cross-lingual UD parser (En/Zh/22 treebanks); no shared benchmark.
r2_006,not_contradiction,Text-based web-similarity emotion recognition vs speech-based emotion recognition; entirely different modality.
r2_007,not_contradiction,Web-text emotion recognition vs RAVDESS speech emotion recognition; different modality and dataset.
r2_008,not_contradiction,Web-text emotion recognition vs conversational (ERC) curriculum learning; different modality and task variant.
r2_009,not_contradiction,"Web-text emotion recognition vs Farsi dialogue benchmark; different task, language, and modality."
r2_010,not_contradiction,"IEMOCAP 4-class (69.1%) vs RAVDESS 14-class (68%) speech emotion accuracy; different dataset/class setup, not comparable."
r2_011,not_contradiction,IEMOCAP speech emotion recognition vs conversation-level ERC curriculum framework; different task setting.
r2_012,not_contradiction,"Speech emotion recognition (IEMOCAP, English) vs Farsi dialogue benchmark; unrelated language and focus."
r2_013,not_contradiction,"RAVDESS speech emotion recognition vs ERC curriculum learning; different task/dataset, no shared claim."
r2_014,not_contradiction,RAVDESS speech emotion recognition vs Farsi dialogue benchmark; unrelated task and language.
r2_015,not_contradiction,"ERC curriculum learning vs Farsi dialogue benchmark, where emotion is a minor subtask; no comparable claim."
r2_016,not_contradiction,FPGA hardware accelerator for LSTM ASR vs policy-learning training objective for ASR; orthogonal contributions.
r2_017,not_contradiction,FPGA hardware ASR accelerator vs speech-translation pipeline system; different focus and task.
r2_018,not_contradiction,FPGA hardware ASR accelerator vs Common Voice multilingual corpus paper; different contribution type.
r2_019,not_contradiction,"FPGA hardware ASR accelerator vs Sudanese-dialect ASR model; different focus, language, and metric."
