key,year,title,url
ollagnier-2026-antisocial,2026,Antisocial Behavior Prediction: A Survey and Practical Guide,https://aclanthology.org/2026.wassa-1.18/
pedinotti-santus-2026-structsurvey,2026,{S}truct{S}urvey: Structured Agentic Retrieval for Automated Survey Paper Generation,https://aclanthology.org/2026.surgellm-1.10/
zevallos-etal-2026-amazonianlp,2026,{A}mazonia{NLP}: A Survey of Extreme Low-Resource Languages in the {P}eruvian-{B}razilian {A}mazon,https://aclanthology.org/2026.sigul-1.28/
plausinaityte-zinsmeister-2026-survey,2026,A Survey of the Digitisation of {G}erman Newspapers in interwar {L}ithuania (1918{--}1940),https://aclanthology.org/2026.pressmint-1.11/
chakraborty-etal-2026-datasets,2026,Datasets and Methods for Improving the Cultural Capabilities of {NLP} Systems: A Survey,https://aclanthology.org/2026.nlpcss-1.14/
alali-etal-2026-llms,2026,{LLM}s in the Enterprise: A Systematic Review of Security Architectures for {RAG}-Augmented Chatbots,https://aclanthology.org/2026.nlpaics-1.25/
libovicky-2026-credibility,2026,On the Credibility of Evaluating {LLM}s using Survey Questions,https://aclanthology.org/2026.mme-main.2/
pannitto-etal-2026-survey,2026,Survey of Tools for Manual Linguistic Annotation: Supporting Diversity through Interactive Exploration,https://aclanthology.org/2026.lrec-1.905/
rodrigo-gines-chamorro-padial-2026-media,2026,Media Bias within Information Disorder: Bridging Two Research Communities through a Systematic Review,https://aclanthology.org/2026.indor-1.5/
nourbakhsh-etal-2026-llm,2026,Are {LLM} Benchmarks Already Contaminated? A Systematic Review of Contamination Detection Methods,https://aclanthology.org/2026.gem-main.50/
acarturk-etal-2026-survey,2026,A Survey of Incorporating Gaze Data into Natural Language Processing Models and Applications,https://aclanthology.org/2026.gaze4nlp-1.10/
wischounig-etal-2026-negative,2026,Negative Sampling Techniques in Dense Retrieval: A Survey,https://aclanthology.org/2026.findings-eacl.157/
deng-etal-2026-data,2026,Data-Centric Perspectives on Agentic Retrieval-Augmented Generation: A Survey,https://aclanthology.org/2026.findings-acl.78/
xu-etal-2026-towards,2026,Towards Modern Topic Models: A Survey of Taxonomies and Paradigm Shifts from Algorithm-Centric to {LLM}-Centered Topic Analysis,https://aclanthology.org/2026.findings-acl.326/
wan-etal-2026-test,2026,Test-Time Scaling in Multimodal Foundation Models: A Comprehensive Survey of Generation and Reasoning,https://aclanthology.org/2026.findings-acl.383/
zhou-etal-2026-attack,2026,From Attack Surfaces to Actual Operations: A Survey of {M}odern {LLM} Jailbreaks,https://aclanthology.org/2026.findings-acl.929/
yehudai-etal-2026-survey,2026,A Survey on Evaluation of {LLM}-based Agents,https://aclanthology.org/2026.findings-acl.1330/
zhang-etal-2026-datasets,2026,Datasets for Scientific Literature Understanding: A Survey,https://aclanthology.org/2026.findings-acl.1414/
lan-etal-2026-making,2026,"Making Revisions Understandable: A Survey of Edit Intentions, Methods, and Applications",https://aclanthology.org/2026.findings-acl.1747/
dan-etal-2026-survey,2026,A Survey of Toxicity Mitigation Strategies for Multilingual Language Models,https://aclanthology.org/2026.findings-acl.1780/
liu-zhang-2026-ai,2026,"{AI} Agents for the Science of Science: A Survey of Tasks, Architectures, Evaluations, and Challenges",https://aclanthology.org/2026.findings-acl.1804/
ma-etal-2026-towards,2026,Towards Unified Multimodal Large Language Models: A survey,https://aclanthology.org/2026.findings-acl.1853/
orrego-carmona-etal-2026-reaching,2026,Reaching multilingual communities: a survey mapping {MT} use in the West Midlands ({UK}) third and public sector organisations,https://aclanthology.org/2026.eamt-1.38/
ilkilic-etal-2026-automatic,2026,Automatic translation in public services: A survey of the {F}innish public sector,https://aclanthology.org/2026.eamt-1.45/
ma-etal-2026-text,2026,Text-to-Text Automatic Story Generation: A Survey,https://aclanthology.org/2026.eacl-srw.39/
krasnodebska-etal-2026-safety,2026,"Safety of Large Language Models Beyond {E}nglish: A Systematic Literature Review of Risks, Biases, and Safeguards",https://aclanthology.org/2026.eacl-long.44/
schoch-2026-derived,2026,Derived Text Formats as Strategic Transformations of In-Copyright Materials to Support Open Science: A Survey,https://aclanthology.org/2026.dtf-1.1/
yang-etal-2026-annotation,2026,"Annotation Tools for Language Documentation: A Survey of Capabilities, Gaps, and Morphological Support",https://aclanthology.org/2026.computel-1.9/
molino-pinar-etal-2026-automatic,2026,Automatic Generation of Discharge Summaries Using Large Language Models: A Systematic Literature Review,https://aclanthology.org/2026.clinicalnlp-1.9/
thompson-etal-2026-evaluating,2026,Evaluating Professional Acceptability of {LLM}-Generated Systematic Review Summaries in Healthcare: Psychiatrists' Perspectives,https://aclanthology.org/2026.cl4health-1.18/
alharbi-stevenson-2026-nlp,2026,Can {NLP} Models Detect When One Publication Outweighs Twenty? Predicting Systematic Review Conclusion Changes,https://aclanthology.org/2026.bionlp-1.68/
tzachristas-tzachristas-2026-natural,2026,From Natural Language to Certified Geometry Proofs: A Survey of {LLM}-Augmented Verification and Neuro-Symbolic Theorem Proving,https://aclanthology.org/2026.bigpicture-main.1/
tzachristas-etal-2026-open,2026,Open Problems Solved by {LLM}s? A Survey of Verifiable Mathematical Discovery,https://aclanthology.org/2026.bigpicture-main.2/
saha-etal-2026-reference,2026,Reference-Free Schema Generation for Literature Review Tables via Multi-Faceted Rewards,https://aclanthology.org/2026.acl-srw.111/
zheng-etal-2026-comprehensive,2026,"A Comprehensive Survey of Process Reward Models: Data Generation, Model Construction, and Usage",https://aclanthology.org/2026.acl-long.163/
kumar-etal-2026-looking,2026,Looking at Radiology Report Generation through a Causal Lens: A Survey,https://aclanthology.org/2026.acl-long.186/
yuan-etal-2026-reducing,2026,Reducing Token Redundancy in {LVLM}s: A Systematic Review of Token Pruning Methods,https://aclanthology.org/2026.acl-long.328/
xi-etal-2026-survey,2026,A Survey of Large Language Model-Based Search Agents,https://aclanthology.org/2026.acl-long.374/
sheth-etal-2026-beyond,2026,Beyond Monolingual Assumptions: A Survey on Code-Switched {NLP} in the Era of Large Language Models across Modalities,https://aclanthology.org/2026.acl-long.386/
yang-etal-2026-survey-multimodal,2026,"A Survey of Multimodal Mathematical Reasoning: From Perception, Alignment to Reasoning",https://aclanthology.org/2026.acl-long.1961/
dong-etal-2026-revealing,2026,"Revealing the Seen, Imagining the Beyond: A Survey of Image-Grounded Chain-of-Thought Reasoning in Multimodal {LLM}s",https://aclanthology.org/2026.acl-long.2087/
chen-etal-2026-jarvis,2026,{JARVIS} or Ultron? A Survey on the Safety and Security Threats of Computer-Using Agents,https://aclanthology.org/2026.acl-long.2106/
yao-yu-2026-llm,2026,{LLM}-Based Multi-Agent Systems for Clinical Workflows: A Survey of {AI} Hospitals,https://aclanthology.org/2026.acl-long.2123/
wang-etal-2026-words,2026,From Words to Pixels: A Comprehensive Survey on Large Language Models in Visual Segmentation,https://aclanthology.org/2026.acl-long.2155/
dias-sumanathilaka-2025-systematic,2025,A Systematic Review on Machine Translation and Transliteration Techniques for Code-Mixed {I}ndo-{A}ryan Languages,https://aclanthology.org/2025.wat-1.6/
gari-soler-etal-2025-potentially,2025,Potentially Problematic Word Usages and How to Detect Them: A Survey,https://aclanthology.org/2025.starsem-1.35/
lamsiyah-etal-2025-trust,2025,Trust but Verify: A Comprehensive Survey of Faithfulness Evaluation Methods in Abstractive Text Summarization,https://aclanthology.org/2025.ranlp-1.74/
nguyen-etal-2025-survey,2025,A Survey on Small Language Models,https://aclanthology.org/2025.ranlp-1.93/
vats-etal-2025-systematic,2025,"A Systematic Survey of Quantum Natural Language Processing: Models, Encoding Paradigms, and Evaluation Methods",https://aclanthology.org/2025.quantumnlp-1.8/
phukan-ekbal-2025-survey,2025,A Survey of Quantum Natural Language Processing: From Compositional Models to {NISQ}-Era Empiricism,https://aclanthology.org/2025.quantumnlp-1.9/
d-lewis-etal-2025-tapping,2025,Tapping into Social Media in Crisis: A Survey,https://aclanthology.org/2025.nlp4pi-1.27/
zhang-2025-bridging,2025,Bridging Multimodal and Video Summarization: A Unified Survey,https://aclanthology.org/2025.newsum-main.11/
liu-best-2025-survey,2025,A Survey of {NLP} Progress in {S}ino-{T}ibetan Low-Resource Languages,https://aclanthology.org/2025.naacl-long.396/
mititelu-etal-2025-survey,2025,Survey on Lexical Resources Focused on Multiword Expressions for the Purposes of {NLP},https://aclanthology.org/2025.mwe-1.6/
jimenez-crespo-rodriguez-2025-ai,2025,Is it {AI} or {PE} that worry translation professionals: results from a Human-Centered {AI} survey,https://aclanthology.org/2025.mtsummit-1.32/
anikina-etal-2025-building,2025,Building Common Ground in Dialogue: A Survey,https://aclanthology.org/2025.luhme-1.2/
sorato-zavala-rojas-2025-evaluating,2025,Evaluating the Feasibility of Using {C}hat{GPT} for Cross-cultural Survey Translation,https://aclanthology.org/2025.konvens-1.16/
bellinghausen-riedel-2025-systematic,2025,Systematic Review of Linguistic Characteristics in Profiling and Automated Detection of Autistic Speech,https://aclanthology.org/2025.konvens-1.23/
castillo-lopez-etal-2025-survey,2025,A Survey of Recent Advances on Turn-taking Modeling in Spoken Dialogue Systems,https://aclanthology.org/2025.iwsds-1.27/
schmidtova-etal-2025-eyes,2025,Do My Eyes Deceive Me? A Survey of Human Evaluations of Hallucinations in {NLG},https://aclanthology.org/2025.inlg-main.4/
perera-sumanathilaka-2025-machine,2025,Machine Translation and Transliteration for {I}ndo-{A}ryan Languages: A Systematic Review,https://aclanthology.org/2025.indonlp-1.2/
zhu-etal-2025-asaudio,2025,{ASA}udio: A Survey of Advanced Spatial Audio Research,https://aclanthology.org/2025.ijcnlp-long.25/
das-etal-2025-video,2025,"Video-guided Machine Translation: A Survey of Models, Datasets, and Challenges",https://aclanthology.org/2025.ijcnlp-long.178/
belosevic-2025-user,2025,User-Centric Design Paradigms for Trust and Control in Human-{LLM}-Interactions: A Survey,https://aclanthology.org/2025.hcinlp-1.3/
pitts-etal-2025-survey,2025,A Survey of {LLM}-Based Applications in Programming Education: Balancing Automation and Human Oversight,https://aclanthology.org/2025.hcinlp-1.21/
liu-etal-2025-large-language,2025,Large Language Models and Causal Inference in Collaboration: A Comprehensive Survey,https://aclanthology.org/2025.findings-naacl.427/
shao-etal-2025-llm,2025,{LLM}-Empowered Patient-Provider Communication: A Data-Centric Survey From a Clinical Perspective,https://aclanthology.org/2025.findings-ijcnlp.40/
poria-huang-2025-bhaasha,2025,"Bhaasha, Bh{\={a}}ṣ{\={a}}, Zaban: A Survey for Low-Resourced Languages in {S}outh {A}sia {--} Current Stage and Challenges",https://aclanthology.org/2025.findings-emnlp.73/
ti-etal-2025-towards,2025,Towards Reverse Engineering of Language Models: A Survey,https://aclanthology.org/2025.findings-emnlp.395/
brito-etal-2025-modeling,2025,"Modeling, Evaluating, and Embodying Personality in {LLM}s: A Survey",https://aclanthology.org/2025.findings-emnlp.506/
li-etal-2025-survey,2025,A Survey of {RAG}-Reasoning Systems in Large Language Models,https://aclanthology.org/2025.findings-emnlp.648/
wu-etal-2025-multi,2025,"Multi-Agent Autonomous Driving Systems with Large Language Models: A Survey of Recent Advances, Resources, and Future Directions",https://aclanthology.org/2025.findings-emnlp.683/
hu-etal-2025-mitigating,2025,Mitigating Sequential Dependencies: A Survey of Algorithms and Systems for Generation-Refinement Frameworks in Autoregressive Models,https://aclanthology.org/2025.findings-emnlp.716/
teleki-etal-2025-survey,2025,A Survey on {LLM}s for Story Generation,https://aclanthology.org/2025.findings-emnlp.750/
zhu-etal-2025-survey,2025,A Survey on Multi-modal Intent Recognition: Recent Advances and New Frontiers,https://aclanthology.org/2025.findings-emnlp.823/
wu-2025-comprehensive,2025,A Comprehensive Survey on Learning from Rewards for Large Language Models: Reward Models and Learning Strategies,https://aclanthology.org/2025.findings-emnlp.970/
dong-etal-2025-large,2025,"Large Language Model Agents in Finance: A Survey Bridging Research, Practice, and Real-World Deployment",https://aclanthology.org/2025.findings-emnlp.972/
zerong-etal-2025-systematic,2025,"A Systematic Survey of Claim Verification: Corpora, Systems, and Case Studies",https://aclanthology.org/2025.findings-emnlp.1170/
