pair_id,label_A,rationale_A,label_B,rationale_B
r2_000,not_contradiction,"Different domains (general Portuguese NER vs clinical SDoH extraction), NER only a subcomponent",not_contradiction,"NER Portuguese pattern-matching vs SDoH extraction pipeline; different languages, domains, and datasets, no comparable claim."
r2_001,not_contradiction,"Different domains/languages, NER a subcomponent in both, no comparable claim",not_contradiction,"PAMPO Portuguese NER vs TWIX gut-brain axis IE benchmark; different domains, datasets and subtasks."
r2_002,not_contradiction,Different domains (clinical SDoH vs gut-brain biomedical IE benchmark),not_contradiction,SDoH extraction NER vs TWIX gut-brain IE benchmark; different clinical vs biomedical-literature domains.
r2_003,not_contradiction,Different languages/architectures (English/French constituency parsing vs Tamil dependency parsing pipeline),not_contradiction,Constituency parsing method (not dependency) vs Tamil dependency parser; different task variant and language.
r2_004,not_contradiction,Different specific goals (constituency parsing algorithm vs cross-lingual UD transfer),not_contradiction,Constituency parsing (En/Fr) vs cross-lingual UD parsing framework; different specific task and languages.
r2_005,not_contradiction,"Complementary strategies for low-resource parsing (tool-pipeline vs cross-lingual transfer), not conflicting",not_contradiction,Tamil-specific dependency parser vs cross-lingual UD parser (En/Zh/22 treebanks); no shared benchmark.
r2_006,not_contradiction,Different modalities: text lexical-similarity emotion ranking vs speech emotion recognition,not_contradiction,Text-based web-similarity emotion recognition vs speech-based emotion recognition; entirely different modality.
r2_007,not_contradiction,Different modalities (text vs speech feature comparison),not_contradiction,Web-text emotion recognition vs RAVDESS speech emotion recognition; different modality and dataset.
r2_008,not_contradiction,Different settings: single-sentence web-similarity vs conversational ERC curriculum learning,not_contradiction,Web-text emotion recognition vs conversational (ERC) curriculum learning; different modality and task variant.
r2_009,not_contradiction,Different scope/language (text ER method vs Farsi dialogue benchmark using ER as one subtask),not_contradiction,"Web-text emotion recognition vs Farsi dialogue benchmark; different task, language, and modality."
r2_010,not_contradiction,"Both speech ER but different datasets/class-counts (IEMOCAP 4-class 69.1% vs RAVDESS 14-class 68%), not comparable numbers -- closest near-miss in this pair group",not_contradiction,"IEMOCAP 4-class (69.1%) vs RAVDESS 14-class (68%) speech emotion accuracy; different dataset/class setup, not comparable."
r2_011,not_contradiction,Different task framing: single-utterance vs conversational ERC,not_contradiction,IEMOCAP speech emotion recognition vs conversation-level ERC curriculum framework; different task setting.
r2_012,not_contradiction,Different scope (method vs Farsi benchmark),not_contradiction,"Speech emotion recognition (IEMOCAP, English) vs Farsi dialogue benchmark; unrelated language and focus."
r2_013,not_contradiction,Different task framing: single-utterance feature comparison vs conversational ERC,not_contradiction,"RAVDESS speech emotion recognition vs ERC curriculum learning; different task/dataset, no shared claim."
r2_014,not_contradiction,Different scope (feature comparison vs Farsi benchmark),not_contradiction,RAVDESS speech emotion recognition vs Farsi dialogue benchmark; unrelated task and language.
r2_015,not_contradiction,Different scope (curriculum learning method vs benchmark+language),not_contradiction,"ERC curriculum learning vs Farsi dialogue benchmark, where emotion is a minor subtask; no comparable claim."
r2_016,not_contradiction,Different objectives: hardware compression efficiency vs training-objective accuracy for ASR,not_contradiction,FPGA hardware accelerator for LSTM ASR vs policy-learning training objective for ASR; orthogonal contributions.
r2_017,not_contradiction,Different specific tasks: ASR hardware compression vs speech-translation system description,not_contradiction,FPGA hardware ASR accelerator vs speech-translation pipeline system; different focus and task.
r2_018,not_contradiction,Different contributions: hardware compression vs multilingual data resource,not_contradiction,FPGA hardware ASR accelerator vs Common Voice multilingual corpus paper; different contribution type.
r2_019,not_contradiction,Different contributions/domains: hardware compression vs Sudanese dialect ASR,not_contradiction,"FPGA hardware ASR accelerator vs Sudanese-dialect ASR model; different focus, language, and metric."
r2_020,not_contradiction,Different tasks/metrics: WER-focused training objective vs BLEU-focused speech translation system,not_contradiction,Policy-learning ASR (WER on WSJ/Librispeech) vs speech-translation system (BLEU); different task and metric.
r2_021,not_contradiction,Different contributions: training objective vs multilingual data resource,not_contradiction,"Policy-learning ASR (WSJ/Librispeech, English) vs Common Voice corpus (12 languages); no shared dataset."
r2_022,not_contradiction,Different scope: training objective vs Sudanese dialect ASR,not_contradiction,"Policy-learning ASR (WSJ/Librispeech, English) vs Sudanese-dialect ASR; different language and dataset."
r2_023,not_contradiction,Completely different tasks (table QA program induction vs LLM pruning study); share only incidental keyword,not_contradiction,Neural Programmer table QA vs Llama-3.2 width-pruning study; 'multi-step reasoning' mentioned only incidentally.
r2_024,not_contradiction,"Different domains: general OCR correction vs comics-specific OCR pipeline, no comparable metric",not_contradiction,OCR post-processing correction method vs Comics OCR benchmark/dataset; different contribution type and domain.
r2_025,not_contradiction,Different tasks: biomedical author-role extraction vs general diffusion-based OpenIE architecture,not_contradiction,Author-contribution role extraction using OpenIE as a tool vs DiffIE OpenIE model; different specific task.
r2_026,not_contradiction,"Complementary: method paper (English) vs new low-resource cross-lingual dataset (Urdu), not conflicting",not_contradiction,English IEMOCAP spontaneity study vs cross-lingual Urdu emotion recognition; no shared comparable number.
r2_027,not_contradiction,Different contributions: pretraining objective for summarization vs data-cleaning method for hallucinations,not_contradiction,"PEGASUS summarization pretraining vs error-attribution data-cleaning method; different contributions, no conflicting claim."
r2_028,not_contradiction,Different specific tasks: broad dialogue-system competition overview vs video-localization framework,not_contradiction,Alexa Prize dialog overview (commonsense mentioned briefly) vs zero-shot video localization; unrelated tasks.
r2_029,not_contradiction,Different languages/tasks: Vietnamese SRL vs English KBQA semantic parsing synthetic-data method,not_contradiction,Vietnamese semantic role labelling vs TARGA synthetic data for KBQA; different specific task and language.
r2_030,not_contradiction,Different contributions: turn-taking-timing method vs Farsi benchmark,not_contradiction,"Chatbot turn-timing control vs Farsi dialogue benchmark; different focus and language, no overlap."
r2_031,not_contradiction,Different domains/languages: French customer-care theme detection vs Vietnamese chatbot data clustering,not_contradiction,"French ASR-based theme detection vs Vietnamese Facebook-chat clustering; different language, task, and pipeline."
r2_032,not_contradiction,Speaker recognition only tangentially mentioned in both; neither paper's central comparable claim,not_contradiction,Transformer ASR with prosody features (LibriSpeech WER) vs SLUE SLU benchmark suite; different specific claim.
r2_033,not_contradiction,Different tasks: seq2seq regularization (NMT/summarization) vs multimodal fact verification; 'multi-class classification' generic framing,not_contradiction,Seq2seq regularization for MT (classification framing incidental) vs multimodal fact verification; unrelated tasks.
r2_034,not_contradiction,Different domains: factory inspection-sheet digitization vs comics OCR text detection,not_contradiction,Industrial inspection-sheet text detection vs Comics OCR benchmark; different domain and dataset.
r2_035,not_contradiction,"Both news-sentiment stock prediction but different sectors/metrics (accuracy% vs MSE/MPA%), not directly comparable -- near-miss",not_contradiction,"News-sentiment stock prediction (directional accuracy, pharma) vs DP-LSTM (MSE, S&P 500); different metric and dataset."
r2_036,not_contradiction,Different sub-questions within multilingual NMT: training-regime tradeoffs vs zero-shot representation fix,not_contradiction,Multilingual NMT empirical study findings vs zero-shot translation architecture change; different research question.
r2_037,not_contradiction,Different focus: general training tradeoffs vs gender-bias architecture study,not_contradiction,Multilingual NMT empirical study vs gender-bias-in-architecture study; different specific research question.
r2_038,not_contradiction,Different research questions: zero-shot quality fix vs gender-bias architecture comparison,not_contradiction,Zero-shot translation positional-info study vs gender-bias architecture study; unrelated specific claims.
r2_039,not_contradiction,Different eras/methods (seq2seq explanation fabrication fix vs subgraph-grounded LLM reasoning) for a loosely related meta-problem,not_contradiction,FiD-Ex rationale generation (ERASER benchmark) vs subgraph-guided LLM reasoning framework; unrelated tasks/models.
r2_040,not_contradiction,Different scope/languages: Bengali-specific system vs multilingual GPT-3-scale model using hate speech as one of many eval tasks,not_contradiction,Bengali hate speech detection (per-category F1) vs multilingual few-shot LM (vague hate-speech note); no comparable metric.
r2_041,not_contradiction,Both South Asian hate speech detection with F1 but different languages/datasets (Bengali vs Hindi-English code-mixed) -- near-miss,not_contradiction,Bengali hate speech detection vs Hindi-English code-mixed hate speech (HASOC); different language/dataset.
r2_042,not_contradiction,Different scope: multilingual GPT-3-scale eval vs Hindi-English shared-task system,not_contradiction,Multilingual few-shot LM (vague hate-speech finding) vs Hindi-English code-mixed hate speech system; not comparable.
r2_043,not_contradiction,Different specific contributions (DocVQA retrieval efficiency vs Deep Research agent confidence calibration),not_contradiction,DocVQA adaptive retrieval (answer generation by LVLM) vs deep-research-agent confidence calibration; different task.
r2_044,not_contradiction,"Cross-lingual retrieval is a data-construction tool in B, not its own focus; different specific claims",not_contradiction,Unsupervised dense retrieval's cross-lingual capability vs CrossSum dataset using retrieval only as a construction step.
r2_045,not_contradiction,"'Story generation' a passing future-work mention in A (OCR paper), not its actual claim",not_contradiction,Comics OCR benchmark (story generation as future use) vs LLM story-generation diversity study; unrelated claims.
r2_046,not_contradiction,Different claims: human-vs-LM next-token comparison vs RL-exploration pretraining-objective study,not_contradiction,'LMs beat humans at next-token prediction' claim vs RL exploration-shaping study of token distributions; different questions.
r2_047,not_contradiction,Different contributions: DPO difficulty-weighting method vs pruning-effects study,not_contradiction,Preference-optimization sample weighting for math reasoning vs width-pruning dichotomy study; different interventions.
r2_048,not_contradiction,Different purposes: reasoning-improvement method vs new evaluation framework,not_contradiction,"Multi-agent medical QA method vs EQUATOR reasoning-evaluation framework; one proposes a method, other an eval tool."
r2_049,not_contradiction,Different domains: medical QA vs tabular missing-value imputation,not_contradiction,Multi-agent medical QA vs sketch-guided code generation for missing-value imputation; unrelated tasks.
r2_050,not_contradiction,Different purposes: evaluation framework vs imputation method,not_contradiction,"EQUATOR reasoning-evaluation framework vs sketch-guided missing-value imputation; unrelated tasks, no shared claim."
r2_051,not_contradiction,Different focus: text dialogue multi-choice QA method vs VLM visual-grounding diagnostic study,not_contradiction,Dialogue commonsense multi-choice QA (CICERO) vs VLM visual-insensitivity diagnosis; different modality and task.
r2_052,not_contradiction,"Both propose competing long-context memory architectures with overlapping claimed task categories, but different specific benchmarks/baselines -- closest 'competing methods' near-miss, same pattern as round-1 KV-cache pair",not_contradiction,"Titans vs Trellis: competing efficient long-context architectures, both cite common-sense-reasoning gains but no shared benchmark numbers conflict."
r2_053,not_contradiction,Different contributions: DSL design for code-gen accuracy vs compact code-model training approach,not_contradiction,Anka DSL for code generation vs Mify-Coder small code model; different specific claims (DSL vs model scale).
r2_054,not_contradiction,Both avoid autoregressive generation but for unrelated tasks (structured extraction vs model routing),not_contradiction,DiffIE (replaces autoregressive generation for IE) vs SCX Router (avoids it for routing); unrelated tasks.
