key,year,title,url,error
bank-schierle-2012-survey,2012,A Survey of Text Mining Architectures and the {UIMA} Standard,https://aclanthology.org/L12-1047/,HTTP 404: Not Found
chiarcos-2012-ontologies,2012,Ontologies of Linguistic Annotation: Survey and perspectives,https://aclanthology.org/L12-1545/,HTTP 404: Not Found
fritzinger-etal-2010-survey,2010,A Survey of Idiomatic Preposition-Noun-Verb Triples on Token Level,https://aclanthology.org/L10-1504/,HTTP 404: Not Found
reed-etal-2008-linguistic,2008,"The {L}inguistic {D}ata {C}onsortium Member Survey: Purpose, Execution and Results",https://aclanthology.org/L08-1006/,HTTP 404: Not Found
elenius-etal-2008-language,2008,Language Resources and Tools for {S}wedish: A Survey,https://aclanthology.org/L08-1410/,HTTP 404: Not Found
gillard-etal-2006-question,2006,Question Answering Evaluation Survey,https://aclanthology.org/L06-1312/,HTTP 404: Not Found
lavelli-etal-2004-critical,2004,A Critical Survey of the Methodology for {IE} Evaluation,https://aclanthology.org/L04-1245/,HTTP 404: Not Found
binnenpoorte-etal-2002-field,2002,A Field Survey for Establishing Priorities in the Development of {HLT} Resources for {D}utch,https://aclanthology.org/L02-1252/,HTTP 404: Not Found
allen-choukri-2000-survey,2000,Survey of Language Engineering Needs: a Language Resources Perspective,https://aclanthology.org/L00-1238/,HTTP 404: Not Found
somers-1998-survey,1998,Survey of methodological approaches to {MT},https://aclanthology.org/1998.amta-tutorials.2/,HTTP 404: Not Found
oneill-brown-1998-survey,1998,Survey of (second) language learning technologies,https://aclanthology.org/1998.amta-tutorials.3/,HTTP 404: Not Found
procter-1993-cambridge,1993,The {C}ambridge language survey,https://aclanthology.org/1993.eamt-1.5/,HTTP 404: Not Found
