pair_id,question,hypothesis_a,pmid_a,hypothesis_b,pmid_b,label_3way
as_000000,"In women with pre-eclampsia, does treatment with L Arginine, compared to placebo, reduce blood pressure or pre-eclampsia",Supplementation during pregnancy with a medical food containing L-arginine and antioxidant vitamins reduced the incidence of pre-eclampsia in a population at high risk of the condition.,21596735,Oral L-arginine supplementation did not reduce mean diastolic blood pressure after 2 days of treatment compared with placebo in pre-eclamptic patients with gestational length varying from 28 to 36 weeks.,14678093,Contradiction
as_000001,"In women with pre-eclampsia, does treatment with L Arginine, compared to placebo, reduce blood pressure or pre-eclampsia",Supplementation during pregnancy with a medical food containing L-arginine and antioxidant vitamins reduced the incidence of pre-eclampsia in a population at high risk of the condition.,21596735,L-Arginine load in pregnant women is associated with increased nitric oxide (NO) production and hypotension.,10486782,Contradiction
as_000002,"In women with pre-eclampsia, does treatment with L Arginine, compared to placebo, reduce blood pressure or pre-eclampsia",Supplementation during pregnancy with a medical food containing L-arginine and antioxidant vitamins reduced the incidence of pre-eclampsia in a population at high risk of the condition.,21596735,"We conclude that in women with preeclampsia, prolonged dietary supplementation with l-arginine significantly decreased blood pressure through increased endothelial synthesis and/or bioavailability of NO.",15638817,NotContradiction
as_000003,"In women with pre-eclampsia, does treatment with L Arginine, compared to placebo, reduce blood pressure or pre-eclampsia",Supplementation during pregnancy with a medical food containing L-arginine and antioxidant vitamins reduced the incidence of pre-eclampsia in a population at high risk of the condition.,21596735,Blood pressure and kidney function improve markedly in preeclampsia by the 10th day postpartum.,16582128,NotContradiction
as_000004,"In women with pre-eclampsia, does treatment with L Arginine, compared to placebo, reduce blood pressure or pre-eclampsia",Supplementation during pregnancy with a medical food containing L-arginine and antioxidant vitamins reduced the incidence of pre-eclampsia in a population at high risk of the condition.,21596735,"In conclusion, these data support the use of L-Arg as an antihypertensive agent for gestational hypertension especially in view of the other beneficial effects nitric oxide donors display in pregnancy.",16753767,NotContradiction
as_000005,"In women with pre-eclampsia, does treatment with L Arginine, compared to placebo, reduce blood pressure or pre-eclampsia",Oral L-arginine supplementation did not reduce mean diastolic blood pressure after 2 days of treatment compared with placebo in pre-eclamptic patients with gestational length varying from 28 to 36 weeks.,14678093,L-Arginine load in pregnant women is associated with increased nitric oxide (NO) production and hypotension.,10486782,NotContradiction
as_000006,"In women with pre-eclampsia, does treatment with L Arginine, compared to placebo, reduce blood pressure or pre-eclampsia",Oral L-arginine supplementation did not reduce mean diastolic blood pressure after 2 days of treatment compared with placebo in pre-eclamptic patients with gestational length varying from 28 to 36 weeks.,14678093,"We conclude that in women with preeclampsia, prolonged dietary supplementation with l-arginine significantly decreased blood pressure through increased endothelial synthesis and/or bioavailability of NO.",15638817,Contradiction
as_000007,"In women with pre-eclampsia, does treatment with L Arginine, compared to placebo, reduce blood pressure or pre-eclampsia",Oral L-arginine supplementation did not reduce mean diastolic blood pressure after 2 days of treatment compared with placebo in pre-eclamptic patients with gestational length varying from 28 to 36 weeks.,14678093,Blood pressure and kidney function improve markedly in preeclampsia by the 10th day postpartum.,16582128,Contradiction
as_000008,"In women with pre-eclampsia, does treatment with L Arginine, compared to placebo, reduce blood pressure or pre-eclampsia",Oral L-arginine supplementation did not reduce mean diastolic blood pressure after 2 days of treatment compared with placebo in pre-eclamptic patients with gestational length varying from 28 to 36 weeks.,14678093,"In conclusion, these data support the use of L-Arg as an antihypertensive agent for gestational hypertension especially in view of the other beneficial effects nitric oxide donors display in pregnancy.",16753767,Contradiction
as_000009,"In women with pre-eclampsia, does treatment with L Arginine, compared to placebo, reduce blood pressure or pre-eclampsia",L-Arginine load in pregnant women is associated with increased nitric oxide (NO) production and hypotension.,10486782,"We conclude that in women with preeclampsia, prolonged dietary supplementation with l-arginine significantly decreased blood pressure through increased endothelial synthesis and/or bioavailability of NO.",15638817,Contradiction
as_000010,"In women with pre-eclampsia, does treatment with L Arginine, compared to placebo, reduce blood pressure or pre-eclampsia",L-Arginine load in pregnant women is associated with increased nitric oxide (NO) production and hypotension.,10486782,Blood pressure and kidney function improve markedly in preeclampsia by the 10th day postpartum.,16582128,Contradiction
as_000011,"In women with pre-eclampsia, does treatment with L Arginine, compared to placebo, reduce blood pressure or pre-eclampsia",L-Arginine load in pregnant women is associated with increased nitric oxide (NO) production and hypotension.,10486782,"In conclusion, these data support the use of L-Arg as an antihypertensive agent for gestational hypertension especially in view of the other beneficial effects nitric oxide donors display in pregnancy.",16753767,Contradiction
as_000012,"In women with pre-eclampsia, does treatment with L Arginine, compared to placebo, reduce blood pressure or pre-eclampsia","We conclude that in women with preeclampsia, prolonged dietary supplementation with l-arginine significantly decreased blood pressure through increased endothelial synthesis and/or bioavailability of NO.",15638817,Blood pressure and kidney function improve markedly in preeclampsia by the 10th day postpartum.,16582128,NotContradiction
as_000013,"In women with pre-eclampsia, does treatment with L Arginine, compared to placebo, reduce blood pressure or pre-eclampsia","We conclude that in women with preeclampsia, prolonged dietary supplementation with l-arginine significantly decreased blood pressure through increased endothelial synthesis and/or bioavailability of NO.",15638817,"In conclusion, these data support the use of L-Arg as an antihypertensive agent for gestational hypertension especially in view of the other beneficial effects nitric oxide donors display in pregnancy.",16753767,NotContradiction
as_000014,"In women with pre-eclampsia, does treatment with L Arginine, compared to placebo, reduce blood pressure or pre-eclampsia",Blood pressure and kidney function improve markedly in preeclampsia by the 10th day postpartum.,16582128,"In conclusion, these data support the use of L-Arg as an antihypertensive agent for gestational hypertension especially in view of the other beneficial effects nitric oxide donors display in pregnancy.",16753767,NotContradiction
as_000015,"In patients with hypertension, does revascularisation, compared with medical therapy, improve blood pressure",Stent placement with medical treatment had no clear effect on progression of impaired renal function but led to a small number of significant procedure-related complications.,19414832,"In the treatment of patients with hypertension and renal-artery stenosis, angioplasty has little advantage over antihypertensive-drug therapy.",10749962,Contradiction
as_000016,"In patients with hypertension, does revascularisation, compared with medical therapy, improve blood pressure",Stent placement with medical treatment had no clear effect on progression of impaired renal function but led to a small number of significant procedure-related complications.,19414832,Balloon angioplasty has a modest but significant effect on blood pressure and should be considered for patients with atherosclerotic renal artery stenosis and poorly controlled hypertension.,12557864,Contradiction
as_000017,"In patients with hypertension, does revascularisation, compared with medical therapy, improve blood pressure",Stent placement with medical treatment had no clear effect on progression of impaired renal function but led to a small number of significant procedure-related complications.,19414832,"In hypertensive patients with atheromatous renal artery stenosis, percutaneous renal angioplasty results in a modest improvement in systolic BP compared with medical therapy alone.",9655655,Contradiction
as_000018,"In patients with hypertension, does revascularisation, compared with medical therapy, improve blood pressure",Stent placement with medical treatment had no clear effect on progression of impaired renal function but led to a small number of significant procedure-related complications.,19414832,We found substantial risks but no evidence of a worthwhile clinical benefit from revascularization in patients with atherosclerotic renovascular disease.,19907042,NotContradiction
as_000019,"In patients with hypertension, does revascularisation, compared with medical therapy, improve blood pressure","In the treatment of patients with hypertension and renal-artery stenosis, angioplasty has little advantage over antihypertensive-drug therapy.",10749962,Balloon angioplasty has a modest but significant effect on blood pressure and should be considered for patients with atherosclerotic renal artery stenosis and poorly controlled hypertension.,12557864,NotContradiction
as_000020,"In patients with hypertension, does revascularisation, compared with medical therapy, improve blood pressure","In the treatment of patients with hypertension and renal-artery stenosis, angioplasty has little advantage over antihypertensive-drug therapy.",10749962,"In hypertensive patients with atheromatous renal artery stenosis, percutaneous renal angioplasty results in a modest improvement in systolic BP compared with medical therapy alone.",9655655,NotContradiction
as_000021,"In patients with hypertension, does revascularisation, compared with medical therapy, improve blood pressure","In the treatment of patients with hypertension and renal-artery stenosis, angioplasty has little advantage over antihypertensive-drug therapy.",10749962,We found substantial risks but no evidence of a worthwhile clinical benefit from revascularization in patients with atherosclerotic renovascular disease.,19907042,Contradiction
as_000022,"In patients with hypertension, does revascularisation, compared with medical therapy, improve blood pressure",Balloon angioplasty has a modest but significant effect on blood pressure and should be considered for patients with atherosclerotic renal artery stenosis and poorly controlled hypertension.,12557864,"In hypertensive patients with atheromatous renal artery stenosis, percutaneous renal angioplasty results in a modest improvement in systolic BP compared with medical therapy alone.",9655655,NotContradiction
as_000023,"In patients with hypertension, does revascularisation, compared with medical therapy, improve blood pressure",Balloon angioplasty has a modest but significant effect on blood pressure and should be considered for patients with atherosclerotic renal artery stenosis and poorly controlled hypertension.,12557864,We found substantial risks but no evidence of a worthwhile clinical benefit from revascularization in patients with atherosclerotic renovascular disease.,19907042,Contradiction
as_000024,"In patients with hypertension, does revascularisation, compared with medical therapy, improve blood pressure","In hypertensive patients with atheromatous renal artery stenosis, percutaneous renal angioplasty results in a modest improvement in systolic BP compared with medical therapy alone.",9655655,We found substantial risks but no evidence of a worthwhile clinical benefit from revascularization in patients with atherosclerotic renovascular disease.,19907042,Contradiction
as_000025,"In women with pre-eclampsia, is Polymorphism in angiotensin gene associated with pre-eclampsia","The presence of minor alleles at all the three sites in NOS3 seemed to increase the risk of PE, and AGT 704C allele was associated with a reduced PE risk.",20186148,Our findings suggest an association between the DD genotype of the ACE gene and early-onset but not later-onset pre-eclampsia which may give a partial explanation for the higher recurrence risk with early-onset pre-eclampsia.,20044877,NotContradiction
as_000026,"In women with pre-eclampsia, is Polymorphism in angiotensin gene associated with pre-eclampsia","The presence of minor alleles at all the three sites in NOS3 seemed to increase the risk of PE, and AGT 704C allele was associated with a reduced PE risk.",20186148,The results showed no association between angiotensin-converting enzyme polymorphism and the development of preeclampsia.,15467548,Contradiction
as_000027,"In women with pre-eclampsia, is Polymorphism in angiotensin gene associated with pre-eclampsia","The presence of minor alleles at all the three sites in NOS3 seemed to increase the risk of PE, and AGT 704C allele was associated with a reduced PE risk.",20186148,"Carrying the DD genotype may have some influence on the pathogenesis of preeclampsia, perhaps through effects on placental hypoxia or the interaction of hypertensive disease and atherosclerosis, although this influence may not be strong.",16052407,NotContradiction
as_000028,"In women with pre-eclampsia, is Polymorphism in angiotensin gene associated with pre-eclampsia","The presence of minor alleles at all the three sites in NOS3 seemed to increase the risk of PE, and AGT 704C allele was associated with a reduced PE risk.",20186148,We found an association between the genotype II and low ACE activity in preeclamptic women and an association between D allele frequency and preeclampsia.,14967168,NotContradiction
as_000029,"In women with pre-eclampsia, is Polymorphism in angiotensin gene associated with pre-eclampsia","The presence of minor alleles at all the three sites in NOS3 seemed to increase the risk of PE, and AGT 704C allele was associated with a reduced PE risk.",20186148,We found no association of the two gene polymorphisms with preeclampsia.,17710578,Contradiction
