file,sentence,cited_keys,survey_arxiv_id,survey_title
pami.tex,"It has also been extended to deal with disagreement between modalities, by filtering out unreliable samples \cite{Christoudias2008}.",Christoudias2008,1705.09406,Multimodal Machine Learning: A Survey and Taxonomy
template.tex,"For example, on one hand, some recent works find that the student model can learn little from some teacher models due to the model capacity gap between the teacher model and the student model~\citep{ZhangL2019,Kang2020}; On the other hand, from some early theoretical analysis on the capacity of neural networks, shallow networks are capable of learning the same representation as deep neural networks~\citep{Ba2014}.","ZhangL2019,Kang2020;Ba2014",2006.05525,Knowledge Distillation: A Survey
main.tex,"% Conversely, Li et al.~\cite{li2022memory} implement a text-image Affine Combination Module (ACM) that directly concatenates hidden features.",li2022memory,2402.19473,Retrieval-Augmented Generation for AI-Generated Content: A Survey
main.tex,"Abstractive summarization, on the other hand, entails comprehending the original text's meaning and reformulating it into new sentences~\cite{RAMKG,Unlimiformer,RPRR,RIGHT}, which can convey the source's intent more fluidly but poses greater challenges in terms of implementation due to its complexity.","RAMKG,Unlimiformer,RPRR,RIGHT",2402.19473,Retrieval-Augmented Generation for AI-Generated Content: A Survey
01_introduction.tex,"On the other hand, other works focus on particular aspects like the impact of representation formats on comprehensibility \cite{huysmans2011empirical}, or the interpretability issues in term of advantages and disadvantages of selected predictive models \cite{freitas2014comprehensible}.",huysmans2011empirical;freitas2014comprehensible,1802.01933,A Survey Of Methods For Explaining Black Box Models
06a_model_explanation_tree.tex,"On the other hand, random data enrichment and model combination are the basis for the \textit{Combined Multiple Model (CCM)} procedure $f$ presented in \cite{domingos1998knowledge}.",domingos1998knowledge,1802.01933,A Survey Of Methods For Explaining Black Box Models
section-1-introduction.tex,"Unlike \cite{baltruvsaitis2018multimodal,zhang2020multimodal}, and \cite{rahate2022multimodal}, which review general machine learning models, we instead focus on Transformer architectures and their self-attention mechanisms.","baltruvsaitis2018multimodal,zhang2020multimodal;rahate2022multimodal",2206.06488,Multimodal Learning with Transformers: A Survey
section-4-applications.tex,"% ------------------------------------------- % \keypoint{Discussion on Pretraining Mask} \todo{} % \blue{TABLE} % random mask, \\ % conditional mask, \eg, UNITER \cite{chen2020uniter} \\ % ------------------------------ % \magenta{``On the other hand, multiple cross-modality loss functions have been proposed as part of the training % objectives, for example image-text matching (Tan Bansal, 2019; Lu et al., 2019; Xu et al., 2021), % masked region classification/feature regression (Tan Bansal, 20",chen2020uniter,2206.06488,Multimodal Learning with Transformers: A Survey
short_version_try.tex,"This means that, in contrast to meta-SL, meta-RL methods are more commonly deployed to increase asymptotic performance \cite{jaderberg2019poprl,houthooft2018epg,veeriah2019discovery} as well as sample-efficiency, and can lead to significantly better solutions overall.","jaderberg2019poprl,houthooft2018epg,veeriah2019discovery",2004.05439,Meta-Learning in Neural Networks: A Survey
short_version_try.tex,"End-to-end gradient-based meta-learning has already demonstrated promising scalability to millions of parameters (as demonstrated by MAML \cite{finn2017maml} and Dataset Distillation \cite{wang2018datasetdistill, lorraine2019optmillionsofhyperparams}, for example) in contrast to the classic approaches (such cross-validation by grid or random \cite{bergstra2012randomsearchhyper} search, or Bayesian Optimization \cite{shahriari2016bayesianoptimizationsurvey}) which are typically only successful wi","finn2017maml;wang2018datasetdistill, lorraine2019optmillionsofhyperparams;bergstra2012randomsearchhyper;shahriari2016bayesianoptimizationsurvey",2004.05439,Meta-Learning in Neural Networks: A Survey
