file,sentence,cited_keys,survey_arxiv_id,survey_title,sentence_id,drop_reason
04_evaluation_automation.tex,"Review grounding further asks whether a criticism is supported, contradicted, or left unresolved by the paper \citep{ghorbanpour2026peerispect}.",ghorbanpour2026peerispect,2609.07713,The Emerging AI Paper-Review Arms Race: Adversarial Co-Evolution in Scholarly Publishing,s0001,single_cite_key
conclusions.tex,"In contrast to traditional transformer foundational models, LFMs utilise a different architecture, known as liquid neural networks \cite{EtheringtonDarrell2021}.",EtheringtonDarrell2021,2412.04503,A Primer on Large Language Models and their Limitations,s0004,single_cite_key
main.tex,"\end{equation} \paragraph{Limitations of input attribution methods.} While input attribution methods are commonly used to debug failure cases and identify biases in models' predictions~\citep{mccoy-etal-2019-right}, popular approaches were shown to be insensitive to variations in the model and data generating process~\citep{sanity_checks,explanations-lie}, to disagree with each others' predictions~\citep{atanasova-etal-2020-diagnostic,crabbe2023evaluating,krishna2024disagreementproblemexplainabl","mccoy-etal-2019-right;sanity_checks,explanations-lie;atanasova-etal-2020-diagnostic,crabbe2023evaluating,krishna2024disagreementproblemexplainablemachine;adebayo2020debugging,adebayo2022post",2405.00208,A Primer on the Inner Workings of Transformer-based Language Models,s0005,likely_latex_artifact
main.tex,"However, \citet{bolukbasi2021interpretability} warn that just relying on maximum activating dataset examples can result in ``interpretability illusions'', as different activation ranges may lead to varying interpretations.",bolukbasi2021interpretability,2405.00208,A Primer on the Inner Workings of Transformer-based Language Models,s0006,single_cite_key
emnlp2021.tex,"In contrast to the results presented so far, \citet{DBLP:journals/corr/abs-2007-09757} show that across 7 different tasks and many different experimental setups, on average mBERT performs better than a monolingual Portuguese model trained on much larger data (4.8GB/992M tokens v/s ~2GB in mBERT).",DBLP:journals/corr/abs-2007-09757,2107.00676,A Primer on Pretrained Multilingual Language Models,s0007,single_cite_key
emnlp2021.tex,"However, \citet{DBLP:conf/rep4nlp/WuD20} show that this is not the case.",DBLP:conf/rep4nlp/WuD20,2107.00676,A Primer on Pretrained Multilingual Language Models,s0008,single_cite_key
emnlp2021.tex,"However, \citet{DBLP:conf/iclr/KWMR20} present contradictory results and show that the performance drop is negligible even when the word overlap is reduced to zero synthetically (by shifting the unicode of each English character by a large constant thereby replacing it by a completely different character).",DBLP:conf/iclr/KWMR20,2107.00676,A Primer on Pretrained Multilingual Language Models,s0009,single_cite_key
4.knowledge-types.tex,"Furthermore, different probing methods may lead to complementary or even contradictory conclusions, which makes a single test (as in most studies) insufficient \cite{warstadt2019investigating}.",warstadt2019investigating,2002.12327,A Primer in BERTology: What we know about how BERT works,s0012,single_cite_key
3.embeddings.tex,"However, \citet{mickus2019you} note that \textbf{the representations of the same word depend on the position of the sentence in which it occurs}, likely due to the NSP objective.",mickus2019you,2002.12327,A Primer in BERTology: What we know about how BERT works,s0013,single_cite_key
5.localizing-knowledge.tex,"However, \citet{clark2019does} identify a BERT head that can be directly used as a classifier to perform coreference resolution on par with a rule-based system, which by itself would seem to require quite a lot of syntactic knowledge.",clark2019does,2002.12327,A Primer in BERTology: What we know about how BERT works,s0014,single_cite_key
