file,sentence,cited_keys,survey_arxiv_id,survey_title
main.tex,"The overall score correlation between the arms is $0.245$, close to the human--human agreement reported in the meta-analytic literature on journal peer review (ICC around $0.34$, \citealp{bornmann2010reliability}) and to the disagreement documented in the venue's own consistency experiments \citep{cortes2021inconsistency,beygelzimer2023consistency}.","bornmann2010reliability;cortes2021inconsistency,beygelzimer2023consistency",2609.08475,Do Reviewers Still Reward Lexical Complexity? A Frozen-Rater Study of Preference Drift in 124K ICLR Reviews
04_evaluation_automation.tex,"Review grounding further asks whether a criticism is supported, contradicted, or left unresolved by the paper \citep{ghorbanpour2026peerispect}.",ghorbanpour2026peerispect,2609.07713,The Emerging AI Paper-Review Arms Race: Adversarial Co-Evolution in Scholarly Publishing
main.tex,"\citet{li_ai_2025} demonstrate LLM-mediated virtual-model development and calibration support, while \citet{li_energyplus-mcp_2025}, \citet{zhang_large_2025}, and \citet{zhang_large_2026} provide tool infrastructure, reusable agent schemas, and RAG-based optimisation layers around simulation workflows.",li_ai_2025;li_energyplus-mcp_2025;zhang_large_2025;zhang_large_2026,2609.05314,"Large Language Models for HVAC Operations in Building Energy Systems: A Critical Review of Methods, Applications, and Deployment Readiness"
main.tex,"Medical, factuality, safety, and rubric-reward datasets attach criteria, evidence, risk, provenance, judge traces, or disagreement fields \citep{healthbench2025,bao2025faithbench,ghosh2025aegis2,sreedhar2025safetyreasoning,anugraha2025r3}.","healthbench2025,bao2025faithbench,ghosh2025aegis2,sreedhar2025safetyreasoning,anugraha2025r3",2606.02113,A Primer in Post-Training Reasoning Data: What We Know About How It Works
conclusions.tex,"In contrast to traditional transformer foundational models, LFMs utilise a different architecture, known as liquid neural networks \cite{EtheringtonDarrell2021}.",EtheringtonDarrell2021,2412.04503,A Primer on Large Language Models and their Limitations
main.tex,"\end{equation} \paragraph{Limitations of input attribution methods.} While input attribution methods are commonly used to debug failure cases and identify biases in models' predictions~\citep{mccoy-etal-2019-right}, popular approaches were shown to be insensitive to variations in the model and data generating process~\citep{sanity_checks,explanations-lie}, to disagree with each others' predictions~\citep{atanasova-etal-2020-diagnostic,crabbe2023evaluating,krishna2024disagreementproblemexplainabl","mccoy-etal-2019-right;sanity_checks,explanations-lie;atanasova-etal-2020-diagnostic,crabbe2023evaluating,krishna2024disagreementproblemexplainablemachine;adebayo2020debugging,adebayo2022post",2405.00208,A Primer on the Inner Workings of Transformer-based Language Models
main.tex,"However, \citet{bolukbasi2021interpretability} warn that just relying on maximum activating dataset examples can result in ``interpretability illusions'', as different activation ranges may lead to varying interpretations.",bolukbasi2021interpretability,2405.00208,A Primer on the Inner Workings of Transformer-based Language Models
emnlp2021.tex,"In contrast to the results presented so far, \citet{DBLP:journals/corr/abs-2007-09757} show that across 7 different tasks and many different experimental setups, on average mBERT performs better than a monolingual Portuguese model trained on much larger data (4.8GB/992M tokens v/s ~2GB in mBERT).",DBLP:journals/corr/abs-2007-09757,2107.00676,A Primer on Pretrained Multilingual Language Models
emnlp2021.tex,"However, \citet{DBLP:conf/rep4nlp/WuD20} show that this is not the case.",DBLP:conf/rep4nlp/WuD20,2107.00676,A Primer on Pretrained Multilingual Language Models
emnlp2021.tex,"However, \citet{DBLP:conf/iclr/KWMR20} present contradictory results and show that the performance drop is negligible even when the word overlap is reduced to zero synthetically (by shifting the unicode of each English character by a large constant thereby replacing it by a completely different character).",DBLP:conf/iclr/KWMR20,2107.00676,A Primer on Pretrained Multilingual Language Models
emnlp2021.tex,"In contrast to the results presented so far, \citet{DBLP:journals/corr/abs-2007-09757} show that across 7 different tasks and many different experimental setups, on average mBERT performs better than a monolingual Portuguese model trained on much larger data (4.8GB/992M tokens v/s ~2GB in mBERT).",DBLP:journals/corr/abs-2007-09757,2107.00676,A Primer on Pretrained Multilingual Language Models
emnlp2021.tex,"However, \citet{DBLP:conf/rep4nlp/WuD20} show that this is not the case.",DBLP:conf/rep4nlp/WuD20,2107.00676,A Primer on Pretrained Multilingual Language Models
emnlp2021.tex,"However, \citet{DBLP:conf/iclr/KWMR20} present contradictory results and show that the performance drop is negligible even when the word overlap is reduced to zero synthetically (by shifting the unicode of each English character by a large constant thereby replacing it by a completely different character).",DBLP:conf/iclr/KWMR20,2107.00676,A Primer on Pretrained Multilingual Language Models
