pair_id,label_A,rationale_A,label_B,rationale_B
p000,not_contradiction,Different languages/specific contributions (math corpus vs Hindi LLM); no comparable claim,not_contradiction,Different languages and tasks (math pretraining corpus vs Hindi LLM); no shared claim to conflict.
p001,not_contradiction,Different sub-problems: compute-accuracy evaluation vs ICL demonstration selection,not_contradiction,Compute-accuracy tradeoff analysis vs demonstration selection for in-context learning; unrelated specific claims.
p002,not_contradiction,Different tasks: data augmentation for classification vs code-switching LM perplexity,not_contradiction,Conditional BERT data augmentation vs code-switching language model training; unrelated specific tasks.
p003,not_contradiction,"Different aspect-analysis sub-tasks (topic modeling vs category detection), no shared measurable claim",not_contradiction,"Both do unsupervised aspect-based review analysis via different methods; complementary, not incompatible."
p004,not_contradiction,"B is an explicit successor/improvement of A (LayoutLM->LayoutLMv2), not an independent conflicting claim",not_contradiction,"LayoutLMv2 is an explicit successor/improvement of LayoutLM, an iteration rather than a conflicting claim."
p005,not_contradiction,Different sub-tasks: embeddings resource release vs cognate detection method,not_contradiction,Indian-language word embeddings release vs cross-lingual cognate detection method; different specific claims.
p006,not_contradiction,"Different methods/datasets/metrics for stock prediction, not directly comparable",not_contradiction,"Both stock-prediction papers agree textual signals help; different methods and metrics, no real conflict."
p007,not_contradiction,"Different specific methods for review spam/fake review detection, no direct conflict",not_contradiction,"Both target fake review detection using different methods; complementary approaches, not incompatible claims."
p008,not_contradiction,Different tasks entirely: general Arabic social media toolkit vs suicide ideation detection,not_contradiction,Arabic social media processing toolkit vs suicidal ideation detection model; unrelated tasks.
p009,type4_apparent,"B critiques the SF-TOD paradigm A operates within as unrealistic; paradigm-level tension, not a direct empirical clash over the same claim -- borderline, low confidence",type4_apparent,A claims SOTA within existing TOD benchmarks; B critiques that same benchmark paradigm as unrealistic for real-world use.
p010,not_contradiction,Different specific systems for different aspects of agent training infrastructure,not_contradiction,"Different agent-improvement mechanisms (RL training pipeline vs skill libraries); complementary, not conflicting."
p011,not_contradiction,Unrelated specific claims (knowledge-frequency robustness vs parameter-efficient tuning),not_contradiction,Factuality-robustness benchmark vs Fourier-based parameter-efficient fine-tuning method; unrelated specific claims.
p012,not_contradiction,"Survey vs empirical study, different scope, not conflicting",not_contradiction,"Broad deep learning NER survey vs few-shot-specific NER study; different scope, not conflicting."
p013,not_contradiction,Different specific tasks (general hate-speech code-word discovery vs Islamophobia severity classifier),not_contradiction,"Both papers agree context (community/corpus) matters more than fixed keywords; same direction, no conflict."
p014,not_contradiction,Unrelated specific claims sharing only vocabulary (gram/word),not_contradiction,Any-gram kernels for sentiment classification vs skip-gram subvector decomposition; unrelated specific claims.
p015,not_contradiction,Completely different shared-task system-description papers,not_contradiction,Different shared-task systems: Arabic question similarity vs aggressiveness/bias identification; unrelated tasks.
