sentence_id,status,skip_reason,topic,hypothesis_a,source_a,hypothesis_b,source_b,reject_reason
s0006,skipped,not_genuine_contrast,,,,,,skipped_by_annotator
s0007,skipped,not_genuine_contrast,,,,,,skipped_by_annotator
s0008,skipped,not_genuine_contrast,,,,,,skipped_by_annotator
s0009,skipped,not_genuine_contrast,,,,,,skipped_by_annotator
s0011,skipped,not_genuine_contrast,,,,,,skipped_by_annotator
s0016,skipped,not_genuine_contrast,,,,,,skipped_by_annotator
s0017,skipped,not_genuine_contrast,,,,,,skipped_by_annotator
s0018,skipped,not_genuine_contrast,,,,,,skipped_by_annotator
s0020,skipped,not_genuine_contrast,,,,,,skipped_by_annotator
s0023,skipped,not_genuine_contrast,,,,,,skipped_by_annotator
s0026,skipped,same_finding_different_wording,,,,,,skipped_by_annotator
s0030,skipped,not_genuine_contrast,,,,,,skipped_by_annotator
s0032,skipped,insufficient_context,,,,,,skipped_by_annotator
s0033,skipped,not_genuine_contrast,,,,,,skipped_by_annotator
s0034,skipped,not_genuine_contrast,,,,,,skipped_by_annotator
s0036,skipped,not_genuine_contrast,,,,,,skipped_by_annotator
s0039,skipped,not_genuine_contrast,,,,,,skipped_by_annotator
s0045,skipped,not_genuine_contrast,,,,,,skipped_by_annotator
s0046,skipped,not_genuine_contrast,,,,,,skipped_by_annotator
s0049,skipped,insufficient_context,,,,,,skipped_by_annotator
s0051,skipped,insufficient_context,,,,,,skipped_by_annotator
s0052,skipped,not_genuine_contrast,,,,,,skipped_by_annotator
s0055,skipped,not_genuine_contrast,,,,,,skipped_by_annotator
s0057,skipped,not_genuine_contrast,,,,,,skipped_by_annotator
s0058,skipped,not_genuine_contrast,,,,,,skipped_by_annotator
s0063,skipped,not_genuine_contrast,,,,,,skipped_by_annotator
s0067,skipped,not_genuine_contrast,,,,,,skipped_by_annotator
s0069,skipped,not_genuine_contrast,,,,,,skipped_by_annotator
s0072,skipped,insufficient_context,,,,,,skipped_by_annotator
s0073,skipped,not_genuine_contrast,,,,,,skipped_by_annotator
s0078,skipped,not_genuine_contrast,,,,,,skipped_by_annotator
s0079,skipped,not_genuine_contrast,,,,,,skipped_by_annotator
s0081,skipped,not_genuine_contrast,,,,,,skipped_by_annotator
s0083,skipped,off_domain_not_nlp,,,,,,skipped_by_annotator
s0084,skipped,not_genuine_contrast,,,,,,skipped_by_annotator
s0085,skipped,not_genuine_contrast,,,,,,skipped_by_annotator
s0088,skipped,off_domain_not_nlp,,,,,,skipped_by_annotator
s0090,skipped,off_domain_not_nlp,,,,,,skipped_by_annotator
s0094,skipped,not_genuine_contrast,,,,,,skipped_by_annotator
s0101,skipped,off_domain_not_nlp,,,,,,skipped_by_annotator
s0103,skipped,off_domain_not_nlp,,,,,,skipped_by_annotator
s0106,skipped,insufficient_context,,,,,,skipped_by_annotator
s0107,skipped,insufficient_context,,,,,,skipped_by_annotator
s0108,skipped,not_genuine_contrast,,,,,,skipped_by_annotator
s0125,skipped,not_genuine_contrast,,,,,,skipped_by_annotator
s0126,skipped,not_genuine_contrast,,,,,,skipped_by_annotator
s0128,skipped,not_genuine_contrast,,,,,,skipped_by_annotator
s0132,skipped,not_genuine_contrast,,,,,,skipped_by_annotator
s0133,skipped,off_domain_not_nlp,,,,,,skipped_by_annotator
s0134,skipped,off_domain_not_nlp,,,,,,skipped_by_annotator
s0139,skipped,not_genuine_contrast,,,,,,skipped_by_annotator
s0145,skipped,off_domain_not_nlp,,,,,,skipped_by_annotator
s0148,skipped,not_genuine_contrast,,,,,,skipped_by_annotator
s0149,skipped,not_genuine_contrast,,,,,,skipped_by_annotator
s0150,skipped,not_genuine_contrast,,,,,,skipped_by_annotator
s0151,skipped,not_genuine_contrast,,,,,,skipped_by_annotator
s0152,skipped,not_genuine_contrast,,,,,,skipped_by_annotator
s0153,skipped,not_genuine_contrast,,,,,,skipped_by_annotator
s0157,skipped,not_genuine_contrast,,,,,,skipped_by_annotator
s0158,skipped,not_genuine_contrast,,,,,,skipped_by_annotator
s0161,skipped,off_domain_not_nlp,,,,,,skipped_by_annotator
s0162,skipped,off_domain_not_nlp,,,,,,skipped_by_annotator
s0167,skipped,not_genuine_contrast,,,,,,skipped_by_annotator
s0168,skipped,not_genuine_contrast,,,,,,skipped_by_annotator
s0169,skipped,not_genuine_contrast,,,,,,skipped_by_annotator
s0171,skipped,not_genuine_contrast,,,,,,skipped_by_annotator
s0172,skipped,not_genuine_contrast,,,,,,skipped_by_annotator
s0173,skipped,not_genuine_contrast,,,,,,skipped_by_annotator
s0174,skipped,not_genuine_contrast,,,,,,skipped_by_annotator
s0181,skipped,not_genuine_contrast,,,,,,skipped_by_annotator
s0184,skipped,not_genuine_contrast,,,,,,skipped_by_annotator
s0185,skipped,not_genuine_contrast,,,,,,skipped_by_annotator
s0188,skipped,not_genuine_contrast,,,,,,skipped_by_annotator
s0190,skipped,not_genuine_contrast,,,,,,skipped_by_annotator
s0198,skipped,not_genuine_contrast,,,,,,skipped_by_annotator
s0199,skipped,not_genuine_contrast,,,,,,skipped_by_annotator
s0203,skipped,not_genuine_contrast,,,,,,skipped_by_annotator
s0205,skipped,not_genuine_contrast,,,,,,skipped_by_annotator
s0208,skipped,insufficient_context,,,,,,skipped_by_annotator
s0221,skipped,not_genuine_contrast,,,,,,skipped_by_annotator
s0222,skipped,not_genuine_contrast,,,,,,skipped_by_annotator
s0223,skipped,not_genuine_contrast,,,,,,skipped_by_annotator
s0224,skipped,not_genuine_contrast,,,,,,skipped_by_annotator
s0227,skipped,not_genuine_contrast,,,,,,skipped_by_annotator
s0228,skipped,not_genuine_contrast,,,,,,skipped_by_annotator
s0229,skipped,not_genuine_contrast,,,,,,skipped_by_annotator
s0230,skipped,not_genuine_contrast,,,,,,skipped_by_annotator
s0231,skipped,not_genuine_contrast,,,,,,skipped_by_annotator
s0232,skipped,not_genuine_contrast,,,,,,skipped_by_annotator
s0233,skipped,not_genuine_contrast,,,,,,skipped_by_annotator
s0242,skipped,not_genuine_contrast,,,,,,skipped_by_annotator
s0244,skipped,not_genuine_contrast,,,,,,skipped_by_annotator
s0246,skipped,not_genuine_contrast,,,,,,skipped_by_annotator
s0249,skipped,insufficient_context,,,,,,skipped_by_annotator
s0252,skipped,insufficient_context,,,,,,skipped_by_annotator
s0253,skipped,not_genuine_contrast,,,,,,skipped_by_annotator
s0254,skipped,not_genuine_contrast,,,,,,skipped_by_annotator
s0261,skipped,not_genuine_contrast,,,,,,skipped_by_annotator
s0263,skipped,not_genuine_contrast,,,,,,skipped_by_annotator
s0268,skipped,not_genuine_contrast,,,,,,skipped_by_annotator
s0272,skipped,not_genuine_contrast,,,,,,skipped_by_annotator
s0273,skipped,not_genuine_contrast,,,,,,skipped_by_annotator
s0277,skipped,not_genuine_contrast,,,,,,skipped_by_annotator
s0288,skipped,not_genuine_contrast,,,,,,skipped_by_annotator
s0290,skipped,insufficient_context,,,,,,skipped_by_annotator
s0292,skipped,not_genuine_contrast,,,,,,skipped_by_annotator
s0293,skipped,insufficient_context,,,,,,skipped_by_annotator
s0295,skipped,not_genuine_contrast,,,,,,skipped_by_annotator
s0296,skipped,not_genuine_contrast,,,,,,skipped_by_annotator
s0298,skipped,not_genuine_contrast,,,,,,skipped_by_annotator
s0300,skipped,not_genuine_contrast,,,,,,skipped_by_annotator
s0303,skipped,not_genuine_contrast,,,,,,skipped_by_annotator
s0309,skipped,insufficient_context,,,,,,skipped_by_annotator
s0311,skipped,not_genuine_contrast,,,,,,skipped_by_annotator
s0318,skipped,not_genuine_contrast,,,,,,skipped_by_annotator
s0332,skipped,not_genuine_contrast,,,,,,skipped_by_annotator
s0333,skipped,not_genuine_contrast,,,,,,skipped_by_annotator
s0335,skipped,not_genuine_contrast,,,,,,skipped_by_annotator
s0342,skipped,not_genuine_contrast,,,,,,skipped_by_annotator
s0348,skipped,not_genuine_contrast,,,,,,skipped_by_annotator
s0357,skipped,not_genuine_contrast,,,,,,skipped_by_annotator
s0358,skipped,not_genuine_contrast,,,,,,skipped_by_annotator
s0359,skipped,not_genuine_contrast,,,,,,skipped_by_annotator
s0362,skipped,not_genuine_contrast,,,,,,skipped_by_annotator
s0364,skipped,not_genuine_contrast,,,,,,skipped_by_annotator
s0367,skipped,not_genuine_contrast,,,,,,skipped_by_annotator
s0368,skipped,not_genuine_contrast,,,,,,skipped_by_annotator
s0377,skipped,"not_genuine_contrast: gao2023chatgpt and willig2023causal are co-cited together, both finding ChatGPT performs poorly at causal reasoning; the actual contrast is with unnamed prior assessments not among the cited_refs",,,,,,skipped_by_annotator
s0380,skipped,"not_genuine_contrast: all three refs are co-cited as parallel examples of VAE-based SCM estimation, contrasted with an uncited 'explicit SCM encoding' approach, not with each other",,,,,,skipped_by_annotator
s0383,skipped,"not_genuine_contrast: micheli2022Transformers and chen2022transdreamer are co-cited together, jointly reporting that Transformer world models outperform Dreamer; they agree rather than contradict each other",,,,,,skipped_by_annotator
s0384,skipped,not_genuine_contrast: shemilt2016use and higgins2019cochrane are co-cited together as joint supporting evidence for the cost/burden of multi-assessor screening,,,,,,skipped_by_annotator
s0388,skipped,insufficient_context: the sentence is truncated before stating what actually differs between GraphSAGE and FastGCN; no abstract or context detail is available to state the specific contrast without inventing it,,,,,,skipped_by_annotator
s0389,skipped,"not_genuine_contrast: OPT, PaLM 2, and GPT-4 are co-cited as parallel examples of the same 'Large Language Model' category, contrasted with an uncited 'vanilla PLM' category, not with each other",,,,,,skipped_by_annotator
s0391,skipped,"not_genuine_contrast: survey6 and pretraining_right are co-cited together as joint support for the 'single-stream observation' side; the sentence's actual contrast is with the survey's own double-stream claim, not between these two refs",,,,,,skipped_by_annotator
s0393,skipped,"not_genuine_contrast: landajuela2021discovering and delfosse2024interpretable are co-cited as parallel examples of DNN-anchor-policy approaches, contrasted with an uncited 'direct symbolic search' approach",,,,,,skipped_by_annotator
s0396,skipped,"not_genuine_contrast: three works are listed as parallel studies conducted in different application domains (image classification, sketch recognition, cooking), not as competing claims",,,,,,skipped_by_annotator
s0399,skipped,"insufficient_context: only bare titles are given for hase2020evaluating and wang2019designing, with no detail on what the 'disagreement' between them actually consists of",,,,,,skipped_by_annotator
s0403,skipped,"insufficient_context: citation-to-subject mismatch -- dosovitskiy2021an is the ViT paper rather than 'iBERT', and devlin2019bert is plain BERT rather than the 'BEiT' method the sentence discusses, so neither ref's title reliably represents the entity being contrasted",,,,,,skipped_by_annotator
s0405,skipped,insufficient_context: the sentence specifies MSN's approach (a global loss for semantic-aware representation) but gives no comparable detail on ConMIM's differing mechanism beyond its generic title,,,,,,skipped_by_annotator
s0411,skipped,"not_genuine_contrast: PEARL and PAML are co-cited as parallel examples of 'latent task representation' approaches, contrasted with the survey's own uncited disentangled-representation method",,,,,,skipped_by_annotator
s0415,skipped,"not_genuine_contrast: enumeration of five parallel prior survey articles on attention mechanisms in computer vision, not competing hypotheses",,,,,,skipped_by_annotator
s0416,skipped,"not_genuine_contrast: bam, ramachandran2019stand, and hu2019local are co-cited as parallel examples, contrasted with axial attention, which is the survey's own uncited subject",,,,,,skipped_by_annotator
s0427,skipped,"not_genuine_contrast: vae (Kingma & Welling) is cited only as a supporting methodological reference for variational Bayesian inference, not as a competing hypothesis to dbkge",,,,,,skipped_by_annotator
s0431,skipped,"not_genuine_contrast: kingma2014auto and ghojogh2021factor are co-cited together as the VAE reference/tutorial, contrasted with AAE, which is the survey's own uncited subject",,,,,,skipped_by_annotator
