pair_id,topic,hypothesis_a,source_a,hypothesis_b,source_b,label_5way,label_3way
r7_000,Effect of expert evaluators on human evaluation,"Consulting expert evaluators has a measurable effect on human evaluation outcomes in machine translation: expert-based reassessment showed that neural machine translation had not actually attained human parity, contradicting earlier parity claims based on non-expert evaluation.",toral2018attaining,"Consulting expert evaluators does not have a measurable effect on human evaluation outcomes in computational poetry generation: an experiment assessing novelty, meaning, reaction, and craft found no significant benefit from expert involvement (a negative result).",lamb2017incorporating,type4_apparent_contextual,Apparent
r7_003,attention weights as model explanations,"Manipulating attention weights in encoder-decoder architectures (e.g., neural machine translation) substantially changes model generations, indicating that attention distributions carry information relevant to model behavior in such tasks.",vashishth_attention_2019,"In single-sequence tasks, attention weights do not constitute a faithful explanation of a model's predictions: altering the attention distribution often does not meaningfully change model output, so attention is not explanation.",jain_attention_2019,type4_apparent_contextual,Apparent
r7_004,attention as model explanation,"Attention weights do not provide a faithful explanation for a model's predictions: adversarial manipulations of attention distributions (e.g., random permutation of weights) often fail to change model outputs, undermining the assumption that attention scores are interpretable ('Attention is not Explanation').",jain-wallace-2019-attention,"Contrary to the claim that attention is not explanation, attention distributions can still serve as plausible explanations of model behavior once methodological issues are addressed, such as accounting for the natural variance attention weights exhibit across training runs ('Attention is not not Explanation').",wiegreffe-pinter-2019-attention,type1_direct_negation,Contradiction
r8_000,evaluating computational humor generation,"The success of a computer-generated joke/riddle system for children should be assessed intrinsically, by asking whether the generated items are actually perceived by children as genuine jokes (jokehood), as done for computer-generated punning riddles.",Binsted1997,"The success of a joke-generating system for children (STANDUP) should instead be assessed extrinsically/functionally, by asking whether using the system actually helps users (children with cerebral palsy) improve their real-world social interactions with peers.",Waller2009,type4_apparent_contextual,Apparent
r9_000,Deriving concepts for interpretability,"Concepts used to explain a model's decisions should be manually pre-defined by the user (e.g., as concept activation vectors in TCAV-style testing), rather than discovered automatically from the model itself.",pytorchcaptum2022,Interpretable abstractions can instead be learned automatically by analyzing individual neurons' activation patterns and composing logical concepts from them; doing so reveals that many neurons actually encode shallow lexical heuristics inherited from dataset biases rather than the clean concepts assumed by manual definitions.,mu_compositional_2021,type1_direct_negation,Contradiction
r9_001,Narrative and causality (cognitive vs textual),"Event causality is a key cognitive faculty underlying narrative sense-making, i.e., narrative understanding is fundamentally grounded in identifying causal relations between events.",sun-etal-2024-event,"Narrative constitutes a distinct 'narrative mode' of thought that is separate from the 'Paradigmatic/Logico-Scientific Mode' responsible for causal explanation, so narrative sense-making should not be reduced to a causal-reasoning process.",bruner1991narrative,type1_direct_negation,Contradiction
r9_002,Narrative causality: text vs cognitive process,"The proper object of study for narrative causality is the narrative text itself, i.e., causality is a structural property of the narrative discourse/form.",todorov19712,"The proper object of study for narrative causality is the cognitive process of the reader constructing the narrative, i.e., causality is a property of mental representation/comprehension rather than of the text structure.",trabasso1985causal,type1_direct_negation,Contradiction
r9_004,Neural weight-update rules: Hebbian vs Delta,"The Hebbian learning rule updates synaptic/memory weights via reinforcement-driven, correlation-based updates: connections between co-activated units are strengthened without reference to an explicit target output or error signal.",chakraverty2019hebbian,"The Delta learning rule updates memory traces via supervised, error-corrective control: weights are adjusted in proportion to the difference between the actual and desired (target) output.",prados1989neural,not_contradiction,NotContradiction
r9_005,LLM-generated Boolean queries for reviews,"ChatGPT can effectively formulate and refine complex Boolean search queries for systematic review literature searches, successfully following user instructions to produce high-quality queries.",wang2023can,"LLM-based Boolean query generation for systematic reviews does not reliably reproduce or generalize across studies and settings, contradicting claims that well-chosen seed studies reliably improve guided query formulation.",Moritz2024boolean-reproduce,type1_direct_negation,Contradiction
r9_007,Emergent abilities of LLMs,"Apparent 'emergent abilities' of large language models are largely a measurement artifact: using linear/continuous metrics (e.g., token-edit distance) instead of discontinuous metrics like accuracy reveals smooth, continuous, and predictable improvements in model performance with scale, rather than sudden qualitative jumps.",schaeffer2023emergent,Large language models display genuine emergent abilities: capabilities that are essentially absent in smaller-scale models but appear abruptly and unpredictably once a certain scale threshold is crossed.,wei2022emergent,type1_direct_negation,Contradiction
r9_008,LLMs identifying reasoning errors,"LLMs generally perform poorly at pinpointing the location of errors within their own reasoning traces, even though they can correct an error once its location is explicitly given to them.",tyen-etal-2024-llms,"Evaluation on ProcessBench shows that reasoning-focused models such as OpenAI's o1 and QwQ achieve remarkable performance at identifying process errors, even on challenging mathematical reasoning benchmarks.",zheng2024processbenchidentifyingprocesserrors,type4_apparent_contextual,Apparent
r9_009,LLMs' inductive reasoning ability,"Pre-trained language models can serve as effective inductive reasoners, capable of inducing general rules from given examples.",yang-etal-2024-language,A comprehensive evaluation shows that even advanced LLMs struggle with simple inductive reasoning tasks when tested in symbolic settings.,bowen-etal-2024-comprehensive,type4_apparent_contextual,Apparent
r9_010,NMT vs human robustness to noise,"Neural machine translation systems are heavily degraded by synthetic and natural noise such as misspellings, in contrast to more traditional translation approaches.",belinkovB18,"Human readers incur a measurable processing cost when reading words with jumbled or scrambled letters, showing that human word recognition is also disrupted by misspelled input, though evidently less catastrophically than neural MT systems.",jumbledwords,not_contradiction,NotContradiction
r9_011,code-switching label granularity,"Code-switching/word-borrowing detection can be handled by tagging an entire word with a single coarse-grained 'mixed' label, without further internal distinction.",SBM+14,"The 'mixed' code-switching label should be expanded to identify the specific languages present at the morpheme level within a single word (intra-word code-switching), rather than a single whole-word tag.",sabty2021,type1_direct_negation,Contradiction
r9_012,reaching diverse users for data,"Larger and more diverse study populations can be reached through volunteer-based, uncompensated online experimentation platforms such as LabintheWild, which recruit individual participants directly for behavioral studies.",reinecke2015labinthewild,"Wikibench offers a community-driven alternative to individual-based data curation for AI evaluation, capturing community consensus rather than aggregating individual volunteer responses.",kuo2024wikibench,not_contradiction,NotContradiction
r9_014,LLM self-correction capability,Large language models cannot self-correct their own reasoning through intrinsic self-reflection alone; genuine improvement requires external feedback.,huang2024large,"LLMs' self-estimated confidence can be leveraged to improve intrinsic self-correction/self-refinement capability, complicating the claim that self-correction is not achievable without external feedback.",li2024confidence,type1_direct_negation,Contradiction
r9_015,transformer adapter module architecture,"The Houlsby adapter architecture inserts an adapter module both after the multi-headed attention sublayer and after the feed-forward sublayer in each transformer layer, i.e. two adapters per layer.",houlsbyadapter,"The Bapna and Firat adapter simplifies this design by introducing only one adapter module per transformer layer, keeping only the 'top' adapter after multi-headed attention and dropping the 'bottom' adapter after the feed-forward sublayer.",bapnafiratadapter,not_contradiction,NotContradiction
r9_017,definition of misinformation,"Misinformation should be defined narrowly, as demonstrably false and inflammatory content.",budak2024misunderstanding,"Misinformation should be defined more expansively to also include true information that is misleading and causes harm, a category sometimes termed 'malinformation,' rather than only outright false content.",ecker2024misinformation,type1_direct_negation,Contradiction
r9_019,Semi-supervised singing transcription methods,"For note-level singing transcription from polyphonic music, unlabelled singing data can be effectively leveraged via a self-training / teacher-student pseudo-labeling framework (a noisy-student-style approach) that transfers pseudo-labels from frame-level to note-level predictions.",DBLP:conf/icassp/KumLKKN22,"For note-level singing transcription from polyphonic music (the VOCANO system), unlabelled singing data should instead be leveraged via virtual adversarial training, a regularization method that enforces prediction consistency under small input perturbations, rather than via self-training pseudo-labeling.",DBLP:conf/ismir/Hsu021,type1_direct_negation,Contradiction
r9_020,Retrieval-augmented generation architectures,"Retrieval-augmented generation (RAG) should rely on a separate retriever component that fetches relevant passages or knowledge from an external corpus, which are then supplied to the language model to produce a knowledge-grounded answer.",lewis2020retrieval,"In 'Implicit RAG', no separate retriever component is needed: the LLM itself should be prompted to identify and extract the important chunks or sections directly from the given context before answering the query.",vatsal2024can,type4_apparent_contextual,Apparent
r9_021,Vocabulary alignment methods for LLM ensembling,"Vocabulary projection between different LLMs for ensembling should be achieved by directly learning explicit projection matrices between the different vocabularies, using shared anchor tokens as bridges.",xu2024bridging,"Vocabulary projection between different (heterogeneous) LLMs for ensembling should instead be achieved indirectly, by computing relative representations of tokens with respect to anchor points in each vocabulary space, rather than by learning explicit cross-vocabulary projection matrices.",huang2024enabling,type1_direct_negation,Contradiction
r9_022,computational politeness labeling tool,A computational model of politeness strategies can be built to link linguistic markers of politeness to social factors (such as power and social relations) in text.,danescu2013computational,"Directly applying an existing computational politeness-labeling approach to broader, more general social computing data reveals notable challenges, though the tool can be revalidated as usable for labeling politeness more broadly once these are addressed.",hoffman2017evaluating,not_contradiction,NotContradiction
r9_024,methodology for studying ChatGPT's impact,"Understanding of ChatGPT's use, benefits, and challenges in domains like education, healthcare, and research is best obtained through an exploratory survey that collects direct feedback from practitioners.",hosseini2023exploratory,"A comprehensive review that aggregates findings from existing studies can characterize ChatGPT's background, applications, key challenges, bias, ethics, and limitations, offering a generalized perspective without collecting new primary data.",ray2023chatgpt,not_contradiction,NotContradiction
r9_027,evaluation paradigms for continual learning in LMs,Continual learning ability of language models should be evaluated primarily by domain-specific adaptability and incremental-learning performance across a sequence of new training domains.,ke2022continualb,"Continual learning ability of language models should instead be evaluated with a dedicated benchmark that measures whether a model retains time-invariant knowledge, updates outdated information, and acquires new knowledge over time.",jang2021towards,type1_direct_negation,Contradiction
r9_028,role of LLMs in skill-extraction pipelines,Skill extraction and standardization from job-posting text can be delivered as a live API service that queries a large language model at inference/request time.,li2023skillgpt,"For skill extraction, a large language model is better used only during the training stage (to produce training signal for a smaller extraction model), keeping the LLM out of the inference path to reduce latency and improve reproducibility.",decorte2023extreme,type1_direct_negation,Contradiction
r9_029,scale vs. quality of instruction-tuning data,"Instruction-following large language models can be effectively built by fine-tuning on a large, automatically constructed instruction dataset.",alpaca,"Strong instruction-following and alignment can be achieved with only a small number of carefully selected, high-quality examples rather than large-scale automatically constructed data -- 'less is more' for alignment.",zhou2023lima,type1_direct_negation,Contradiction
r10_000,Code generation feedback signals,Neural code generation can be improved by using compiler feedback to identify erroneous code and guide correction.,wang2022compilable,"CodeRL improves code generation by empirically defining fixed reward values for different unit-test execution outcomes, used as a reinforcement learning training signal.",le2022coderl,not_contradiction,NotContradiction
r10_001,Correctness vs relevancy in dialogue evaluation,"Correctness and relevancy of a dialogue system's response should be evaluated jointly, having users rate 'how relevant/correct is the answer retrieved' as a single combined judgment.",duggenpudi-etal-2019-samvaadhana,Accuracy and relevancy are separate constructs when evaluating dialogue responses: a response can be accurate even if it is not relevant to the question asked.,Bansal2021neural,type1_direct_negation,Contradiction
r10_002,Scaling laws and data repetition,"Scaling laws for neural language models were derived under training on unique data for only one epoch, describing a smooth relationship between model/data size and loss.",kaplan2020scaling,"When a small fraction of training data is repeated across epochs, model performance diverges from Kaplan's scaling law, with repeated data becoming harmful to performance for models larger than about 100M parameters.",hernandez2022scaling,type4_apparent_contextual,Apparent
r10_003,Granularity of knowledge editing in LLMs,Privacy-sensitive knowledge stored in pretrained language models can be located and removed by identifying individual 'privacy neurons' via a cumulative probability-based detection strategy (DEPN).,wu2023depn,"Rather than locating and editing an individual weight, factual knowledge in GPT-like models can be updated by modifying an entire feed-forward network (FFN) layer (ROME).",meng2022locating,not_contradiction,NotContradiction
r10_004,Direction of instruction-tuning data generation,Instruction-following training data can be generated by producing model responses to human-provided instructions (Self-Instruct).,wang2022self,"Instead of generating responses to given instructions, instruction-tuning data can be created by generating instructions for existing human-written text found online -- the reverse strategy (instruction backtranslation).",li2023self,not_contradiction,NotContradiction
r10_005,Syntactic vs lexical-semantic drivers of brain-LM alignment,"In studies of brain alignment with language models, syntactic processing tasks are the primary driver of the alignment between brain activity and language model representations.",oota2022joint,"Lexical-semantic content, not syntactic structure, is the main contributor to the similarity between artificial neural network representations and brain (fMRI) responses in the language network.",kauf2023lexical,type1_direct_negation,Contradiction
r10_006,Classifier-guided vs classifier-free diffusion for text generation,"Controllable text generation with diffusion language models can be achieved through classifier-guided diffusion, i.e. using an external classifier to steer the diffusion process toward desired attributes (Diffusion-LM).",https://doi.org/10.48550/arxiv.2205.14217,"Sequence-to-sequence text generation with diffusion models can be achieved without an external classifier, using a classifier-free diffusion approach directed by spatial points instead (DiffuSeq).",https://doi.org/10.48550/arxiv.2210.08933,not_contradiction,NotContradiction
r10_007,Joint vs separate representation-space clustering for multimodal self-supervised learning,"Effective self-supervised multimodal representation learning from audio, video, and text can be achieved by clustering on a joint multimodal representation space, combined with a pairwise contrastive loss across modalities (MCN).",Chen2021MultimodalCN,"Effective self-supervised representation learning from audio and video can be achieved by clustering on separate, modality-specific representation spaces via cross-modal deep clustering (XDC), rather than a single joint representation space.",Alwassel2019SelfSupervisedLB,type1_direct_negation,Contradiction
r10_008,Whether correct input-label mapping matters for in-context learning,The correctness of input-label mapping in few-shot demonstrations matters little to in-context learning performance; models can perform comparably well even with random or incorrect labels.,min2022rethinking,Ground-truth (correct) input-label mapping in in-context learning demonstrations does matter and significantly influences in-context learning performance.,ground_truth,type1_direct_negation,Contradiction
r10_009,retrieval-augmented generation re-ranking,"Text generation can be steered effectively by exemplar-based adaptive decoding that directly incorporates retrieved exemplars into the decoding process, without requiring a separate re-ranking step over retrieved candidates.",peng2019text,"Effective retrieval-augmented text generation requires an explicit intermediate re-ranking stage between retrieval and generation, as in retrieve-rerank-rewrite pipelines that rerank retrieved templates before rewriting them into output.",DBLP:conf/acl/LiWLC18,type1_direct_negation,Contradiction
r10_015,Adversarial techniques in dialogue generation,"Adversarial techniques can be used to evaluate dialogue generation systems, by training a discriminator to distinguish machine-generated responses from human-written ones as a proxy for response quality (Kannan & Vinyals, 2017, adversarial evaluation of dialogue models).",kannan2017adversarial,"Rather than only being used for evaluation, adversarial learning can be applied directly inside the dialogue generation training process itself to improve the quality of the generated responses (Li et al., 2017, adversarial learning for neural dialogue generation).",li-EtAl:2017:EMNLP20175,not_contradiction,NotContradiction
