pair_id,round,topic,hypothesis_a,source_a,hypothesis_b,source_b,label_5way_final,label_3way_final,annotators_agreed,label_A_5way,label_B_5way,rationale_A,rationale_B
r3_000,3,gender bias in MT / BLEU evaluation,"Lower gender bias correlates with better translation quality as measured by BLEU score; prior work reports BLEU gains from gender-control methods (escude-font-costa-jussa-2019-equalizing, stanovsky-etal-2019-evaluating, basta-jussa-2020-mitigating).",escude-font-costa-jussa-2019/stanovsky-etal-2019/basta-jussa-2020,Previously obtained BLEU gains cannot be ascribed with certainty to a better control of gender features in machine translation.,bentivogli-etal-2020-gender,type3_causal_conflict,Contradiction,False,type3_causal_conflict,type4_apparent_contextual,"Same observed evidence (BLEU gains); B disputes the causal attribution to gender control specifically, not the gain itself","B disputes whether BLEU gains can be credibly attributed to gender control; a methodological critique of the causal attribution, not an independent counter-claim."
r3_001,3,indirect gender bias in word embeddings,"Indirect bias in word embeddings (via projection onto a gender subspace, e.g. 'businessman'/'genius' closer to 'football') is a real, detectable phenomenon; existing projection-based debiasing methods (e.g. Bolukbasi et al. 2016) address gender bias in embeddings.",bolukbasi2016man (implied prior work),"Indirect bias has been disregarded to some extent by existing methods, and mitigation methods for indirect bias are not provided by the current debiasing approaches.",gonen-goldberg-2019-lipstick,type4_apparent_contextual,Apparent,False,type4_apparent_contextual,type1_direct_negation,Surface tension over whether current debiasing methods address indirect bias; resolves once scope of 'method' claims is clarified -- borderline with type1,"A says existing debiasing methods address gender bias in embeddings; B directly negates this for indirect bias specifically, calling it disregarded/unaddressed."
r3_002,3,causal source of MT context-based debiasing gains,"Concatenating the previous sentence as additional context (only in the decoder) improves machine translation performance on coreference-resolution tasks, attributed to added gender context.",basta-jussa-2020-mitigating,"This improvement is not necessarily due to the added gender context, but may instead be a regularisation effect from the additional training signal.",savoldi2021gender,type3_causal_conflict,Contradiction,True,type3_causal_conflict,type3_causal_conflict,"Same observed MT improvement, literally opposite proposed cause: gender context vs regularisation artifact -- textbook causal conflict",Same observed effect (context-concatenation improves coref/translation) attributed to two incompatible causes: added gender context vs. mere regularization from extra signal.
r3_003,3,adversarial debiasing effectiveness,"Adversarial learning can remove model bias by explicitly protecting demographic information (such as gender) during model training, producing representations without the protected attribute.",li-etal-2018-towards,Word representations trained with adversarial removal still preserve traces of the protected attributes; external verification of the method is needed because the removal is not actually complete.,elazar2018adversarial,type1_direct_negation,Contradiction,True,type1_direct_negation,type1_direct_negation,A: bias is explicitly removed/protected during training. B: representations still preserve traces of the same protected attribute. Direct negation under the same method class,"A claims adversarial training removes the protected attribute entirely; B directly negates this, showing traces of the attribute persist despite training."
r3_004,3,completeness of fine-tuning-based gender debiasing for MT,"Training on a larger corpus then fine-tuning with a gender-balanced corpus successfully mitigates gender bias and increases translation performance quality, even across domains.",costa-jussa-de-jorge-2020-fine,This fine-tuning approach does not account for the qualitative differences in how men and women are portrayed in the resulting translations -- surface bias metrics improve but portrayal-level bias remains unaddressed.,savoldi2021gender,type4_apparent_contextual,Apparent,True,type4_apparent_contextual,type4_apparent_contextual,"A claims success on measured bias/quality metrics; B says a different, unmeasured dimension (portrayal nuance) is unaddressed -- compatible once scope is separated, but real surface tension",Differ by measurement scope: A claims success on surface bias/quality metrics; B shows portrayal-level bias persists. Compatible once scope is distinguished.
r3_005,3,portrayal of women in film,"Studies of gender in movie dialogue consistently show female characters are portrayed with more positive language, fewer references to death, and fewer swear words compared to male characters.",ramakrishna-etal-2017/2015-and-Choueiti2014,"High-agency women frames (women portrayed as active agents driving the plot) are rare in modern films, despite the more positive language found in prior portrayal studies.",sap-etal-2017-connotation,not_contradiction,NotContradiction,False,not_contradiction,type4_apparent_contextual,Different measured constructs (sentiment/positivity of language vs narrative agency) -- a character can be positively described yet low-agency; not incompatible,Different constructs measured (language positivity vs. narrative agency); apparent tension dissolves once distinguished -- positive language doesn't imply high agency.
r3_006,3,trend of gender bias in text over time / historical persistence,"Unsupervised analysis of literature finds differences between descriptions of males and females align with common, persistent gender stereotypes (e.g. positive adjectives for women more often relate to their bodies).",hoyle-etal-2019-unsupervised,"Gender bias in text has in fact decreased over the last 100 years, with the women's movement of the 1960s-70s having a significant, measurable effect on women's portrayals in literature and culture.",Garg_2018,type4_apparent_contextual,Apparent,True,type4_apparent_contextual,type4_apparent_contextual,Persistent-stereotype snapshot vs declining-bias-over-100-years trend use different methods/timeframes (static analysis vs longitudinal historical embeddings); could be compatible (bias declining but retaining stereotype direction),Different scope: A reports persistent stereotype patterns (cross-sectional); B reports a decreasing bias trend (longitudinal). Not directly opposed once scope is separated.
r3_007,3,news coverage of powerful women,"Powerful women are frequently portrayed in the media, though typically described as less powerful than their actual societal role.",field-tsvetkov-2019-entity,"There is, in fact, a measurable gender gap in the overall coverage of women in Canadian news outlets.",asr2021,not_contradiction,NotContradiction,False,not_contradiction,type4_apparent_contextual,"'Frequently portrayed but less powerful framing' and 'coverage gap relative to men' are not mutually exclusive -- genuinely compatible, not a real dispute","Different scope/dataset: A concerns power-framing within powerful-women coverage; B concerns overall coverage-volume gender gap. Distinct measures, apparently compatible."
r3_008,3,validity of PMI as a gender-bias measure,"Words with high pointwise mutual information (PMI) values for one gender are suggested to have high gender bias, and PMI is used as a bias-detection metric.",general_PMI_bias_literature,"Bias measured at the level of word co-occurrences (PMI) is likely to lead to overgeneralisation when applied to a heterogeneous dataset, undermining PMI as a reliable bias metric.",rudinger-etal-2017-social,type4_apparent_contextual,Apparent,True,type4_apparent_contextual,type4_apparent_contextual,"Critique of a widely-used metric (PMI) rather than two specific competing hypotheses; paradigm-level methodological tension, similar to round-1 p009/p021 pattern","B is a methodological critique of PMI's reliability as a bias metric (overgeneralization on heterogeneous data), not an independent competing empirical claim."
r4_000,4,label-preservation assumption in adversarial text perturbation,"Small text perturbations used for adversarial robustness evaluation (token/character swapping, paraphrasing, semantically-equivalent rules, distractor insertion) preserve the gold label of the original example -- a foundational assumption underlying this line of NLP robustness research.",alzantot2018generating/textfooler/ren-etal-2019/ebrahimi-etal-2018-hotflip (implied prior assumption),"A significant portion of perturbed examples produced by these existing text perturbation techniques are NOT actually label-preserving, and the resulting labels often show high disagreement among human raters -- the perturbations can even fool humans, not just models.",wang2021adversarial,type1_direct_negation,Contradiction,True,type1_direct_negation,type1_direct_negation,A: perturbations preserve the gold label (assumption). B: a significant portion do NOT preserve the label for the same technique class -- direct empirical negation of a stated assumption under the same conditions,"A asserts perturbations preserve gold labels (foundational assumption); B directly found a significant portion do not, with high human disagreement, same techniques/conditions."
r4_001,4,generalization of locate-then-edit knowledge-editing methods,"Locate-then-edit knowledge-editing methods (ROME, MEMIT) effectively locate and update the relevant model parameters to edit factual knowledge, with MEMIT enabling simultaneous integration of thousands of edits across multiple layers.",meng2022locating (ROME) / meng2022mass (MEMIT),"These methods (ROME, MEMIT) lack non-trivial generalization capabilities, with varying performance and applicability across different model architectures -- the best-performing methods empirically only work well on decoder-only LLMs.",yao2023editing,type4_apparent_contextual,Apparent,True,type4_apparent_contextual,type4_apparent_contextual,"B doesn't say the methods fail entirely, but that their claimed effectiveness doesn't generalize beyond decoder-only architectures -- a scope/condition qualification, not a flat negation","B qualifies scope rather than flatly negating A: methods still work but generalize less broadly than implied, varying by model architecture."
