file,sentence,cited_keys,survey_arxiv_id,survey_title
socail_agent.tex,"Furthermore, although existing work provides theoretical support for belief revision~\citep{hase2024fundamental}, challenges remain in addressing contradictions between old and new beliefs, handling moral beliefs in ambiguous situations, and revising beliefs across multiple languages and cultures.",hase2024fundamental,2412.03920,A Survey on Large Language Model-Based Social Agents in Game-Theoretic Scenarios
main.tex,"Hallucinations in LLMs are of three main categories \cite{zhang2023siren}:\\ \textbf{1) Input conflict: } in which the generated output contradicts the given prompt;\\ \textbf{2) Context conflict:} in which there are inconsistencies within the generated response; and\\ \textbf{3) Factual conflict:} in which LLM produce incorrect information, despite having access to accurate knowledge.",zhang2023siren,2504.14520,Meta-Thinking in LLMs via Multi-Agent Reinforcement Learning: A Survey
previou.tex,"Hallucinations in LLMs are of three main categories \cite{zhang2023siren}:\\ \textbf{1) Input conflict: } in which the generated output contradicts the given prompt;\\ \textbf{2) Context conflict:} in which there are inconsistencies within the generated response; and\\ \textbf{3) Factual conflict:} in which LLM produce incorrect information, despite having access to accurate knowledge.",zhang2023siren,2504.14520,Meta-Thinking in LLMs via Multi-Agent Reinforcement Learning: A Survey
main.tex,"Hallucinations in LLMs are of three main categories \cite{zhang2023siren}:\\ \textbf{1) Input conflict: } in which the generated output contradicts the given prompt;\\ \textbf{2) Context conflict:} in which there are inconsistencies within the generated response; and\\ \textbf{3) Factual conflict:} in which LLM produce incorrect information, despite having access to accurate knowledge.",zhang2023siren,2504.14520,Meta-Thinking in LLMs via Multi-Agent Reinforcement Learning: A Survey
influential_examples_tracin.tex,"However, \citet{Garima2020} instruct how to adapt this to most learning algorithms (AdaGrad, Adam, Newton, etc).",Garima2020,2108.04840,Post-hoc Interpretability for Neural NLP: A Survey
measures.tex,"Most notable is the \intrinsic{intrinsically} interpretable method \emph{Attention}, where different measures of interpretability have been published resulting in conflicting findings \citep{Jain2019,Serrano2019,Wiegreffe2020}.","Jain2019,Serrano2019,Wiegreffe2020",2108.04840,Post-hoc Interpretability for Neural NLP: A Survey
introduction.tex,"In contrast to other surveys and tutorials on interpretability methods \citep{Wallace2020a,Molnar2019,Belinkov2020,Chakraborty2017,Bhatt2020,Sun2021,Danilevsky2020,Belinkov2019,Tjoa2020} which only discusses the most popular approaches (usually 3 among \type{sec:input-features}{input features}, \type{sec:adversarial-examples}{adversarial examples}, \type{sec:influential-examples}{influential examples}, \method{sec:vocabulary:projection}{projection}, and \type{sec:linguistic-information}{linguist","Wallace2020a,Molnar2019,Belinkov2020,Chakraborty2017,Bhatt2020,Sun2021,Danilevsky2020,Belinkov2019,Tjoa2020",2108.04840,Post-hoc Interpretability for Neural NLP: A Survey
introduction.tex,"Verifying this is often non-trivial, as has repeatedly been shown with \emph{Attention} \citep{Bahdanau2015}, where multiple papers have found contradicting conclusions regarding interpretability \citep{Wiegreffe2020,Jain2019,Serrano2019,Vashishth2019}.","Bahdanau2015;Wiegreffe2020,Jain2019,Serrano2019,Vashishth2019",2108.04840,Post-hoc Interpretability for Neural NLP: A Survey
influential_examples_rps.tex,"However, \citet{Yeh2018} show that the stationary solution can be achieved \intrinsic{post-hoc}, meaning after learning, with minimal impact on the model predictions.",Yeh2018,2108.04840,Post-hoc Interpretability for Neural NLP: A Survey
acl_latex.tex,"\subsection{Cultural and Normative Misalignment} Toxicity is culturally embedded: annotators' identities and beliefs strongly influence judgments \citep{sap2022annotators, sap-etal-2019-risk, jaggi-etal-2024-accurate}, yet many safety datasets collapse disagreement into a single label.","sap2022annotators, sap-etal-2019-risk, jaggi-etal-2024-accurate",2606.25380,A Survey of Toxicity Detection and Mitigation Strategies for Multilingual Language Models
