sentence_id,file,sentence,cited_keys,survey_arxiv_id,survey_title,cited_keys_split,n_cited_keys,n_resolved,resolved_titles,resolved_authors,resolved_years,resolved_abstracts,resolved_context,resolution_source
s0000,apidianaki-2023-word.pdf,"Rajaee and Pilehvar (2022) show that the spaces that are created by mBERT in different languages are also massively anisotropic.39 However, unlike monolingual models, there is no dominant dimension that has high contribution to the anisotropic distribution.40 This contradicts the ﬁnding of Luo, Kulmizev, and Mao (2021) about the role of position embeddings in the emergence of outliers, since monolingual and multilingual spaces are constructed using the same training procedure which involves posi","Rajaee and Pilehvar, 2022;Mao, 2021",apidianaki-2023-word,From Word Types to Tokens and Back: A Survey of Approaches to Word Meaning Representation and Interpretation,"Rajaee and Pilehvar, 2022Mao, 2021",2,2,An isotropy analysis in the multilingual BERT embedding spacePositional artefacts propagate through masked language model embeddings,,20222021,"Several studies have explored various advantages of multilingual pre-trained models (such as multilingual BERT) in capturing shared linguistic knowledge.However, less attention has been paid to their limitations.In this paper, we investigate the multilingual BERT for two known issues of the monolingual models: anisotropic embedding space and outlier dimensions.We show that, unlike its monolingual counterpart, the multilingual BERT model exhibits no outlier dimension in its representations while it has a highly anisotropic space.There are a few dimensions in the monolingual BERT with high contributions to the anisotropic distribution.However, we observe no such dimensions in the multilingual BERT.Furthermore, our experimental results demonstrate that increasing the isotropy of multilingual space can significantly improve its representation power and performance, similarly to what had been observed for monolingual CWRs on semantic similarity tasks.Our analysis indicates that, despite having different degenerated directions, the embedding spaces in various languages tend to be partially similar with respect to their structures.1 .Ziyang Luo, Artur Kulmizev, Xiaoxi Mao. Proceedings of the 59th Annual Meeting of the Association for Computational Linguistics and the 11th International Joint Conference on Natural Language Processing (Volume 1: Long Papers). 2021.",An isotropy analysis in the multilingual BERT embedding spacePositional artefacts propagate through masked language model embeddings,openalexopenalex
s0001,artstein-poesio-2008-survey.pdf,"S, π, κ = Ao −Ae 1 −Ae The three best-known coefﬁcients, S (Bennett, Alpert, and Goldstein 1954), π (Scott 1955), and κ (Cohen 1960), and their generalizations, all use this formula; whereas Krippendorff’s α is based on a related formula expressed in terms of disagreement (see Section 2.6).",Scott 1955;Cohen 1960,artstein-poesio-2008-survey,Survey Article: Inter-Coder Agreement for Computational Linguistics,Scott 1955Cohen 1960,2,2,Reliability of content analysis: The case of nominal scale codingA coefﬁcient of agreement for nominal scales,,19551960,"WILLIAM A. SCOTT; Reliability of Content Analysis:: The Case of Nominal Scale Coding, Public Opinion Quarterly, Volume 19, Issue 3, 1 January 1955, Pages 321–32",Reliability of content analysis: The case of nominal scale codingA coefﬁcient of agreement for nominal scales,openalexno_abstract_found
s0002,ganesh-etal-2023-survey.pdf,"In follow-up work, Elsner and Charniak (2011) experiment with incorporating discourse coherence models (Lapata et al., 2005; Soricut and Marcu, 2006) for disentanglement, and find mixed results on the IRC corpus: models of local coherence help with assigning individual utterances into the right threads, but not in 142 disentangling entire conversations.","Lapata et al., 2005;Soricut and Marcu, 2006;Elsner and Charniak, 2011",ganesh-etal-2023-survey,A Survey of Challenges and Methods in the Computational Modeling of Multi-Party Dialog,"Lapata et al., 2005Soricut and Marcu, 2006Elsner and Charniak, 2011",3,3,Automatic evaluation of text coherence: Models and representationsDiscourse generation using utility-trained coherence modelsDisentangling chat with local coherence models,,200520062011,"This paper investigates the automatic evaluation of text coherence for machine-generated texts. We introduce a fully-automatic, linguistically rich model of local coherence that correlates with human judgments. Our modeling approach relies on shallow text properties and is relatively inexpensive. We present experimental results that assess the predictive power of various discourse representations proposed in the linguistic literature. Our results demonstrate that certain models capture complementary aspects of coherence and thus can be combined to improve performance. 1We describe a generic framework for integrating various stochastic models of discourse coherence in a manner that takes advantage of their individual strengths. An integral part of this framework are algorithms for searching and training these stochastic coherence models. We evaluate the performance of our models and algorithms and show empirically that utility-trained log-linear coherence models outperform each of the individual coherence models considered.We evaluate several popular models of local discourse coherence for domain and task generality by applying them to chat disentanglement. Using experiments on synthetic multiparty conversations, we show that most models transfer well from text to dialogue. Coherence models improve results overall when good parses and topic models are available, and on a constrained task for real chat data. One property of a well-written document is coherence, the way each sentence ts into its context– sentences should be interpretable in light of what has come before, and in turn make it possible to interpret what comes after. Models of coherence have primarily been used for text-based generation tasks: ordering units of text for multidocument summarization or inserting new text into an existing article. In general, the corpora used consist of informative writing, and the tasks used for evaluation consider different ways of reordering the same set of textual units. But the theoretical concept of coherence goes beyond both this domain and this task setting – and so should coherence models. This paper evaluates a variety of local coherence models on the task of chat disentanglement or “threading”: separating a transcript of a multiparty interaction into independent conversations 1. Such simultaneous conversations occur in internet chat rooms, and on shared voice channels such as pushto-talk radio. In these situations, a single, correctly 1 A public implementation is available via",Automatic evaluation of text coherence: Models and representationsDiscourse generation using utility-trained coherence modelsDisentangling chat with local coherence models,openalexopenalexopenalex
s0003,gari-soler-etal-2025-potentially.pdf,"Going against conversational maxims (Grice, 1975) can cause confusion for the listener, especially the maxim of quality, with contradictory statements, jokes, information that goes against common sense, or vandalism in, for example, collaborative text editing (Adler et al., 2011).","Grice, 1975;Adler et al., 2011",gari-soler-etal-2025-potentially,Potentially Problematic Word Usages and How to Detect Them: A Survey,"Grice, 1975Adler et al., 2011",2,2,"Logic and conversationWikipedia Vandalism Detection: Combining Natural Language, Metadata, and Reputation Features",,19752011,,"Logic and conversationWikipedia Vandalism Detection: Combining Natural Language, Metadata, and Reputation Features",no_abstract_foundno_abstract_found
s0005,kumar-etal-2026-looking.pdf,"iv Anchoring bias: It refers to the undue influence of an initial diagnostic impression on subsequent decision-making despite new contradictory information, is typically viewed as a source of diagnostic error in radiology (Itri and Patel, 2018; Yoon et al., 2024).","Itri and Patel, 2018;Yoon et al., 2024",kumar-etal-2026-looking,Looking at Radiology Report Generation through a Causal Lens: A Survey,"Itri and Patel, 2018Yoon et al., 2024",2,2,Heuristics and cognitive error in medical imagingSpectrum of cognitive biases in diagnostic radiology,,20182024,"OBJECTIVE: The field of cognitive science has provided important insights into mental processes underlying the interpretation of imaging examinations. Despite these insights, diagnostic error remains a major obstacle in the goal to improve quality in radiology. In this article, we describe several types of cognitive bias that lead to diagnostic errors in imaging and discuss approaches to mitigate cognitive biases and diagnostic error. CONCLUSION: Radiologists rely on heuristic principles to reduce complex tasks of assessing probabilities and predicting values into simpler judgmental operations. These mental shortcuts allow rapid problem solving based on assumptions and past experiences. Heuristics used in the interpretation of imaging studies are generally helpful but can sometimes result in cognitive biases that lead to significant errors. An understanding of the causes of cognitive biases can lead to the development of educational content and systematic improvements that mitigate errors and improve the quality of care provided by radiologists.Cognitive biases are systematic thought processes involving the use of a filter of personal experiences and preferences arising from the tendency of the human brain to simplify information processing, especially when taking in vast amounts of data such as from imaging studies. These biases encompass a wide spectrum of thought processes and frequently overlap in their concepts, with multiple biases usually in operation when interpretive and perceptual errors occur in radiology. The authors review the gamut of cognitive biases that occur in radiology. These biases are organized according to their expected stage of occurrence while the radiologist reads and interprets an imaging study. In addition, the authors propose several additional cognitive biases that have not yet, to their knowledge, been defined in the radiologic literature but are applicable to diagnostic radiology. Case examples are used to illustrate potential biases and their impact, with emergency radiology serving as the clinical paradigm, given the associated high imaging volumes, wide diversity of imaging examinations, and rapid pace, which can further increase a radiologist’s reliance on biases and heuristics. Potential strategies to recognize and overcome one’s personal biases at each stage of image interpretation are also discussed. Awareness of such biases and their unintended effects on imaging interpretations and patient outcomes may help make radiologists cognizant of their own biases that can result in diagnostic errors. Identification of cognitive bias in departmental and systematic quality improvement practices may represent another tool to prevent diagnostic errors in radiology. ©RSNA, 2024 See the invited commentary by Larson in this issue.",Heuristics and cognitive error in medical imagingSpectrum of cognitive biases in diagnostic radiology,openalexopenalex
s0006,lamsiyah-etal-2025-trust.pdf,"Faithfulness refers to the extent to which a summary is directly supported by its source, without adding, omitting, or contradicting information (Maynez et al., 2020; Dong et al., 2022; Li et al., 2022).","Maynez et al., 2020;Dong et al., 2022;Li et al., 2022",lamsiyah-etal-2025-trust,Trust but Verify: A Comprehensive Survey of Faithfulness Evaluation Methods in Abstractive Text Summarization,"Maynez et al., 2020Dong et al., 2022Li et al., 2022",3,3,"On faithfulness and factuality in abstractive summarizationFaithful to the document or to the world? mitigating hallucinations via entity-linked knowledge in abstractive summarizationFaithfulness in natural language generation: A systematic survey of analysis, evaluation and optimization methods",,202020222022,"We study generating abstractive summaries that are faithful and factually consistent with the given articles.A novel contrastive learning formulation is presented, which leverages both reference summaries, as positive training data, and automatically generated erroneous summaries, as negative training data, to train summarization systems that are better at distinguishing between them.We further design four types of strategies for creating negative samples, to resemble errors made commonly by two state-of-the-art models, BART and PEGASUS, found in our new human annotations of summary errors.Experiments on XSum and CNN/Daily Mail show that our contrastive learning framework is robust across datasets and models.It consistently produces more factual summaries than strong comparisons with post error correction, entailmentbased reranking, and unlikelihood training, according to QA-based factuality evaluation.Human judges echo the observation and find that our model summaries correct more errors.REFERENCE: A ""rare"" short-eared owl found emaciated in Flintshire is now recuperating well, the RSPCA have said.SWAPENT: Flintshire → Bettisfield ⇒ A ""rare"" short-eared owl found emaciated in Bettisfield is now recuperating well, the RSPCA have said.MASKENT: A ""rare"" short-eared owl found emaciated in [MASK] is now recuperating well, the RSPCA have said.⇒ A ""rare"" short-eared owl found emaciated in a field in South Yorkshire is now recuperating well, the RSPCA have said.MASKREL: A ""rare"" short-eared owl found [MASK] in [MASK] is now recuperating well, the RSPCA have said.⇒ A ""rare"" short-eared owl found dead in London is now recuperating well, the RSPCA have said.REGENENT: A ""rare"" short-eared owl found emaciated in ⇒ A ""rare"" short-eared owl found emaciated in Nottinghamshire is now at a wildlife centre to recover.REGENREL: A ""rare"" short-eared owl found ⇒ A ""rare"" short-eared owl found in the grounds of a former coal mine is being cared for by the RSPCA in Somerset.SYSLOWCON: An injured golden owl found in a former coal mine in Lancashire is being cared for by the RSPCA.Existing abstractive summarization systems are hampered by content hallucinations in which models generate text that is not directly inferable from the source alone.Annotations from prior work have shown that some of these hallucinations, while being 'unfaithful' to the source, are nonetheless factual.Our analysis in this paper suggests that these factual hallucinations occur as a result of the prevalence of factual yet unfaithful entities in summarization datasets.We find that these entities are not aberrations, but instead examples of additional world knowledge being readily used to latently connect entities and concepts -in this case connecting entities in the source document to those in the target summary.In our analysis and experiments, we demonstrate that connecting entities to an external knowledge base can lend provenance to many of these unfaithful yet factual entities, and further, this knowledge can be used to improve the factuality of summaries without simply making them more extractive.Natural Language Generation (NLG) has made great progress in recent years due to the development of deep learning techniques such as pre-trained language models. This advancement has resulted in more fluent, coherent and even properties controllable (e.g. stylistic, sentiment, length etc.) generation, naturally leading to development in downstream tasks such as abstractive summarization, dialogue generation, machine translation, and data-to-text generation. However, the faithfulness problem that the generated text usually contains unfaithful or non-factual information has become the biggest challenge, which makes the performance of text generation unsatisfactory for practical applications in many real-world scenarios. Many studies on analysis, evaluation, and optimization methods for faithfulness problems have been proposed for various tasks, but have not been organized, compared and discussed in a combined manner. In this survey, we provide a systematic overview of the research progress on the faithfulness problem of NLG, including problem analysis, evaluation metrics and optimization methods. We organize the evaluation and optimization methods for different tasks into a unified taxonomy to facilitate comparison and learning across tasks. Several research trends are discussed further.","On faithfulness and factuality in abstractive summarizationFaithful to the document or to the world? mitigating hallucinations via entity-linked knowledge in abstractive summarizationFaithfulness in natural language generation: A systematic survey of analysis, evaluation and optimization methods",openalexopenalexopenalex
s0007,lamsiyah-etal-2025-trust.pdf,"Errors in generation are commonly described as hallucinations, which can be classified as intrinsic, when the summary contradicts the source, or extrinsic when it introduces unverifiable or fabricated content (Zhao et al., 2020; Cao and Wang, 2021; Huang et al., 2021; Ji et al., 2023).","Zhao et al., 2020;Cao and Wang, 2021;Huang et al., 2021;Ji et al., 2023",lamsiyah-etal-2025-trust,Trust but Verify: A Comprehensive Survey of Faithfulness Evaluation Methods in Abstractive Text Summarization,"Zhao et al., 2020Cao and Wang, 2021Huang et al., 2021Ji et al., 2023",4,3,Reducing quantity hallucinations in abstractive summarizationThe factual inconsistency problem in abstractive text summarization: A surveySurvey of hallucination in natural language generation,,202020212023,"It is well-known that abstractive summaries are subject to hallucination—including material that is not supported by the original text. While summaries can be made hallucination-free by limiting them to general phrases, such summaries would fail to be very informative. Alternatively, one can try to avoid hallucinations by verifying that any specific entities in the summary appear in the original text in a similar context. This is the approach taken by our system, Herman. The system learns to recognize and verify quantity entities (dates, numbers, sums of money, etc.) in a beam-worth of abstractive summaries produced by state-of-the-art models, in order to up-rank those summaries whose quantity terms are supported by the original text. Experimental results demonstrate that the ROUGE scores of such up-ranked summaries have a higher Precision than summaries that have not been up-ranked, without a comparable loss in Recall, resulting in higher F1. Preliminary human evaluation of up-ranked vs. original summaries shows people’s preference for the former.Recently, various neural encoder-decoder models pioneered by Seq2Seq framework have been proposed to achieve the goal of generating more abstractive summaries by learning to map input text to output text. At a high level, such neural models can freely generate summaries without any constraint on the words or phrases used. Moreover, their format is closer to human-edited summaries and output is more readable and fluent. However, the neural model's abstraction ability is a double-edged sword. A commonly observed problem with the generated summaries is the distortion or fabrication of factual information in the article. This inconsistency between the original text and the summary has caused various concerns over its applicability, and the previous evaluation methods of text summarization are not suitable for this issue. In response to the above problems, the current research direction is predominantly divided into two categories, one is to design fact-aware evaluation metrics to select outputs without factual inconsistency errors, and the other is to develop new summarization systems towards factual consistency. In this survey, we focus on presenting a comprehensive review of these fact-specific evaluation methods and text summarization models.Natural Language Generation (NLG) has improved exponentially in recent years thanks to the development of sequence-to-sequence deep learning technologies such as Transformer-based language models. This advancement has led to more fluent and coherent NLG, leading to improved development in downstream tasks such as abstractive summarization, dialogue generation, and data-to-text generation. However, it is also apparent that deep learning based generation is prone to hallucinate unintended text, which degrades the system performance and fails to meet user expectations in many real-world scenarios. To address this issue, many studies have been presented in measuring and mitigating hallucinated texts, but these have never been reviewed in a comprehensive manner before. In this survey, we thus provide a broad overview of the research progress and challenges in the hallucination problem in NLG. The survey is organized into two parts: (1) a general overview of metrics, mitigation methods, and future directions, and (2) an overview of task-specific research progress on hallucinations in the following downstream tasks, namely abstractive summarization, dialogue generation, generative question answering, data-to-text generation, and machine translation. This survey serves to facilitate collaborative efforts among researchers in tackling the challenge of hallucinated texts in NLG.",Reducing quantity hallucinations in abstractive summarizationThe factual inconsistency problem in abstractive text summarization: A surveySurvey of hallucination in natural language generation,openalexno_matchopenalexopenalex
s0008,liu-etal-2025-large-language.pdf,"For example, sensitivity to prompt design leads to inconsistent results (Long et al., 2023); pairwise judgments can lead to cycles in the full causal graph (Vashishtha et al., 2023); pairwise judgments require large computational cost when applying to a large-scale dataset, N variables would require N 2 prompts (Ban et al., 2023a); LLMs still provide false information despite achieving strong results in many cases (Long et al., 2023; Tu et al., 2023; Joshi et al., 2024).","Long et al., 2023;Vashishtha et al., 2023;Ban et al., 2023a;Tu et al., 2023;Joshi et al., 2024",liu-etal-2025-large-language,Large Language Models and Causal Inference in Collaboration: A Comprehensive Survey,"Long et al., 2023Vashishtha et al., 2023Ban et al., 2023aTu et al., 2023Joshi et al., 2024",5,3,Causal inference using llm-guided discoveryCausaldiscovery performance of chatgpt in the context of neuropathic pain diagnosisLlms are prone to fallacies in causal inference,,202320232024,"Recent work shows that causal facts can be effectively extracted from LLMs through prompting, facilitating the creation of causal graphs for causal inference tasks.However, it is unclear if this success is limited to explicitly-mentioned causal facts in the pretraining data which the model can memorize.Thus, this work investigates: Can LLMs infer causal relations from other relational data in text?To disentangle the role of memorized causal facts vs inferred causal relations, we finetune LLMs on synthetic data containing temporal, spatial and counterfactual relations, and measure whether the LLM can then infer causal relations.We find that: (a) LLMs are susceptible to inferring causal relations from the order of two entity mentions in text (e.g.X mentioned before Y implies X causes Y); (b) if the order is randomized, LLMs still suffer from the post hoc fallacy, i.e.X occurs before Y (temporal relation) implies X causes Y.We also find that while LLMs can correctly deduce the absence of causal relations from temporal and spatial relations, they have difficulty inferring causal relations from counterfactuals, questioning their understanding of causality.",Causal inference using llm-guided discoveryCausaldiscovery performance of chatgpt in the context of neuropathic pain diagnosisLlms are prone to fallacies in causal inference,no_matchno_abstract_foundno_matchno_abstract_foundopenalex
s0011,rodrigo-gines-chamorro-padial-2026-media.pdf,"Rather than resolving disagreement through aggregation, annotation frameworks should preserve individual judgments, enabling models to predict distributions of opinion rather than single labels (Basile et al., 2021; Cabitza et al., 2023).","Basile et al., 2021;Cabitza et al., 2023",rodrigo-gines-chamorro-padial-2026-media,Media Bias within Information Disorder: Bridging Two Research Communities through a Systematic Review,"Basile et al., 2021Cabitza et al., 2023",2,2,We need to consider disagreement in evaluationToward a perspectivist turn in ground truthing for predictive computing,,20212023,"Evaluation is of paramount importance in datadriven research fields such as Natural Language Processing (NLP) and Computer Vision (CV).But current evaluation practice in NLP, except for end-to-end tasks such as machine translation, spoken dialogue systems, or NLG, largely hinges on the existence of a single ""ground truth"" against which we can meaningfully compare the prediction of a model.However, this assumption is flawed for two reasons.1) In many cases, more than one answer is correct.2) Even where there is a single answer, disagreement among annotators is ubiquitous, making it difficult to decide on a gold standard.We discuss three sources of disagreement: from the annotator, the data, and the context, and show how this affects even seemingly objective tasks.Current methods of adjudication, agreement, and evaluation ought to be reconsidered at the light of this evidence.Some researchers now propose to address this issue by minimizing disagreement, creating cleaner datasets.We argue that such a simplification is likely to result in oversimplified models just as much as it would do for end-to-end tasks such as machine translation.Instead, we suggest that we need to improve today's evaluation practice to better capture such disagreement.Datasets with multiple annotations are becoming more common, as are methods to integrate disagreement into modeling.The logical next step is to extend this to evaluation.Most current Artificial Intelligence applications are based on supervised Machine Learning (ML), which ultimately grounds on data annotated by small teams of experts or large ensemble of volunteers. The annotation process is often performed in terms of a majority vote, however this has been proved to be often problematic by recent evaluation studies. In this article, we describe and advocate for a different paradigm, which we call perspectivism: this counters the removal of disagreement and, consequently, the assumption of correctness of traditionally aggregated gold-standard datasets, and proposes the adoption of methods that preserve divergence of opinions and integrate multiple perspectives in the ground truthing process of ML development. Drawing on previous works which inspired it, mainly from the crowdsourcing and multi-rater labeling settings, we survey the state-of-the-art and describe the potential of our proposal for not only the more subjective tasks (e.g. those related to human language) but also those tasks commonly understood as objective (e.g. medical decision making). We present the main benefits of adopting a perspectivist stance in ML, as well as possible disadvantages, and various ways in which such a stance can be implemented in practice. Finally, we share a set of recommendations and outline a research agenda to advance the perspectivist stance in ML.",We need to consider disagreement in evaluationToward a perspectivist turn in ground truthing for predictive computing,openalexopenalex
s0014,sim-etal-2025-vlms.pdf,"Parallel research supports this finding and further reveals that text encoders preserve compositional information better than vision encoders, a result that contradicts intuition (Milewski et al., 2022; Alper et al., 2023; Wang et al., 2024b).","Milewski et al., 2022;Alper et al., 2023;Wang et al., 2024b",sim-etal-2025-vlms,Can {VLM}s Actually See and Read? A Survey on Modality Collapse in Vision-Language Models,"Milewski et al., 2022Alper et al., 2023Wang et al., 2024b",3,2,Finding structural knowledge in multimodal-BERTIs bert blind? exploring the effect of 24460 vision-and-language pretraining on visual language understanding,,20222023,"In this work, we investigate the knowledge learned in the embeddings of multimodal-BERT models.More specifically, we probe their capabilities of storing the grammatical structure of linguistic data and the structure learned over objects in visual data.To reach that goal, we first make the inherent structure of language and visuals explicit by a dependency parse of the sentences that describe the image and by the dependencies between the object regions in the image, respectively.We call this explicit visual structure the scene tree, that is based on the dependency tree of the language description.Extensive probing experiments show that the multimodal-BERT models do not encode these scene trees.Code available at https://github. com/VSJMilewski/multimodal-probes.",Finding structural knowledge in multimodal-BERTIs bert blind? exploring the effect of 24460 vision-and-language pretraining on visual language understanding,openalexno_abstract_foundno_match
