pair_id,label,rationale
p000,not_contradiction,"Different languages/specific contributions (math corpus vs Hindi LLM); no comparable claim"
p001,not_contradiction,"Different sub-problems: compute-accuracy evaluation vs ICL demonstration selection"
p002,not_contradiction,"Different tasks: data augmentation for classification vs code-switching LM perplexity"
p003,not_contradiction,"Different aspect-analysis sub-tasks (topic modeling vs category detection), no shared measurable claim"
p004,not_contradiction,"B is an explicit successor/improvement of A (LayoutLM->LayoutLMv2), not an independent conflicting claim"
p005,not_contradiction,"Different sub-tasks: embeddings resource release vs cognate detection method"
p006,not_contradiction,"Different methods/datasets/metrics for stock prediction, not directly comparable"
p007,not_contradiction,"Different specific methods for review spam/fake review detection, no direct conflict"
p008,not_contradiction,"Different tasks entirely: general Arabic social media toolkit vs suicide ideation detection"
p009,type4_apparent,"B critiques the SF-TOD paradigm A operates within as unrealistic; paradigm-level tension, not a direct empirical clash over the same claim -- borderline, low confidence"
p010,not_contradiction,"Different specific systems for different aspects of agent training infrastructure"
p011,not_contradiction,"Unrelated specific claims (knowledge-frequency robustness vs parameter-efficient tuning)"
p012,not_contradiction,"Survey vs empirical study, different scope, not conflicting"
p013,not_contradiction,"Different specific tasks (general hate-speech code-word discovery vs Islamophobia severity classifier)"
p014,not_contradiction,"Unrelated specific claims sharing only vocabulary (gram/word)"
p015,not_contradiction,"Completely different shared-task system-description papers"
p016,not_contradiction,"Different architectures for different info-extraction sub-problems"
p017,not_contradiction,"Different specific tasks: SDoH extraction vs medical error detection/correction"
p018,not_contradiction,"Different specific tasks: multilingual LM benchmark vs cross-lingual reranking evaluation"
p019,not_contradiction,"Different specific contributions: general multimodal pretraining vs dialogue dataset+model"
p020,not_contradiction,"Both propose new LLM-eval paradigms but via different, non-conflicting mechanisms"
p021,type4_apparent,"A critiques standard accuracy/F1 leaderboard evaluation as potentially misleading; B relies on exactly such a leaderboard claim -- methodological tension, not a direct same-claim conflict -- borderline, low confidence"
p022,not_contradiction,"B is a tutorial describing known difficulties in the space A operates in, not a conflicting empirical claim"
p023,not_contradiction,"Different modalities/tasks (text timeline summarisation vs audio hallucination), share only 'temporal reasoning' vocabulary"
p024,not_contradiction,"Different tasks: NMT attention span vs handwritten text recognition attention"
p025,not_contradiction,"Both are 'new jailbreak method beats baseline' papers on different benchmarks, not a head-to-head comparable claim"
p026,not_contradiction,"Different aspect-based-sentiment sub-tasks (category detection vs term-level with missing aspect terms)"
p027,not_contradiction,"Different specific problems: joint ASR-ST training vs re-translation speed for simultaneous translation"
p028,not_contradiction,"Different methods/base models for KV-cache compression; compression numbers not directly comparable (different setups)"
p029,not_contradiction,"Different specific prediction tasks on clinical notes (discharge diagnosis vs ventilation duration)"
p030,not_contradiction,"Different reasoning-enhancement mechanisms (visual construction vs knowledge subgraphs) for different task types"
p031,not_contradiction,"Both 'variational attention' but different specific mechanisms/tasks (Seq2Seq diversity vs stance-detection robustness); related but not conflicting"
p032,not_contradiction,"Different architectures/objectives (generative vs discriminative) for Arabic, different tasks/metrics"
p033,not_contradiction,"Different aspects (security/attack vs architecture/theory) of diffusion LLMs, not comparable claims"
p034,not_contradiction,"Different specific resources for different languages/domains"
p035,not_contradiction,"Both data-selection-for-tuning papers but different modalities (text vs vision-language) and methods"
p036,not_contradiction,"B is an engineering/toolkit paper, not a comparable empirical claim to A"
p037,not_contradiction,"Different specific methods/domains (general entity-synonym discovery vs domain-specific ontology construction)"
p038,not_contradiction,"Different specific contributions (pretrained LM architecture vs data augmentation technique)"
p039,not_contradiction,"Completely different tasks (question similarity vs ICD-10 coding)"
p040,not_contradiction,"Both query-expansion-via-embeddings but different mechanisms/query types; complementary not conflicting"
p041,type4_apparent,"Surface tension: A finds LLMs need context/domain knowledge for numerical causal discovery; B's fine-tuned LLM succeeds by providing exactly that scaffolding -- resolves once methodology is considered, textbook Type 4 candidate -- borderline, moderate confidence"
