sentence_id,file,sentence,cited_keys,survey_arxiv_id,survey_title,cited_keys_split,n_cited_keys,n_resolved,resolved_titles,resolved_authors,resolved_years,resolved_abstracts,resolved_context,resolution_source
s0006,main.tex,"\citet{Fresz2024} draw on the Co-12-properties from \citet{Nauta2022} augmented by five process-properties, while \citet{Colmenarejo2025} derive five desiderata from three technical publications \cite{Chen2022,ChristophMolnar2022,Guidotti2019} and related works.","Fresz2024;Nauta2022;Colmenarejo2025;Chen2022,ChristophMolnar2022,Guidotti2019",2608.02699,Explainable AI for the EU Right to Explanation: A Systematic Review of the Law-XAI Translation Gap,Fresz2024Nauta2022Colmenarejo2025Chen2022ChristophMolnar2022Guidotti2019,6,6,How Should {AI} Decisions Be Explained? {R}equirements for Explanations from the Perspective of {E}uropean LawFrom Anecdotal Evidence to Quantitative Evaluation Methods: {A} Systematic Review on Evaluating Explainable {AI}How should an explanation be? {A} mapping of technical and legal desiderata of explanations for machine learning modelsWhat Makes a Good Explanation? {A} Harmonized View of Properties of ExplanationsInterpretable Machine Learning: {A} Guide for Making Black Box Models ExplainableA Survey of Methods for Explaining Black Box Models,"Fresz, Benjamin and Dubovitskaya, Elena and Brajovic, Danilo and Huber, Marco F. and Horz, ChristianNauta, Meike and Trienes, Jan and Pathak, Shreyasi and Nguyen, Elisa and Peters, Michelle and Schmitt, Yasmin and Schl\""{o}tterer, J\""{o}rg and {van Keulen}, Maurice and Seifert, ChristinColmenarejo, Alejandra Bringas and State, Laura and Comand\`{e}, GiovanniChen, Zixi and Subhash, Varshini and Havasi, Marton and Pan, Weiwei and Doshi-Velez, FinaleMolnar, ChristophGuidotti, Riccardo and Monreale, Anna and Ruggieri, Salvatore and Turini, Franco and Giannotti, Fosca and Pedreschi, Dino",202420222025202220192019,,"Fresz2024, author = {Fresz, Benjamin and Dubovitskaya, Elena and Brajovic, Danilo and Huber, Marco F. and Horz, Christian}, year = {2024}, title = {How Should {AI} Decisions Be Explained? {R}equirements for Explanations from the Perspective of {E}uropean Law}, booktitle = {Proceedings of the {AAAI/ACM} Conference on AI, Ethics, and Society}, volume = {7}, pages = {438--450}, doi = {10.1609/aies.v7i1.31648}Nauta2022, author = {Nauta, Meike and Trienes, Jan and Pathak, Shreyasi and Nguyen, Elisa and Peters, Michelle and Schmitt, Yasmin and Schl\""{o}tterer, J\""{o}rg and {van Keulen}, Maurice and Seifert, Christin}, year = {2022}, title = {From Anecdotal Evidence to Quantitative Evaluation Methods: {A} Systematic Review on Evaluating Explainable {AI}}, eprint={2201.08164}, archivePrefix={arXiv}, url = {http://arxiv.org/pdf/2201.08164}Colmenarejo2025, author = {Colmenarejo, Alejandra Bringas and State, Laura and Comand\`{e}, Giovanni}, year = {2025}, title = {How should an explanation be? {A} mapping of technical and legal desiderata of explanations for machine learning models}, journal = {International Review of Law, Computers \& Technology}, pages = {1--32}, publisher = {Routledge}, doi = {10.1080/13600869.2025.2497633}Chen2022, author = {Chen, Zixi and Subhash, Varshini and Havasi, Marton and Pan, Weiwei and Doshi-Velez, Finale}, year = {2022}, title = {What Makes a Good Explanation? {A} Harmonized View of Properties of Explanations}, eprint={2211.05667}, archivePrefix={arXiv}, doi = {10.48550/ARXIV.2211.05667}ChristophMolnar2022, author = {Molnar, Christoph}, year = {2019}, title = {Interpretable Machine Learning: {A} Guide for Making Black Box Models Explainable}, edition = {2nd}, url = {https://christophm.github.io/interpretable-ml-book}Guidotti2019, author = {Guidotti, Riccardo and Monreale, Anna and Ruggieri, Salvatore and Turini, Franco and Giannotti, Fosca and Pedreschi, Dino}, year = {2019}, title = {A Survey of Methods for Explaining Black Box Models}, journal = {{ACM} Computing Surveys}, volume = {51}, number = {5}, pages = {1--42}, doi = {10.1145/3236009}",bibbibbibbibbibbib
s0007,main.tex,Papers mainly addressing LLMs broadly characterize LIME and SHAP as sufficient for non-LLM models \cite{Feretzakis2025} or at least for provider-deployer relationships \cite{Gorski2025}---a claim directly contradicted by the Addressee/Purpose Framework (Section~\ref{sec:framework}).,Feretzakis2025;Gorski2025,2608.02699,Explainable AI for the EU Right to Explanation: A Systematic Review of the Law-XAI Translation Gap,Feretzakis2025Gorski2025,2,2,{GDPR} and Large Language Models: {T}echnical and Legal ObstaclesRight to Explanation in Large Language Models: {L}essons from the {E}uropean Union {AI} Act and General Data Protection Regulation,"Feretzakis, Georgios and Vagena, Evangelia and Kalodanis, Konstantinos and Peristera, Paraskevi and Kalles, Dimitris and Anastasiou, AthanasiosG\'{o}rski, {\L}ukasz and Ramakrishna, Shashishekar",20252025,,"Feretzakis2025, author = {Feretzakis, Georgios and Vagena, Evangelia and Kalodanis, Konstantinos and Peristera, Paraskevi and Kalles, Dimitris and Anastasiou, Athanasios}, year = {2025}, title = {{GDPR} and Large Language Models: {T}echnical and Legal Obstacles}, journal = {Future Internet}, volume = {17}, number = {4}, pages = {151}, publisher = {MDPI}, doi = {10.3390/fi17040151}Gorski2025, author = {G\'{o}rski, {\L}ukasz and Ramakrishna, Shashishekar}, year = {2025}, title = {Right to Explanation in Large Language Models: {L}essons from the {E}uropean Union {AI} Act and General Data Protection Regulation}, journal = {IT Professional}, volume = {27}, number = {1}, pages = {34--40}, publisher = {IEEE Computer Society}, doi = {10.1109/MITP.2024.3518917}",bibbib
s0008,main.tex,"They use % different underlying properties---\citet{Fresz2024} use a list of % so-called 12 Co-properties of \citet{Nauta2022}, which they amend % with five additional procedural XAI properties, while \citet{Colmenarejo2025} use five desiderata they found within three publications % \cite{Chen2022,ChristophMolnar2022,Guidotti2019} and related works.","Fresz2024;Nauta2022;Colmenarejo2025;Chen2022,ChristophMolnar2022,Guidotti2019",2608.02699,Explainable AI for the EU Right to Explanation: A Systematic Review of the Law-XAI Translation Gap,Fresz2024Nauta2022Colmenarejo2025Chen2022ChristophMolnar2022Guidotti2019,6,6,How Should {AI} Decisions Be Explained? {R}equirements for Explanations from the Perspective of {E}uropean LawFrom Anecdotal Evidence to Quantitative Evaluation Methods: {A} Systematic Review on Evaluating Explainable {AI}How should an explanation be? {A} mapping of technical and legal desiderata of explanations for machine learning modelsWhat Makes a Good Explanation? {A} Harmonized View of Properties of ExplanationsInterpretable Machine Learning: {A} Guide for Making Black Box Models ExplainableA Survey of Methods for Explaining Black Box Models,"Fresz, Benjamin and Dubovitskaya, Elena and Brajovic, Danilo and Huber, Marco F. and Horz, ChristianNauta, Meike and Trienes, Jan and Pathak, Shreyasi and Nguyen, Elisa and Peters, Michelle and Schmitt, Yasmin and Schl\""{o}tterer, J\""{o}rg and {van Keulen}, Maurice and Seifert, ChristinColmenarejo, Alejandra Bringas and State, Laura and Comand\`{e}, GiovanniChen, Zixi and Subhash, Varshini and Havasi, Marton and Pan, Weiwei and Doshi-Velez, FinaleMolnar, ChristophGuidotti, Riccardo and Monreale, Anna and Ruggieri, Salvatore and Turini, Franco and Giannotti, Fosca and Pedreschi, Dino",202420222025202220192019,,"Fresz2024, author = {Fresz, Benjamin and Dubovitskaya, Elena and Brajovic, Danilo and Huber, Marco F. and Horz, Christian}, year = {2024}, title = {How Should {AI} Decisions Be Explained? {R}equirements for Explanations from the Perspective of {E}uropean Law}, booktitle = {Proceedings of the {AAAI/ACM} Conference on AI, Ethics, and Society}, volume = {7}, pages = {438--450}, doi = {10.1609/aies.v7i1.31648}Nauta2022, author = {Nauta, Meike and Trienes, Jan and Pathak, Shreyasi and Nguyen, Elisa and Peters, Michelle and Schmitt, Yasmin and Schl\""{o}tterer, J\""{o}rg and {van Keulen}, Maurice and Seifert, Christin}, year = {2022}, title = {From Anecdotal Evidence to Quantitative Evaluation Methods: {A} Systematic Review on Evaluating Explainable {AI}}, eprint={2201.08164}, archivePrefix={arXiv}, url = {http://arxiv.org/pdf/2201.08164}Colmenarejo2025, author = {Colmenarejo, Alejandra Bringas and State, Laura and Comand\`{e}, Giovanni}, year = {2025}, title = {How should an explanation be? {A} mapping of technical and legal desiderata of explanations for machine learning models}, journal = {International Review of Law, Computers \& Technology}, pages = {1--32}, publisher = {Routledge}, doi = {10.1080/13600869.2025.2497633}Chen2022, author = {Chen, Zixi and Subhash, Varshini and Havasi, Marton and Pan, Weiwei and Doshi-Velez, Finale}, year = {2022}, title = {What Makes a Good Explanation? {A} Harmonized View of Properties of Explanations}, eprint={2211.05667}, archivePrefix={arXiv}, doi = {10.48550/ARXIV.2211.05667}ChristophMolnar2022, author = {Molnar, Christoph}, year = {2019}, title = {Interpretable Machine Learning: {A} Guide for Making Black Box Models Explainable}, edition = {2nd}, url = {https://christophm.github.io/interpretable-ml-book}Guidotti2019, author = {Guidotti, Riccardo and Monreale, Anna and Ruggieri, Salvatore and Turini, Franco and Giannotti, Fosca and Pedreschi, Dino}, year = {2019}, title = {A Survey of Methods for Explaining Black Box Models}, journal = {{ACM} Computing Surveys}, volume = {51}, number = {5}, pages = {1--42}, doi = {10.1145/3236009}",bibbibbibbibbibbib
s0009,main.tex,"While \citet{Sapienza} categorize by addressee type and \citet{Fresz2024} distinguish by legal purpose, neither treats these as independently necessary legal dimensions anchored in distinct provisions---a structure our framework makes explicit.",Sapienza;Fresz2024,2608.02699,Explainable AI for the EU Right to Explanation: A Systematic Review of the Law-XAI Translation Gap,SapienzaFresz2024,2,2,Algorithmic Knowability: A Unified Approach to Explanations in the AI ActHow Should {AI} Decisions Be Explained? {R}equirements for Explanations from the Perspective of {E}uropean Law,"Sapienza, Salvatore and Palmirani, MonicaFresz, Benjamin and Dubovitskaya, Elena and Brajovic, Danilo and Huber, Marco F. and Horz, Christian",20262024,,"Sapienza, author=""Sapienza, Salvatore and Palmirani, Monica"", editor=""Guidotti, Riccardo and Schmid, Ute and Longo, Luca"", title=""Algorithmic Knowability: A Unified Approach to Explanations in the AI Act"", booktitle=""Explainable Artificial Intelligence"", year=""2026"", publisher=""Springer Nature Switzerland"", address=""Cham"", pages=""185--209"", isbn=""978-3-032-08317-3""Fresz2024, author = {Fresz, Benjamin and Dubovitskaya, Elena and Brajovic, Danilo and Huber, Marco F. and Horz, Christian}, year = {2024}, title = {How Should {AI} Decisions Be Explained? {R}equirements for Explanations from the Perspective of {E}uropean Law}, booktitle = {Proceedings of the {AAAI/ACM} Conference on AI, Ethics, and Society}, volume = {7}, pages = {438--450}, doi = {10.1609/aies.v7i1.31648}",bibbib
s0011,main.tex,"% While \citet{Sapienza} categorize by addressee type and \citet{Fresz2024} distinguish by legal purpose, neither treats these as independently necessary legal dimensions anchored in distinct provisions---a structure the present framework makes explicit.",Sapienza;Fresz2024,2608.02699,Explainable AI for the EU Right to Explanation: A Systematic Review of the Law-XAI Translation Gap,SapienzaFresz2024,2,2,Algorithmic Knowability: A Unified Approach to Explanations in the AI ActHow Should {AI} Decisions Be Explained? {R}equirements for Explanations from the Perspective of {E}uropean Law,"Sapienza, Salvatore and Palmirani, MonicaFresz, Benjamin and Dubovitskaya, Elena and Brajovic, Danilo and Huber, Marco F. and Horz, Christian",20262024,,"Sapienza, author=""Sapienza, Salvatore and Palmirani, Monica"", editor=""Guidotti, Riccardo and Schmid, Ute and Longo, Luca"", title=""Algorithmic Knowability: A Unified Approach to Explanations in the AI Act"", booktitle=""Explainable Artificial Intelligence"", year=""2026"", publisher=""Springer Nature Switzerland"", address=""Cham"", pages=""185--209"", isbn=""978-3-032-08317-3""Fresz2024, author = {Fresz, Benjamin and Dubovitskaya, Elena and Brajovic, Danilo and Huber, Marco F. and Horz, Christian}, year = {2024}, title = {How Should {AI} Decisions Be Explained? {R}equirements for Explanations from the Perspective of {E}uropean Law}, booktitle = {Proceedings of the {AAAI/ACM} Conference on AI, Ethics, and Society}, volume = {7}, pages = {438--450}, doi = {10.1609/aies.v7i1.31648}",bibbib
s0016,parts_03_state_taxonomy.tex,"CarMem narrows the type usefully by bounding semantic facts to declared categories, letting it sharply cut redundant and contradictory stored preferences through scheduled maintenance \citep{kirmayr2025carmem}, and surveys of personalized LLM agents codify the requirement that such facts persist coherently across sessions \citep{xu2026personalizedllmpoweredagentsfoundations}.",kirmayr2025carmem;xu2026personalizedllmpoweredagentsfoundations,2606.30306,"Always-OnAgents:A Survey of Persistent Memory, State, and Governance in LLMAgents",kirmayr2025carmemxu2026personalizedllmpoweredagentsfoundations,2,2,"Carmem: Enhancing long-term memory in llm voice assistants through category-bounding, 2025.Toward personalized llm-powered agents: Foundations, evaluation, and future directions, 2026{\natexlab{d}}.",,,,"Johannes Kirmayr, Lukas Stappen, Phillip Schneider, Florian Matthes, and Elisabeth Andre. Carmem: Enhancing long-term memory in llm voice assistants through category-bounding, 2025.Yue Xu, Qian Chen, Zizhan Ma, Dongrui Liu, Wenxuan Wang, Xiting Wang, Li Xiong, and Wenjie Wang. Toward personalized llm-powered agents: Foundations, evaluation, and future directions, 2026{\natexlab{d}}. URL \url{https://arxiv.org/abs/2602.22680}.",bblbbl
s0017,parts_04_lifecycle.tex,"MemoryArena evaluates memory across interdependent multi-session tasks, where earlier actions and feedback should change later retrievals, with separate metrics for recall, induction, and contextual grounding \citep{he2026memoryarena}; incremental multi-turn evaluations decompose retrieval competence into distinct skills \citep{hu2026evaluatingmemoryllmagents}; and benchmarks of fine-grained relational discrimination test whether agents can tell complementary, nuanced, and contradictory memories",he2026memoryarena;hu2026evaluatingmemoryllmagents;wang2026subtlememory,2606.30306,"Always-OnAgents:A Survey of Persistent Memory, State, and Governance in LLMAgents",he2026memoryarenahu2026evaluatingmemoryllmagentswang2026subtlememory,3,3,"Memoryarena: Benchmarking agent memory in interdependent multi-session agentic tasks, 2026.Evaluating memory in llm agents via incremental multi-turn interactions, 2025{\natexlab{b}}.Subtlememory: A benchmark for fine-grained relational memory discrimination in long-horizon ai agents, 2026{\natexlab{e}}.",,,,"Zexue He, Yu Wang, Churan Zhi, Yuanzhe Hu, Tzu-Ping Chen, Lang Yin, Ze Chen, Tong Arthur Wu, Siru Ouyang, Zihan Wang, Jiaxin Pei, Julian McAuley, Yejin Choi, and Alex Pentland. Memoryarena: Benchmarking agent memory in interdependent multi-session agentic tasks, 2026.Yuanzhe Hu, Yu Wang, and Julian McAuley. Evaluating memory in llm agents via incremental multi-turn interactions, 2025{\natexlab{b}}. URL \url{https://arxiv.org/abs/2507.05257}.Wenxuan Wang, Haoyu Sun, Fukuan Hou, Mingyang Song, Weinan Zhang, Yu Cheng, and Yang Yang. Subtlememory: A benchmark for fine-grained relational memory discrimination in long-horizon ai agents, 2026{\natexlab{e}}.",bblbblbbl
s0018,parts_06_mechanisms.tex,"A co-forgetting protocol combines semantic-relevance voting and multi-scale temporal decay ratified by Byzantine consensus so that shared-memory pruning is safe under disagreement \citep{bach2025coforgetting}, and a phylogenetic version-control scheme coordinates decentralized agents through an asynchronous shared repository with humans promoting and pruning branches as a selection signal \citep{huang2025evogit}.",bach2025coforgetting;huang2025evogit,2606.30306,"Always-OnAgents:A Survey of Persistent Memory, State, and Governance in LLMAgents",bach2025coforgettinghuang2025evogit,2,2,"Pbft-backed semantic voting for multi-agent memory pruning, 2025.Evogit: Decentralized code evolution via git-based multi-agent collaboration, 2025{\natexlab{a}}.",,,,"Duong Bach. Pbft-backed semantic voting for multi-agent memory pruning, 2025.Beichen Huang, Ran Cheng, and Kay Chen Tan. Evogit: Decentralized code evolution via git-based multi-agent collaboration, 2025{\natexlab{a}}.",bblbbl
s0020,parts_11_frontiers.tex,"From classical knowledge representation comes belief revision: \citet{park2026kumiho} builds a graph-native versioned memory whose update and contraction operations are proven to satisfy the AGM and Hansson belief-base postulates, importing rationality guarantees that the heuristic consolidation literature lacks entirely, and \citet{wang2026toki} recasts contradiction resolution as write-time concurrency control with a bitemporal operator algebra and four soundness theorems, giving the both-trut",park2026kumiho;wang2026toki,2606.30306,"Always-OnAgents:A Survey of Persistent Memory, State, and Governance in LLMAgents",park2026kumihowang2026toki,2,2,"Graph-native cognitive memory for ai agents: Formal belief revision semantics for versioned memory architectures, 2026.Toki: A bitemporal operator algebra for contradiction resolution in llm-agent persistent memory, 2026{\natexlab{b}}.",,,,"Young Bin Park. Graph-native cognitive memory for ai agents: Formal belief revision semantics for versioned memory architectures, 2026.Ziming Wang. Toki: A bitemporal operator algebra for contradiction resolution in llm-agent persistent memory, 2026{\natexlab{b}}.",bblbbl
s0023,sec_verification.tex,"Evidence-synthesis and claim-verification agents make auditing the agent's own product the central object, judging systematic-review quality \citep{mushtaq2025can}, classifying support/contradict against retrieved literature with feature-level explanations \citep{liang2025explainab}, surveying where synthesis can and cannot be trusted \citep{li2025transform, polzak2025can}, and gating hypotheses through multi-tier plausibility evaluators \citep{song2025llm}.","mushtaq2025can;liang2025explainab;li2025transform, polzak2025can;song2025llm",2608.05179,Autonomous Research Agents: A Survey of AI Scientists and the Verification Gap,mushtaq2025canliang2025explainabli2025transformpolzak2025cansong2025llm,5,5,{Can Agents Judge Systematic Reviews Like Humans? Evaluating SLRs with LLM-based Multi-Agent System}{Explainable Biomedical Claim Verification with Large Language Models}{Transforming Evidence Synthesis: A Systematic Review of the Evolution of Automated Meta-Analysis in the Age of AI}{Can Large Language Models Match the Conclusions of Systematic Reviews?}{LLM Agent Swarm for Hypothesis-Driven Drug Discovery},"Mushtaq, Abdullah and Naeem, Muhammad Rafay and Ghaznavi, Ibrahim and Abd-alrazaq, Alaa and Tabassum, Aliya and Qadir, JunaidLiang, Siting and Sonntag, DanielLi, Lingbo and Mathrani, Anuradha and Susnjak, TeoPolzak, Christopher and Lozano, Alejandro and Sun, Min Woo and Burgess, James and Zhang, Yuhui and Wu, Kevin and Yeung-Levy, SerenaSong, Kevin and Trotter, Andrew and Chen, Jake Y.",20252025202520252025,,"mushtaq2025can, title = {{Can Agents Judge Systematic Reviews Like Humans? Evaluating SLRs with LLM-based Multi-Agent System}}, author = {Mushtaq, Abdullah and Naeem, Muhammad Rafay and Ghaznavi, Ibrahim and Abd-alrazaq, Alaa and Tabassum, Aliya and Qadir, Junaid}, journal = {arXiv preprint arXiv:2509.17240}, year = {2025}liang2025explainab, title = {{Explainable Biomedical Claim Verification with Large Language Models}}, author = {Liang, Siting and Sonntag, Daniel}, journal = {arXiv preprint arXiv:2502.21014}, year = {2025}li2025transform, title = {{Transforming Evidence Synthesis: A Systematic Review of the Evolution of Automated Meta-Analysis in the Age of AI}}, author = {Li, Lingbo and Mathrani, Anuradha and Susnjak, Teo}, journal = {arXiv preprint arXiv:2504.20113}, year = {2025}polzak2025can, title = {{Can Large Language Models Match the Conclusions of Systematic Reviews?}}, author = {Polzak, Christopher and Lozano, Alejandro and Sun, Min Woo and Burgess, James and Zhang, Yuhui and Wu, Kevin and Yeung-Levy, Serena}, journal = {arXiv preprint arXiv:2505.22787}, year = {2025}song2025llm, title = {{LLM Agent Swarm for Hypothesis-Driven Drug Discovery}}, author = {Song, Kevin and Trotter, Andrew and Chen, Jake Y.}, journal = {arXiv preprint arXiv:2504.17967}, year = {2025}",bibbibbibbibbib
