arxiv_id,title,published
2609.09076,ActReview: Rebuttal-Guided Training Data and Rubric Rewards for Actionable Peer Review Generation,2026-09-08
2609.07095,Risk Is Not Review Value: Wrong-Answer Exposure Under Bounded Review Budgets,2026-09-07
2609.0427,"Reviewer Capability Governs Rejection Targeting, Not Repair Skill: Evidence from LLM Execute-Review-Revise Pipelines",2026-09-02
1412.5335,Ensemble of Generative and Discriminative Techniques for Sentiment Analysis of Movie Reviews,2014-12-17
1409.3942,Polarity detection movie reviews in hindi language,2014-09-13
1408.3829,Opinion mining of movie reviews at document level,2014-08-17
1406.3714,Mining of product reviews at aspect level,2014-06-14
1404.1982,Aspect-Based Opinion Extraction from Customer reviews,2014-04-08
1211.4929,Summarizing Reviews with Variable-length Syntactic Patterns and Topic Models,2012-11-21
1211.4161,Semantic Polarity of Adjectival Predicates in Online Reviews,2012-11-17
1210.5581,Hidden Trends in 90 Years of Harvard Business Review,2012-10-20
1210.3926,Learning Attitudes and Attributes from Multi-Aspect Reviews,2012-10-15
1209.2352,Feature Specific Sentiment Analysis for Product Reviews,2012-09-11
1204.2804,Estimating the Prevalence of Deception in Online Review Communities,2012-04-12
1110.1428,Product Review Summarization based on Facet Identification and Sentence Clustering,2011-10-07
