pair_id,label_A_5way,label_A_3way,label_B_5way,label_B_3way
r7_000,type4_apparent_contextual,Apparent,type4_apparent_contextual,Apparent
r7_003,type4_apparent_contextual,Apparent,type4_apparent_contextual,Apparent
r7_004,type1_direct_negation,Contradiction,type1_direct_negation,Contradiction
r7_005,type3_causal_conflict,Contradiction,type1_direct_negation,Contradiction
r8_000,type4_apparent_contextual,Apparent,type4_apparent_contextual,Apparent
r9_000,type1_direct_negation,Contradiction,type1_direct_negation,Contradiction
r9_001,type1_direct_negation,Contradiction,type1_direct_negation,Contradiction
r9_002,type1_direct_negation,Contradiction,type1_direct_negation,Contradiction
r9_003,type4_apparent_contextual,Apparent,not_contradiction,NotContradiction
r9_004,not_contradiction,NotContradiction,not_contradiction,NotContradiction
r9_005,type1_direct_negation,Contradiction,type1_direct_negation,Contradiction
r9_006,type1_direct_negation,Contradiction,not_contradiction,NotContradiction
r9_007,type1_direct_negation,Contradiction,type1_direct_negation,Contradiction
r9_008,type4_apparent_contextual,Apparent,type4_apparent_contextual,Apparent
r9_009,type4_apparent_contextual,Apparent,type4_apparent_contextual,Apparent
r9_010,not_contradiction,NotContradiction,not_contradiction,NotContradiction
r9_011,type1_direct_negation,Contradiction,type1_direct_negation,Contradiction
r9_012,not_contradiction,NotContradiction,not_contradiction,NotContradiction
r9_013,type4_apparent_contextual,Apparent,not_contradiction,NotContradiction
r9_014,type1_direct_negation,Contradiction,type1_direct_negation,Contradiction
r9_015,not_contradiction,NotContradiction,not_contradiction,NotContradiction
r9_016,type4_apparent_contextual,Apparent,not_contradiction,NotContradiction
r9_017,type1_direct_negation,Contradiction,type1_direct_negation,Contradiction
r9_018,type4_apparent_contextual,Apparent,not_contradiction,NotContradiction
r9_019,type1_direct_negation,Contradiction,type1_direct_negation,Contradiction
r9_020,type4_apparent_contextual,Apparent,type4_apparent_contextual,Apparent
r9_021,type1_direct_negation,Contradiction,type1_direct_negation,Contradiction
r9_022,not_contradiction,NotContradiction,not_contradiction,NotContradiction
