round,method,pair_id,label_A,label_B,both_flag_contradiction,labels_agree
1,loose_tfidf_clustering,p000,not_contradiction,not_contradiction,False,True
1,loose_tfidf_clustering,p001,not_contradiction,not_contradiction,False,True
1,loose_tfidf_clustering,p002,not_contradiction,not_contradiction,False,True
1,loose_tfidf_clustering,p003,not_contradiction,not_contradiction,False,True
1,loose_tfidf_clustering,p004,not_contradiction,not_contradiction,False,True
1,loose_tfidf_clustering,p005,not_contradiction,not_contradiction,False,True
1,loose_tfidf_clustering,p006,not_contradiction,not_contradiction,False,True
1,loose_tfidf_clustering,p007,not_contradiction,not_contradiction,False,True
1,loose_tfidf_clustering,p008,not_contradiction,not_contradiction,False,True
1,loose_tfidf_clustering,p009,type4_apparent_contextual,type4_apparent_contextual,True,True
1,loose_tfidf_clustering,p010,not_contradiction,not_contradiction,False,True
1,loose_tfidf_clustering,p011,not_contradiction,not_contradiction,False,True
1,loose_tfidf_clustering,p012,not_contradiction,not_contradiction,False,True
1,loose_tfidf_clustering,p013,not_contradiction,not_contradiction,False,True
1,loose_tfidf_clustering,p014,not_contradiction,not_contradiction,False,True
1,loose_tfidf_clustering,p015,not_contradiction,not_contradiction,False,True
1,loose_tfidf_clustering,p016,not_contradiction,not_contradiction,False,True
1,loose_tfidf_clustering,p017,not_contradiction,not_contradiction,False,True
1,loose_tfidf_clustering,p018,not_contradiction,not_contradiction,False,True
1,loose_tfidf_clustering,p019,not_contradiction,not_contradiction,False,True
1,loose_tfidf_clustering,p020,not_contradiction,not_contradiction,False,True
1,loose_tfidf_clustering,p021,type4_apparent_contextual,not_contradiction,False,False
1,loose_tfidf_clustering,p022,not_contradiction,not_contradiction,False,True
1,loose_tfidf_clustering,p023,not_contradiction,not_contradiction,False,True
1,loose_tfidf_clustering,p024,not_contradiction,not_contradiction,False,True
1,loose_tfidf_clustering,p025,not_contradiction,not_contradiction,False,True
1,loose_tfidf_clustering,p026,not_contradiction,not_contradiction,False,True
1,loose_tfidf_clustering,p027,not_contradiction,not_contradiction,False,True
1,loose_tfidf_clustering,p028,not_contradiction,not_contradiction,False,True
1,loose_tfidf_clustering,p029,not_contradiction,not_contradiction,False,True
1,loose_tfidf_clustering,p030,not_contradiction,not_contradiction,False,True
1,loose_tfidf_clustering,p031,not_contradiction,not_contradiction,False,True
1,loose_tfidf_clustering,p032,not_contradiction,not_contradiction,False,True
1,loose_tfidf_clustering,p033,not_contradiction,not_contradiction,False,True
