file,sentence,cited_keys,survey_arxiv_id,survey_title
arxiv_v2.tex,"The problem is formulated by minimizing the \textit{Dirichlet energy}, expressed as \begin{equation} \frac{1}{2} \,\Pi(t)^{\top} L \Pi(t) \;=\; \sum_{i \in \mathcal{K}} \sum_{j \in \mathcal{N}(i)} \big(\pi_i(t) - \pi_j(t)\big)^2, \label{eq:energy} \end{equation} which quantifies the quadratic disagreement between neighboring nodes, where $L$ is the graph Laplacian~\citep{mohar1991laplacian} and $\mathcal{N}(i)$ denotes the neighbors of node $i$ in the mesh network.",mohar1991laplacian,2609.02984,From Euclidean to Graph-Structured Data: A Survey of Collaborative Learning
arxiv_v2.tex,It increases the communication requirements and contradicts the efforts for privacy-preserving FL \citep{ngyen2022fed}.,ngyen2022fed,2609.02984,From Euclidean to Graph-Structured Data: A Survey of Collaborative Learning
main.tex,Static analyzers are valuable validators but imperfect ground truth; human-validated comparison has exposed substantial per-sample disagreement between analyzer reports and actual security labels \cite{firouzi2026persistent}.,firouzi2026persistent,2608.21107,Large Language Models at the Intersection of Software Engineering and Software Security:An Evidence-Centered Structured Survey and Research Agenda
appendix.tex,"& B \\ \cite{kumar2023EstimatingRemainingUseful} & Contrary to the claim of proposing a novel approach, ""which integrates machine learning techniques with electrochemical modeling,"" the implemented method is a conventional neural network, reflecting standard deep learning (see Sec.~2/4).",kumar2023EstimatingRemainingUseful,2608.10047,Physics-Informed Machine Learning in Prognostics and Health Management: A Systematic Literature Review
main.tex,"Such methods can provide differing explanations of the same model and decision, which is known as the ``disagreement problem'' in XAI \cite{Krishna2022}.",Krishna2022,2608.02699,Explainable AI for the EU Right to Explanation: A Systematic Review of the Law-XAI Translation Gap
main.tex,"%Multiple post-hoc methods with different theoretical foundations may yield conflicting explanations of the same model and decision, also known as the ``disagreement problem'' \cite{Krishna2022}.",Krishna2022,2608.02699,Explainable AI for the EU Right to Explanation: A Systematic Review of the Law-XAI Translation Gap
main.tex,"\citet{Fresz2024} draw on the Co-12-properties from \citet{Nauta2022} augmented by five process-properties, while \citet{Colmenarejo2025} derive five desiderata from three technical publications \cite{Chen2022,ChristophMolnar2022,Guidotti2019} and related works.","Fresz2024;Nauta2022;Colmenarejo2025;Chen2022,ChristophMolnar2022,Guidotti2019",2608.02699,Explainable AI for the EU Right to Explanation: A Systematic Review of the Law-XAI Translation Gap
main.tex,Papers mainly addressing LLMs broadly characterize LIME and SHAP as sufficient for non-LLM models \cite{Feretzakis2025} or at least for provider-deployer relationships \cite{Gorski2025}---a claim directly contradicted by the Addressee/Purpose Framework (Section~\ref{sec:framework}).,Feretzakis2025;Gorski2025,2608.02699,Explainable AI for the EU Right to Explanation: A Systematic Review of the Law-XAI Translation Gap
main.tex,"Such methods can provide differing explanations of the same model and decision, which is known as the ``disagreement problem'' in XAI \cite{Krishna2022}.",Krishna2022,2608.02699,Explainable AI for the EU Right to Explanation: A Systematic Review of the Law-XAI Translation Gap
main.tex,"They use % different underlying properties---\citet{Fresz2024} use a list of % so-called 12 Co-properties of \citet{Nauta2022}, which they amend % with five additional procedural XAI properties, while \citet{Colmenarejo2025} use five desiderata they found within three publications % \cite{Chen2022,ChristophMolnar2022,Guidotti2019} and related works.","Fresz2024;Nauta2022;Colmenarejo2025;Chen2022,ChristophMolnar2022,Guidotti2019",2608.02699,Explainable AI for the EU Right to Explanation: A Systematic Review of the Law-XAI Translation Gap
