sentence_id,status,skip_reason,topic,hypothesis_a,source_a,hypothesis_b,source_b
s0003,skipped,not_genuine_contrast,,,,,
s0006,skipped,not_genuine_contrast,,,,,
s0007,skipped,not_genuine_contrast,,,,,
s0010,skipped,not_genuine_contrast,,,,,
s0013,skipped,not_genuine_contrast,,,,,
s0017,skipped,same_finding_different_wording,,,,,
s0019,skipped,not_genuine_contrast,,,,,
s0022,skipped,not_genuine_contrast,,,,,
s0023,skipped,not_genuine_contrast,,,,,
s0027,skipped,not_genuine_contrast,,,,,
s0029,skipped,not_genuine_contrast,,,,,
s0030,skipped,not_genuine_contrast,,,,,
s0031,skipped,not_genuine_contrast,,,,,
s0033,pair_created,,Deriving concepts for interpretability,"Concepts used to explain a model's decisions should be manually pre-defined by the user (e.g., as concept activation vectors in TCAV-style testing), rather than discovered automatically from the model itself.",pytorchcaptum2022,Interpretable abstractions can instead be learned automatically by analyzing individual neurons' activation patterns and composing logical concepts from them; doing so reveals that many neurons actually encode shallow lexical heuristics inherited from dataset biases rather than the clean concepts assumed by manual definitions.,mu_compositional_2021
s0035,skipped,not_genuine_contrast,,,,,
s0037,skipped,insufficient_context,,,,,
s0038,skipped,not_genuine_contrast,,,,,
s0039,pair_created,,Narrative and causality (cognitive vs textual),"Event causality is a key cognitive faculty underlying narrative sense-making, i.e., narrative understanding is fundamentally grounded in identifying causal relations between events.",sun-etal-2024-event,"Narrative constitutes a distinct 'narrative mode' of thought that is separate from the 'Paradigmatic/Logico-Scientific Mode' responsible for causal explanation, so narrative sense-making should not be reduced to a causal-reasoning process.",bruner1991narrative
s0040,skipped,insufficient_context,,,,,
s0043,skipped,not_genuine_contrast,,,,,
s0044,pair_created,,Narrative causality: text vs cognitive process,"The proper object of study for narrative causality is the narrative text itself, i.e., causality is a structural property of the narrative discourse/form.",todorov19712,"The proper object of study for narrative causality is the cognitive process of the reader constructing the narrative, i.e., causality is a property of mental representation/comprehension rather than of the text structure.",trabasso1985causal
s0047,skipped,not_genuine_contrast,,,,,
s0050,skipped,not_genuine_contrast,,,,,
s0052,skipped,not_genuine_contrast,,,,,
s0053,skipped,not_genuine_contrast,,,,,
s0059,skipped,not_genuine_contrast,,,,,
s0060,skipped,insufficient_context,,,,,
s0063,skipped,not_genuine_contrast,,,,,
s0068,skipped,not_genuine_contrast,,,,,
s0072,skipped,not_genuine_contrast,,,,,
