arxiv_id,title
2102.07259,Thank you for Attention: A survey on Attention-based Artificial Neural Networks for Automatic Speech Recognition
1705.03865,Survey of Visual Question Answering: Datasets and Techniques
2506.05399,Attention-based transformer models for image captioning across languages: An in-depth survey and evaluation
2507.19595,Efficient Attention Mechanisms for Large Language Models: A Survey
2405.08603,A Comprehensive Survey of Large Language Models and Multimodal Large Language Models in Medicine
2208.10099,Recent Advances in Text-to-SQL: A Survey of What We Have and What We Expect
1811.05544,An Introductory Survey on Attention Mechanisms in NLP Problems
1905.08110,Image Captioning based on Deep Learning Methods: A Survey
1703.09902,"Survey of the State of the Art in Natural Language Generation: Core tasks, applications and evaluation"
2507.13334,A Survey of Context Engineering for Large Language Models
2503.17407,A Comprehensive Survey on Long Context Language Modeling
2401.07872,"The What, Why, and How of Context Length Extension Techniques in Large Language Models -- A Detailed Survey"
2412.15831,Enriching Social Science Research via Survey Item Linking
2502.12378,"Pragmatics in the Era of Large Language Models: A Survey on Datasets, Evaluation, Opportunities and Challenges"
2205.08740,A reproducible experimental survey on biomedical sentence similarity: a string-based method sets the state of the art
2410.20238,A Survey of Large Language Models for Arabic Language and its Dialects
2510.13430,"Evaluating Arabic Large Language Models: A Survey of Benchmarks, Methods, and Gaps"
2306.16900,Surveying (Dis)Parities and Concerns of Compute Hungry NLP Research
2402.01799,Faster and Lighter LLMs: A Survey on Current Challenges and Way Forward
2606.11470,"The Periodic Table of LLM Reasoning: A Structured Survey of Reasoning Paradigms, Methods, and Failure Modes"
2210.07566,A Survey of Parameters Associated with the Quality of Benchmarks in NLP
2606.30219,EvalSafetyGap: A Hybrid Survey and Conceptual Framework for LLM Evaluation-Safety Failures
2306.12719,Natural Language Generation for Advertising: A Survey
2401.05632,Natural Language Processing for Dialects of a Language: A Survey
2604.18423,"BhashaSutra: A Task-Centric Unified Survey of Indian NLP Datasets, Corpora, and Resources"
2502.09457,A Survey of Multilingual Reasoning in Language Models
2410.20161,Causal Abstraction in Model Interpretability: A Compact Survey
2503.09326,A Survey on Enhancing Causal Reasoning Ability of Large Language Models
2109.08120,A Survey of Online Hate Speech through the Causal Lens
2101.06426,A Survey on Extraction of Causal Relations from Natural Language Text
1605.07895,Automatic Extraction of Causal Relations from Natural Language Texts: A Comprehensive Survey
2412.01265,Indexing Economic Fluctuation Narratives from Keiki Watchers Survey
2411.10371,"A Survey of Event Causality Identification: Taxonomy, Challenges, Assessment, and Prospects"
2408.16444,SurveySum: A Dataset for Summarizing Multiple Scientific Articles into a Survey Section
2205.10977,What should I Ask: A Knowledge-driven Approach for Follow-up Questions Generation in Conversational Surveys
2402.18041,Datasets for Large Language Models: A Comprehensive Survey
2312.07622,Mathematical Language Models: A Survey
2310.06260,An experiment on an automated literature survey of data-driven speech enhancement methods
