file,sentence,cited_keys,survey_arxiv_id,survey_title,sentence_id,drop_reason
hanmeng-yue-2024-da.pdf,类比推理: 基于已知相似情况间的比较，类比推理涉及从一个实例到另一个实例的推断。 它通常用于解决问题和创造性思考，通过寻找不同情境之间的相似性来推导结论。例如， 如果知道行星绕太阳运行的轨迹是椭圆形，类比推理可以帮助人们推测其他天体可能也呈 现相似的轨道特征。 2.2 发展历程 对逻辑推理的研究可以追溯到古希腊时期，亚里士多德（Aristotle）被认为是逻辑学之 父。他提出了著名的三段论，奠定了古典逻辑的基础，至今仍对逻辑推理有着深远的影响。进 入中世纪，逻辑学得到了进一步的发展。学者们开始对亚里士多德的逻辑进行更深入的分析和 发展，为逻辑学的深化和完善做出了重要贡献。 17世纪，莱布尼茨（Leibniz）的工作标志着逻辑学开始与数学和哲学结合，为后来的形 式逻辑和数理逻辑奠定了基础。他的普遍语言（universal language）和推理计算器（calculus ratiocinator）的概念，预示了逻辑与计算机科学的结合。19世纪，乔治·布尔（George Boole） 发展了布尔代数，将逻辑表达为代数形式，这是数理逻辑的重要里程碑。布尔代数不仅为逻辑 提供了一种新的数学表述,"McCarthy, 1978;McDermott and Doyle, 1980;Kowalski, 1974;Lenat, 1995;Yang et al., 2017;Selsam et al., 2018;Cingillioglu and Russo, 2019;Wang et al., 2019;Liu et al., 2023a;Yu et al., 2020;Wang et al., 2022;Sinha et al., 2019;Liu et al., 2021;Han et al., 2022;Tian et al., 2021;Clark et al., 2020;Parmar et al., 2023;Luo et al., 2024;Helwe et al., 2022;Del and Fishel, 2023;Haugeland, 1989",hanmeng-yue-2024-da,大模型逻辑推理研究综述(Survey on Logical Reasoning of Large Pre-trained Language Models),s0004,too_many_citations
ocampo-diaz-ng-2018-modeling.pdf,"Review length has been shown multiple times to be strongly (positively) correlated to helpfulness (Kim et al., 2006; Liu et al., 2007; Otterbacher, 2009; Mudambi and Schuff, 2010; Cao et al., 2011; Pan and Zhang, 2011; Yang et al., 2015; Bjering et al., 2015; Huang et al., 2015; Salehan and Kim, 2016) with only few researchers disagreeing on the existence of the correlation (Zhang and Varadarajan, 2006; Korﬁatis et al., 2012).","Kim et al., 2006;Liu et al., 2007;Otterbacher, 2009;Mudambi and Schuff, 2010;Cao et al., 2011;Pan and Zhang, 2011;Yang et al., 2015;Bjering et al., 2015;Huang et al., 2015;Salehan and Kim, 2016",ocampo-diaz-ng-2018-modeling,Modeling and Prediction of Online Product Review Helpfulness: A Survey,s0009,too_many_citations
robin-etal-2020-term.pdf,"In the Aspect Term Extraction sub task of SemEval 2014 Task 4 (Pontiki et al., 2014), despite the strict guidelines given for the task of manual creation of the gold standard, the authors acknowledge disagreements between the annotators on deciding the exact boundaries of the terms (whether to include conjunctions, some adjectives, etc.) Astrakhantsev (2018) and ˇSajatovi´c et al.","Pontiki et al., 2014;Astrakhantsev, 2018",robin-etal-2020-term,A Term Extraction Approach to Survey Analysis in Health Care,s0010,citation_unmatched
serban-etal-2018-survey.pdf,"The Agreement by Create Debaters Corpus (Rosenthal and McKeown, 2015), the Agreement in Wikipedia Talk Pages Corpus (Andreas et al., 2012) and the Internet Argument Corpus (Abbott et al., 2016) all cover dialogues with annotations measuring levels of agreement or disagreement in responses to posts in various media.","Rosenthal and McKeown, 2015;Andreas et al., 2012;Abbott et al., 2016",serban-etal-2018-survey,A Survey of Available Corpora For Building Data-Driven Dialogue Systems: The Journal Version,s0012,citation_unmatched
shi-etal-2024-medical.pdf,"In contrast to traditional fine-tuning meth2845 ods (Hu et al., 2023), prompt tuning only finetuning a very small set of parameters, thus effectively aligning LLMs to the medical domain (Nori et al., 2023).","Hu et al., 2023;Nori et al., 2023",shi-etal-2024-medical,"Medical Dialogue System: A Survey of Categories, Methods, Evaluation and Challenges",s0013,citation_ambiguous
yao-yu-2026-llm.pdf,"Specialist agents matter when the case requires domain-specific constraints or structured disagreement, such as rare disease, imaging, or multidisciplinary review (Kim et al., 2024; Chen et al., 2026; Rose et al., 2025).","Kim et al., 2024;Chen et al., 2026;Rose et al., 2025",yao-yu-2026-llm,{LLM}-Based Multi-Agent Systems for Clinical Workflows: A Survey of {AI} Hospitals,s0019,citation_unmatched
yao-yu-2026-llm.pdf,"It is the ability to localize responsibility, make specialty assumptions visible, and reconcile disagreement before the workflow moves on (Chen et al., 2025c; Liu et al., 2026; Yan et al., 2025a).","Chen et al., 2025c;Liu et al., 2026;Yan et al., 2025a",yao-yu-2026-llm,{LLM}-Based Multi-Agent Systems for Clinical Workflows: A Survey of {AI} Hospitals,s0020,citation_unmatched
yao-yu-2026-llm.pdf,"Multi-Round Interactive Debate delays commitment so that disagreement can be surfaced, compared, and resolved before the workflow moves on (Fan et al., 2025; Chen et al., 2025d; Kim et al., 2024; Tang et al., 2024; Smit et al., 2024; Lu et al., 2024; Swanson et al., 2025).","Fan et al., 2025;Chen et al., 2025d;Kim et al., 2024;Tang et al., 2024;Smit et al., 2024;Lu et al., 2024;Swanson et al., 2025",yao-yu-2026-llm,{LLM}-Based Multi-Agent Systems for Clinical Workflows: A Survey of {AI} Hospitals,s0021,too_many_citations
zerong-etal-2025-systematic.pdf,"The rest extend these label sets by adding labels such as partially supported (Li et al., 2024), Conflicting evidence/cherry-picking (Schlichtkrull et al., 2023), and Misleading (Braun et al., 2024).","Li et al., 2024;Schlichtkrull et al., 2023;Braun et al., 2024",zerong-etal-2025-systematic,"A Systematic Survey of Claim Verification: Corpora, Systems, and Case Studies",s0022,citation_ambiguous
zhang-etal-2026-datasets.pdf,"Dataset Year Multidoc Evalonly Label Domain Size Quality Control Source Table Understanding S2abEL (Lou et al., 2023) 2023 No No Human& Auto Computer Science 732 tables Annotator training with IAA; disagreement discussion; post-hoc expert audit arXiv; Papers with Code Wiki-TabNER (Koleva et al., 2024) 2024 No No Auto Multidomain 61K tables Automatic filtering of unlabeled tables Wikipedia AxCell (Kardas et al., 2020) 2020 No No Human Computer Science 1,400 tables — arXiv LEGOBench (Singh et al.,","Lou et al., 2023;Koleva et al., 2024;Kardas et al., 2020;Singh et al., 2024b;Zhang et al., 2025;Ghosh et al., 2024;Karishma et al., 2023",zhang-etal-2026-datasets,Datasets for Scientific Literature Understanding: A Survey,s0023,too_many_citations
