sentence_id,status,skip_reason,topic,hypothesis_a,source_a,hypothesis_b,source_b
s0003,skipped,"not_genuine_contrast: RAMKG, Unlimiformer, RPRR, and RIGHT are cited together as four joint examples illustrating abstractive summarization techniques (keyphrase generation, long-input handling, full-length generation, hashtag recommendation), not contrasted with each other. The actual contrast (""on the other hand"") is abstractive vs extractive summarization -- a general distinction, not a disagreement among these four cited works, which all belong to the same (abstractive) side.",,,,,
s0004,skipped,"not_genuine_contrast: huysmans2011empirical (comprehensibility of decision tables/trees/rules) and freitas2014comprehensible (advantages/disadvantages of predictive models) are listed as two parallel examples of ""other works"" studying different particular aspects of interpretability, not as two works making opposing claims about the same question.",,,,,
s0006,skipped,"not_genuine_contrast: baltrusaitis2018multimodal, zhang2020multimodal, and rahate2022multimodal are cited jointly as prior general-ML-model surveys, contrasted against the CURRENT survey's own Transformer-specific focus (not itself a cited_ref) -- the three cited works agree with each other (all general ML surveys), there is no disagreement among them.",,,,,
s0008,skipped,"not_genuine_contrast: jaderberg2019poprl, houthooft2018epg, and veeriah2019discovery are cited jointly as three examples of meta-RL methods illustrating one side of a general meta-RL-vs-meta-SL distinction; the meta-SL side of that contrast is not itself represented by a citation here, and the three cited works do not disagree with each other -- they jointly support the same claim about meta-RL.",,,,,
s0009,pair_created,,Scalability of gradient-based vs. classic hyperparameter-search meta-learning,"MAML (Finn et al., 2017), a gradient-based meta-learning method, demonstrates promising scalability to problems with millions of parameters.",finn2017maml,"Classic hyperparameter-optimization approaches such as random search (Bergstra and Bengio, 2012) are typically only successful in settings with far fewer parameters, in contrast to the scalability gradient-based meta-learning methods like MAML demonstrate.",bergstra2012randomsearchhyper
s0013,skipped,"not_genuine_contrast: OWM (zeng2019continual) and AOP (guo2022adaptive) are cited together as two works that AGREE on the same approach (modifying parameter updates to the orthogonal direction of the previous input space), jointly contrasted against a different, uncited approach (""saving old training samples"" / rehearsal methods) -- there is no disagreement between OWM and AOP themselves.",,,,,
s0016,skipped,"not_genuine_contrast: galley2015dbleu and Lowe2017AutoTuring are cited jointly in support of the same claim (BLEU is more competitive at corpus/system level than sentence level), not contrasted with each other. Both title/authors/year fields are empty and context gives only bare bibliographic citations, but the joint-support pattern is clear from the sentence structure regardless.",,,,,
s0022,skipped,"insufficient_context: the sentence is severely truncated -- ""Different from \cite{bh03,xlck07}, Jacob et al."" -- cutting off before any verb or actual claim about what Jacob et al. did differently. No confident hypothesis can be formulated from this fragment.",,,,,
s0023,pair_created,,Bayesian vs. regularized multi-task relationship learning,"Bonilla, Chai, and Williams (2007) propose a Bayesian multi-task Gaussian process model for multi-task learning.",bcw07,"Zhang and Yeung (2010) propose an alternative, non-Bayesian regularized multi-task model (MTRL) that places a matrix-variate normal prior on the task-relationship weight matrix, differing from the Bayesian Gaussian-process approach.",zy10b
s0024,skipped,"not_genuine_contrast: hl11/zh12 (multi-task multi-view classification) and zzl15b/zzll16 (multi-task multi-view clustering) are contrasted only by which TASK they study (classification vs. clustering) -- a topical/taxonomy distinction the survey draws between different problem settings, not a disagreement about a shared question.",,,,,
