file,sentence,cited_keys,survey_arxiv_id,survey_title
06.2_methods.tex,"While \citet{wang2022compilable} aims at employing compiler feedback to obtain erroneous code, CodeRL \cite{le2022coderl} empirically defines fixed reward values for different execution result types based on unit tests.",wang2022compilable;le2022coderl,2401.00812,"If LLM Is the Wizard, Then Code Is the Wand: A Survey on How Code Empowers Large Language Models to Serve as Intelligent Agents"
survey.tex,"The PersonageNLG dataset \cite{ramirez2023controlling} contains 88,855 restaurant recommendations, which vary by Big-5 personality traits, namely agreeable, disagreeable, conscientious, unconscientious, and extrovert.",ramirez2023controlling,2401.00609,"A Survey of Personality, Persona, and Profile in Conversational Agents and Chatbots"
TEMP.tex,"In contrast to absolute positional embeddings, Transformers equipped with relative positional embeddings showcase the capability to generalize to sequences surpassing the lengths encountered in training, demonstrating proficiency in extrapolation \cite{press2021train}.",press2021train,2312.17044,Length Extrapolation of Transformers: A Survey from the Perspective of Positional Encoding
Related.tex,"In contrast to framing bias, epistemological bias is rather subtle and implicit \cite{Recasens_2013}.",Recasens_2013,2312.16148,The Media Bias Taxonomy: A Systematic Literature Review on the Forms and Automated Detection of Media Bias
CS_method_old.tex,"In contrast to this, there are studies \citep{GargE3635, sweeney-najafian-2019-transparent} which claim that word embeddings are trained using corpora containing bias in them hence, these word embeddings reflect their bias in the language models using the embeddings and in turn are biased.","GargE3635, sweeney-najafian-2019-transparent",2312.16148,The Media Bias Taxonomy: A Systematic Literature Review on the Forms and Automated Detection of Media Bias
CS_method_old.tex,"These models often are trained using large sets of data acquired from different sources, there is a possibility that these data may contain stereotyped biased knowledge and generate biased language models hence, the authors of} \citep{garrido2021survey} \hl{argue that 'fairness' to be considered when developing such models.} %TODO Smi here %However in contrast to these approaches, a literature survey \citep{blodgett2020language}\hl{ conducted on 146 papers analyzing 'bias' in general including m",garrido2021survey;blodgett2020language,2312.16148,The Media Bias Taxonomy: A Systematic Literature Review on the Forms and Automated Detection of Media Bias
main.tex,"\citeA{duggenpudi-etal-2019-samvaadhana} combine correctness and relevancy by asking users to rate the system output using the question/description `How relevant/correct is the answer retrieved.' In contrast to combining it with relevancy, \citeA{Bansal2021neural} actually contrast accurate responses to relevancy: `The response is accurate, even if it is not relevant to my question.' A different approach is taken by \citeA{nuruzzaman2020intellibot}, who ask participants to rank utterances by dif",duggenpudi-etal-2019-samvaadhana;Bansal2021neural;nuruzzaman2020intellibot,2312.13871,"Evaluating Task-oriented Dialogue Systems: A Systematic Review of Measures, Constructs and their Operationalisations"
Q-star.tex,"Advanced algorithms and multimodal attention mechanisms are needed to balance attention across different input media and resolve conflicts between modalities, especially when they provide contradictory information \cite{qiao2022initial,stewart2021multimodal,zhang2020multimodal}.","qiao2022initial,stewart2021multimodal,zhang2020multimodal",2312.10868,From Google Gemini to OpenAI Q* (Q-Star): A Survey of Reshaping the Generative Artificial Intelligence (AI) Research Landscape
3.7-tasks_embodied.tex,"In contrast to the aforementioned studies, \citet{nascimento2023selfadaptive} propose the integration of LLMs, such as GPT-based technologies, into multi-agent systems (MASs).",nascimento2023selfadaptive,2312.11562,A Survey of Reasoning with Foundation Models
1-introduction.tex,"Right: Overview of the reasoning techniques for foundation models, as detailed in Section~\ref{sec:technique}.} \label{fig:intro_overview} \end{figure} In contrast to current surveys that have primarily focused on specific aspects of foundation models, such as prompts~\citep{qiao2022reasoning}, hallucination ~\citep{rawte2023survey}, deductive reasoning~\citep{huang2022towards}, logical reasoning~\citep{friedman2023large,yang2023logical}, causal reasoning~\citep{kiciman2023causal, stolfo2022caus","qiao2022reasoning;rawte2023survey;huang2022towards;friedman2023large,yang2023logical;kiciman2023causal, stolfo2022causal;qiu2023large;xi2023rise",2312.11562,A Survey of Reasoning with Foundation Models
