file,sentence,cited_keys,survey_arxiv_id,survey_title,sentence_id,drop_reason
survey.tex,"The PersonageNLG dataset \cite{ramirez2023controlling} contains 88,855 restaurant recommendations, which vary by Big-5 personality traits, namely agreeable, disagreeable, conscientious, unconscientious, and extrovert.",ramirez2023controlling,2401.00609,"A Survey of Personality, Persona, and Profile in Conversational Agents and Chatbots",s0001,single_cite_key
TEMP.tex,"In contrast to absolute positional embeddings, Transformers equipped with relative positional embeddings showcase the capability to generalize to sequences surpassing the lengths encountered in training, demonstrating proficiency in extrapolation \cite{press2021train}.",press2021train,2312.17044,Length Extrapolation of Transformers: A Survey from the Perspective of Positional Encoding,s0002,single_cite_key
Related.tex,"In contrast to framing bias, epistemological bias is rather subtle and implicit \cite{Recasens_2013}.",Recasens_2013,2312.16148,The Media Bias Taxonomy: A Systematic Literature Review on the Forms and Automated Detection of Media Bias,s0003,single_cite_key
CS_method_old.tex,"In contrast to this, there are studies \citep{GargE3635, sweeney-najafian-2019-transparent} which claim that word embeddings are trained using corpora containing bias in them hence, these word embeddings reflect their bias in the language models using the embeddings and in turn are biased.","GargE3635, sweeney-najafian-2019-transparent",2312.16148,The Media Bias Taxonomy: A Systematic Literature Review on the Forms and Automated Detection of Media Bias,s0004,all_keys_unresolved
CS_method_old.tex,"These models often are trained using large sets of data acquired from different sources, there is a possibility that these data may contain stereotyped biased knowledge and generate biased language models hence, the authors of} \citep{garrido2021survey} \hl{argue that 'fairness' to be considered when developing such models.} %TODO Smi here %However in contrast to these approaches, a literature survey \citep{blodgett2020language}\hl{ conducted on 146 papers analyzing 'bias' in general including m",garrido2021survey;blodgett2020language,2312.16148,The Media Bias Taxonomy: A Systematic Literature Review on the Forms and Automated Detection of Media Bias,s0005,all_keys_unresolved
3.7-tasks_embodied.tex,"In contrast to the aforementioned studies, \citet{nascimento2023selfadaptive} propose the integration of LLMs, such as GPT-based technologies, into multi-agent systems (MASs).",nascimento2023selfadaptive,2312.11562,A Survey of Reasoning with Foundation Models,s0008,single_cite_key
1-introduction.tex,"Right: Overview of the reasoning techniques for foundation models, as detailed in Section~\ref{sec:technique}.} \label{fig:intro_overview} \end{figure} In contrast to current surveys that have primarily focused on specific aspects of foundation models, such as prompts~\citep{qiao2022reasoning}, hallucination ~\citep{rawte2023survey}, deductive reasoning~\citep{huang2022towards}, logical reasoning~\citep{friedman2023large,yang2023logical}, causal reasoning~\citep{kiciman2023causal, stolfo2022caus","qiao2022reasoning;rawte2023survey;huang2022towards;friedman2023large,yang2023logical;kiciman2023causal, stolfo2022causal;qiu2023large;xi2023rise",2312.11562,A Survey of Reasoning with Foundation Models,s0009,likely_latex_artifact
3.8-tasks_others.tex,"\citet{kazemi2023boardgameqa} frame the problem of \emph{reasoning with contradictory information}, guided by source preferences, as a classical problem of \emph{defeasible reasoning}.",kazemi2023boardgameqa,2312.11562,A Survey of Reasoning with Foundation Models,s0010,single_cite_key
4_evaluation.tex,"For example, \citet{munyer2023deeptextmark} used the Universal Sentence Encoder \cite{cer2018universal}, while \citet{yoo2023robust, abdelnabi2021adversarial, yang2022tracing} used Sentence-BERT \cite{reimers2019sentence}, and \citet{yang2023watermarking} used all-MiniLM-L6-v2.","munyer2023deeptextmark;cer2018universal;yoo2023robust, abdelnabi2021adversarial, yang2022tracing;reimers2019sentence;yang2023watermarking",2312.07913,A Survey of Text Watermarking in the Era of Large Language Models,s0011,likely_latex_artifact
3_Model.tex,"% % % (3) Coherence and Consistency of Responses: Long context processing helps to maintain thematic consistency~\citep{tam2022evaluating}, avoid contradictions, and ensure that the generated text flows logically from one sentence to the next.",tam2022evaluating,2312.03863,Efficient Large Language Models: A Survey,s0012,single_cite_key
sample-acmsmall-submission-newversion.tex,"However, \citet{p35} aimed at detecting semantic shifts incrementally.",p35,2312.02901,Concept Drift Adaptation in Text Stream Mining Settings: A Systematic Review,s0015,single_cite_key
sample-acmsmall-submission-newversion.tex,"However, \citet{p14} explicitly emphasized their concern about handling the \textit{virtual drift} problem.",p14,2312.02901,Concept Drift Adaptation in Text Stream Mining Settings: A Systematic Review,s0016,single_cite_key
sample-acmsmall-submission-newversion.tex,"However, \citet{p33} covered the opinion about the Green Pass concerning COVID-19.",p33,2312.02901,Concept Drift Adaptation in Text Stream Mining Settings: A Systematic Review,s0017,single_cite_key
sample-acmsmall-submission-newversion.tex,"However, \citet{p16} concatenated FastText representations to \textit{bag-of-words} representations generated in each step of an incremental procedure of accumulating data from past events.",p16,2312.02901,Concept Drift Adaptation in Text Stream Mining Settings: A Systematic Review,s0018,single_cite_key
sample-acmsmall-submission-newversion.tex,"However, \citet{p2} used only the datasets related to the Colorado Floods, containing 751 relevant and 224 irrelevant tweets, and Australian Bushfires, containing 645 relevant and 408 irrelevant tweets.",p2,2312.02901,Concept Drift Adaptation in Text Stream Mining Settings: A Systematic Review,s0019,single_cite_key
main.tex,"However, \citet{gao2021empirical} finds that aggressive filtering might lead to performance degradation on a wide range of tasks for GPT-like LLMs due to the poor representativity of the filtering proxy objectives.",gao2021empirical,2312.01700,Data Management For Training Large Language Models: A Survey,s0022,single_cite_key
main.tex,"However, \citet{zhang2024scaling} propose a power-based multiplicative joint scaling law, showing that increased fine-tuning data could lead to improved model performance after achieving good results with limited data.",zhang2024scaling,2312.01700,Data Management For Training Large Language Models: A Survey,s0023,single_cite_key
elsarticle-template-harv.tex,"Contrary to claims of \citep{anastasopoulos2018tied}, \emph{tied-triangle} architecture is no better than a direct model when fine-tuned properly.",anastasopoulos2018tied,2312.01053,End-to-End Speech-to-Text Translation: A Survey,s0025,single_cite_key
03-data.tex,"} { \paratitle{Diversity Sampling.} In contrast to the sampling methods which find difficult examples to train and annotate, methods that follow the strategy of \textit{diversity sampling} \cite{xu2003representative,hu2010off,bodo2011active,sener2017active,gissin2019discriminative,su2022selective,zhang2022allsh} want to enhance the heterogeneity of training data.","xu2003representative,hu2010off,bodo2011active,sener2017active,gissin2019discriminative,su2022selective,zhang2022allsh",2312.00678,The Efficiency Spectrum of Large Language Models: An Algorithmic Survey,s0028,likely_latex_artifact
03-data.tex,"In contrast to uncertainty sampling which finds difficult examples to annotate, methods that follow the strategy of \textbf{diversity sampling}\cite{xu2003representative,hu2010off,bodo2011active,sener2017active,gissin2019discriminative,su2022selective,zhang2022allsh} want to enhance the heterogeneity of training data.","xu2003representative,hu2010off,bodo2011active,sener2017active,gissin2019discriminative,su2022selective,zhang2022allsh",2312.00678,The Efficiency Spectrum of Large Language Models: An Algorithmic Survey,s0029,likely_latex_artifact
arxiv.tex,"% To consider $e$ as a valid entity, the sentence $s_{\widehat{\mathcal{R}}}$ containing $e$ must not present a contradiction with its counterpart sentence $s_{\mathcal{R}^*}$ in $\mathcal{R}^*$, where $s_{\mathcal{R}^*}$ refers to the sentence with the highest BERTScore \cite{Zhang*2020BERTScore:} in $\mathcal{R}^*$.",Zhang*2020BERTScore:,2311.14199,A Systematic Review of Deep Learning-based Research on Radiology Report Generation,s0031,single_cite_key
arxiv.tex,"% Herein, $\mathbf{fact}_{\mathbf{ENTNLI}}$ utilizes a pre-trained NLI model \cite{miura-etal-2021-improving} to judge whether $s_{\widehat{\mathcal{R}}}$ is a contradiction of $s_{\mathcal{R}^*}$.",miura-etal-2021-improving,2311.14199,A Systematic Review of Deep Learning-based Research on Radiology Report Generation,s0032,single_cite_key
hierarchical_attention.tex,"In contrast to the typical binary level structure above, BPT~\cite{ye2019bp} introduces a more elaborated fine-to-coarse attention mechanism that operates on multi-scale spans via binary partitioning.",ye2019bp,2311.12351,Advancing Transformer Architecture in Long-Context Large Language Models: A Comprehensive Survey,s0033,single_cite_key
spec_object.tex,"% In contrast to the conventional pretraining objectives such as MLM or CLM discussed in Sec.~\ref{subsec: preliminaries}, recent research explores tailored approaches to adapt pretraining for specific tasks, aiming to enhance LLMs' efficacy in capturing intricate long-range dependencies and discourse structures in longer texts compared to shorter ones~\cite{dong2023survey}.",dong2023survey,2311.12351,Advancing Transformer Architecture in Long-Context Large Language Models: A Comprehensive Survey,s0034,single_cite_key
spec_object.tex,"In contrast to conventional pretraining objectives like MLM or CLM (discussed in Sec.~\ref{subsec: preliminaries}), recent research explores tailored approaches to adapt pretraining for specific tasks, aiming to enhance LLMs' effectiveness in capturing intricate long-range dependencies and discourse structures in longer texts compared to shorter ones~\cite{dong2023survey}.",dong2023survey,2311.12351,Advancing Transformer Architecture in Long-Context Large Language Models: A Comprehensive Survey,s0035,single_cite_key
main.tex,"Furthermore, the protocols for estimating confidence and extracting predictions from generated outputs will significantly influence the evaluation of models~\cite{kumar2022answer} % The differences between generative language models and discriminative language models are as follows: % \paragraph{Output Space and Computational Cost} % In contrast to discriminative models that easily yield probability scores for specific categories, generative LMs face an exponential expansion of their output spac",kumar2022answer,2311.08298,A Survey of Confidence Estimation and Calibration in Large Language Models,s0036,single_cite_key
sec_conclusion.tex,"Contrary to the models' perfect scores on HumanEval, these repository-level benchmarks expose LLMs' limits in real-world applications, with the most recent SWE-agent resolving only 12.5\% real-world GitHub issues in SWE-bench~\citep{2024SWE-agent}.",2024SWE-agent,2311.07989,Unifying the Perspectives of NLP and Software Engineering: A Survey on Language Models for Code,s0043,single_cite_key
knowledge_edit.tex,"In contrast to the utilization of user feedback, PACE \cite{dong2023pace} leverages LLMs' own judgment to criticize the response and refine the prompt, which successfully boosts the performance of medium/low-quality human-written prompts.",dong2023pace,2311.05876,"Trends in Integration of Knowledge and Large Language Models: A Survey and Taxonomy of Methods, Benchmarks, and Applications",s0044,single_cite_key
knowledge_edit.tex,"However, \citet{DBLP:journals/corr/abs-2301-04213} demonstrates that these knowledge-storage parameters are not exactly the same as the neurons that can be efficiently adjusted to edit the model.",DBLP:journals/corr/abs-2301-04213,2311.05876,"Trends in Integration of Knowledge and Large Language Models: A Survey and Taxonomy of Methods, Benchmarks, and Applications",s0045,single_cite_key
acl_latex.tex,"\citet{DBLP:journals/corr/abs-2305-06311} further propose a new problem formulation that categorizes attribution into three types: 1) attributable: the reference fully supports the generated statement; 2) extrapolatory: the reference lacks sufficient information to support the generated statement, and 3) contradictory: the generated statement directly contradicts the cited reference.",DBLP:journals/corr/abs-2305-06311,2311.03731,A Survey of Large Language Models Attribution,s0046,single_cite_key
acl_latex.tex,"Building on this, ~\citet{DBLP:journals/corr/abs-2305-06311} introduced a refined categorization of attribution: 1) attributable--where the reference entirely backs the generated statement; 2) extrapolatory--where the reference offers insufficient backing for the statement; and 3) contradictory--where the statement directly opposes the referenced citation.",DBLP:journals/corr/abs-2305-06311,2311.03731,A Survey of Large Language Models Attribution,s0047,single_cite_key
