arxiv_id,title,query
2306.10530,Gender Bias in Transformer Models: A comprehensive survey,bias survey
2112.14168,A Survey on Gender Bias in Natural Language Processing,bias survey
2507.07188,Prompt Perturbations Reveal Human-Like Biases in Large Language Model Survey Responses,bias survey
2405.06058,Large Language Models Show Human-like Social Desirability Biases in Survey Responses,bias survey
2407.09861,A Systematic Survey of Natural Language Processing for the Greek Language,bias survey
2306.08158,Sociodemographic Bias in Language Models: A Survey and Forward Path,bias survey
2510.11408,"Valid Survey Simulations with Limited Human Data: The Roles of Prompting, Fine-Tuning, and Rectification",bias survey
2208.12852,What Do NLP Researchers Believe? Results of the NLP Community Metasurvey,bias survey
2508.20201,Social Bias in Multilingual Language Models: A Survey,bias survey
2112.07447,Measuring Fairness with Biased Rulers: A Survey on Quantifying Biases in Pretrained Language Models,fairness survey natural language
2506.23411,Datasets for Fairness in Language Models: An In-Depth Survey,fairness survey natural language
2404.01349,Fairness in Large Language Models: A Taxonomic Survey,fairness survey natural language
2405.13025,"A survey on fairness of large language models in e-commerce: progress, application, and challenge",fairness survey natural language
2608.24977,"Retrieved But Not Reliable: A Survey on Attacks, and Defenses in Retrieval-Augmented Generation",fairness survey natural language
2211.05617,Debiasing Methods for Fairer Neural Models in Vision and Language Research: A Survey,fairness survey natural language
2409.16430,A Comprehensive Survey of Bias in LLMs: Current Landscape and Future Directions,fairness survey natural language
2406.19097,Fairness and Bias in Multimodal AI: A Survey,fairness survey natural language
2403.09606,Large Language Models and Causal Inference in Collaboration: A Survey,fairness survey natural language
2512.02763,SurveyEval: Towards Comprehensive Evaluation of LLM-Generated Academic Surveys,evaluation survey language models
2502.14776,SurveyX: Academic Survey Automation via Large Language Models,evaluation survey language models
2108.00308,Human Evaluation of Creative NLG Systems: An Interdisciplinary Survey on Recent Papers,evaluation survey language models
2508.15658,SurGE: A Benchmark and Evaluation Framework for Scientific Survey Generation,evaluation survey language models
2406.10252,AutoSurvey: Large Language Models Can Automatically Write Surveys,evaluation survey language models
2510.06242,Transparent Reference-free Automated Evaluation of Open-Ended User Survey Responses,evaluation survey language models
2512.14562,Polypersona: Persona-Grounded LLM for Synthetic Survey Responses,evaluation survey language models
2404.12041,A Survey of Automatic Hallucination Evaluation on Natural Language Generation,evaluation survey language models
