arxiv_id,title,published
2401.12982,A Comprehensive Survey of Text Classification Techniques and Their Research Applications: Observational and Experimental Insights,2024-01-11
2401.06805,Exploring the Reasoning Abilities of Multimodal Large Language Models (MLLMs): A Comprehensive Survey on Emerging Trends in Multimodal Reasoning,2024-01-10
2401.06792,LightHouse: A Survey of AGI Hallucination,2024-01-08
2401.01313,A Comprehensive Survey of Hallucination Mitigation Techniques in Large Language Models,2024-01-02
2402.01642,Detection of Machine-Generated Text: Literature Survey,2024-01-02
2401.00812,"If LLM Is the Wizard, Then Code Is the Wand: A Survey on How Code Empowers Large Language Models to Serve as Intelligent Agents",2024-01-01
2401.00609,"A Survey of Personality, Persona, and Profile in Conversational Agents and Chatbots",2023-12-31
2312.17617,Large Language Models for Generative Information Extraction: A Survey,2023-12-29
2312.17432,Video Understanding with Large Language Models: A Survey,2023-12-29
2312.17044,Length Extrapolation of Transformers: A Survey from the Perspective of Positional Encoding,2023-12-28
2312.16156,From text to multimodal: a survey of adversarial example generation in question answering systems,2023-12-26
2312.16148,The Media Bias Taxonomy: A Systematic Literature Review on the Forms and Automated Detection of Media Bias,2023-12-26
2312.13871,"Evaluating Task-oriented Dialogue Systems: A Systematic Review of Measures, Constructs and their Operationalisations",2023-12-21
2312.11970,Large Language Models Empowered Agent-based Modeling and Simulation: A Survey and Perspectives,2023-12-19
2312.10997,Retrieval-Augmented Generation for Large Language Models: A Survey,2023-12-18
2312.10868,From Google Gemini to OpenAI Q* (Q-Star): A Survey of Reshaping the Generative Artificial Intelligence (AI) Research Landscape,2023-12-18
2312.11562,A Survey of Reasoning with Foundation Models,2023-12-17
2312.07913,A Survey of Text Watermarking in the Era of Large Language Models,2023-12-13
2312.17253,Deep Learning-based Sentiment Classification: A Comparative Survey,2023-12-12
2312.06224,Medical Vision Language Pretraining: A survey,2023-12-11
2312.05172,From Lengthy to Lucid: A Systematic Literature Review on NLP Techniques for Taming Long Sentences,2023-12-08
2312.04775,How to Determine the Most Powerful Pre-trained Language Model without Brute Force Fine-tuning? An Empirical Survey,2023-12-08
2312.03863,Efficient Large Language Models: A Survey,2023-12-06
2312.02901,Concept Drift Adaptation in Text Stream Mining Settings: A Systematic Review,2023-12-05
2312.02783,Large Language Models on Graphs: A Comprehensive Survey,2023-12-05
2312.01700,Data Management For Training Large Language Models: A Survey,2023-12-04
2312.01082,A Survey on Stability of Learning with Limited Labelled Data and its Sensitivity to the Effects of Randomness,2023-12-02
2312.01053,End-to-End Speech-to-Text Translation: A Survey,2023-12-02
2312.00678,The Efficiency Spectrum of Large Language Models: An Algorithmic Survey,2023-12-01
2312.04578,Towards a Psychological Generalist AI: A Survey of Current Applications of Large Language Models and Future Prospects,2023-12-01
2312.03740,A Survey on Prompting Techniques in LLMs,2023-11-28
2311.16789,"A Survey of the Evolution of Language Model-Based Dialogue Systems: Data, Task and Models",2023-11-28
2312.03736,De-identification of clinical free text using natural language processing: A systematic review of current approaches,2023-11-28
2312.03718,Large Language Models in Law: A Survey,2023-11-26
2311.14199,A Systematic Review of Deep Learning-based Research on Radiology Report Generation,2023-11-23
2311.12474,CSMeD: Bridging the Dataset Gap in Automated Citation Screening for Systematic Literature Reviews,2023-11-21
2311.12399,A Survey of Graph Meets Large Language Model: Progress and Future Directions,2023-11-21
2311.12351,Advancing Transformer Architecture in Long-Context Large Language Models: A Comprehensive Survey,2023-11-21
2311.11796,Beyond Boundaries: A Comprehensive Survey of Transferable Attacks on AI Systems,2023-11-20
