file,sentence,cited_keys,survey_arxiv_id,survey_title
apidianaki-2023-word.pdf,"Rajaee and Pilehvar (2022) show that the spaces that are created by mBERT in different languages are also massively anisotropic.39 However, unlike monolingual models, there is no dominant dimension that has high contribution to the anisotropic distribution.40 This contradicts the ﬁnding of Luo, Kulmizev, and Mao (2021) about the role of position embeddings in the emergence of outliers, since monolingual and multilingual spaces are constructed using the same training procedure which involves posi","Rajaee and Pilehvar, 2022;Mao, 2021",apidianaki-2023-word,From Word Types to Tokens and Back: A Survey of Approaches to Word Meaning Representation and Interpretation
artstein-poesio-2008-survey.pdf,"S, π, κ = Ao −Ae 1 −Ae The three best-known coefﬁcients, S (Bennett, Alpert, and Goldstein 1954), π (Scott 1955), and κ (Cohen 1960), and their generalizations, all use this formula; whereas Krippendorff’s α is based on a related formula expressed in terms of disagreement (see Section 2.6).",Scott 1955;Cohen 1960,artstein-poesio-2008-survey,Survey Article: Inter-Coder Agreement for Computational Linguistics
ganesh-etal-2023-survey.pdf,"In follow-up work, Elsner and Charniak (2011) experiment with incorporating discourse coherence models (Lapata et al., 2005; Soricut and Marcu, 2006) for disentanglement, and find mixed results on the IRC corpus: models of local coherence help with assigning individual utterances into the right threads, but not in 142 disentangling entire conversations.","Lapata et al., 2005;Soricut and Marcu, 2006;Elsner and Charniak, 2011",ganesh-etal-2023-survey,A Survey of Challenges and Methods in the Computational Modeling of Multi-Party Dialog
gari-soler-etal-2025-potentially.pdf,"Going against conversational maxims (Grice, 1975) can cause confusion for the listener, especially the maxim of quality, with contradictory statements, jokes, information that goes against common sense, or vandalism in, for example, collaborative text editing (Adler et al., 2011).","Grice, 1975;Adler et al., 2011",gari-soler-etal-2025-potentially,Potentially Problematic Word Usages and How to Detect Them: A Survey
hanmeng-yue-2024-da.pdf,类比推理: 基于已知相似情况间的比较，类比推理涉及从一个实例到另一个实例的推断。 它通常用于解决问题和创造性思考，通过寻找不同情境之间的相似性来推导结论。例如， 如果知道行星绕太阳运行的轨迹是椭圆形，类比推理可以帮助人们推测其他天体可能也呈 现相似的轨道特征。 2.2 发展历程 对逻辑推理的研究可以追溯到古希腊时期，亚里士多德（Aristotle）被认为是逻辑学之 父。他提出了著名的三段论，奠定了古典逻辑的基础，至今仍对逻辑推理有着深远的影响。进 入中世纪，逻辑学得到了进一步的发展。学者们开始对亚里士多德的逻辑进行更深入的分析和 发展，为逻辑学的深化和完善做出了重要贡献。 17世纪，莱布尼茨（Leibniz）的工作标志着逻辑学开始与数学和哲学结合，为后来的形 式逻辑和数理逻辑奠定了基础。他的普遍语言（universal language）和推理计算器（calculus ratiocinator）的概念，预示了逻辑与计算机科学的结合。19世纪，乔治·布尔（George Boole） 发展了布尔代数，将逻辑表达为代数形式，这是数理逻辑的重要里程碑。布尔代数不仅为逻辑 提供了一种新的数学表述,"McCarthy, 1978;McDermott and Doyle, 1980;Kowalski, 1974;Lenat, 1995;Yang et al., 2017;Selsam et al., 2018;Cingillioglu and Russo, 2019;Wang et al., 2019;Liu et al., 2023a;Yu et al., 2020;Wang et al., 2022;Sinha et al., 2019;Liu et al., 2021;Han et al., 2022;Tian et al., 2021;Clark et al., 2020;Parmar et al., 2023;Luo et al., 2024;Helwe et al., 2022;Del and Fishel, 2023;Haugeland, 1989",hanmeng-yue-2024-da,大模型逻辑推理研究综述(Survey on Logical Reasoning of Large Pre-trained Language Models)
kumar-etal-2026-looking.pdf,"iv Anchoring bias: It refers to the undue influence of an initial diagnostic impression on subsequent decision-making despite new contradictory information, is typically viewed as a source of diagnostic error in radiology (Itri and Patel, 2018; Yoon et al., 2024).","Itri and Patel, 2018;Yoon et al., 2024",kumar-etal-2026-looking,Looking at Radiology Report Generation through a Causal Lens: A Survey
lamsiyah-etal-2025-trust.pdf,"Faithfulness refers to the extent to which a summary is directly supported by its source, without adding, omitting, or contradicting information (Maynez et al., 2020; Dong et al., 2022; Li et al., 2022).","Maynez et al., 2020;Dong et al., 2022;Li et al., 2022",lamsiyah-etal-2025-trust,Trust but Verify: A Comprehensive Survey of Faithfulness Evaluation Methods in Abstractive Text Summarization
lamsiyah-etal-2025-trust.pdf,"Errors in generation are commonly described as hallucinations, which can be classified as intrinsic, when the summary contradicts the source, or extrinsic when it introduces unverifiable or fabricated content (Zhao et al., 2020; Cao and Wang, 2021; Huang et al., 2021; Ji et al., 2023).","Zhao et al., 2020;Cao and Wang, 2021;Huang et al., 2021;Ji et al., 2023",lamsiyah-etal-2025-trust,Trust but Verify: A Comprehensive Survey of Faithfulness Evaluation Methods in Abstractive Text Summarization
liu-etal-2025-large-language.pdf,"For example, sensitivity to prompt design leads to inconsistent results (Long et al., 2023); pairwise judgments can lead to cycles in the full causal graph (Vashishtha et al., 2023); pairwise judgments require large computational cost when applying to a large-scale dataset, N variables would require N 2 prompts (Ban et al., 2023a); LLMs still provide false information despite achieving strong results in many cases (Long et al., 2023; Tu et al., 2023; Joshi et al., 2024).","Long et al., 2023;Vashishtha et al., 2023;Ban et al., 2023a;Tu et al., 2023;Joshi et al., 2024",liu-etal-2025-large-language,Large Language Models and Causal Inference in Collaboration: A Comprehensive Survey
ocampo-diaz-ng-2018-modeling.pdf,"Review length has been shown multiple times to be strongly (positively) correlated to helpfulness (Kim et al., 2006; Liu et al., 2007; Otterbacher, 2009; Mudambi and Schuff, 2010; Cao et al., 2011; Pan and Zhang, 2011; Yang et al., 2015; Bjering et al., 2015; Huang et al., 2015; Salehan and Kim, 2016) with only few researchers disagreeing on the existence of the correlation (Zhang and Varadarajan, 2006; Korﬁatis et al., 2012).","Kim et al., 2006;Liu et al., 2007;Otterbacher, 2009;Mudambi and Schuff, 2010;Cao et al., 2011;Pan and Zhang, 2011;Yang et al., 2015;Bjering et al., 2015;Huang et al., 2015;Salehan and Kim, 2016",ocampo-diaz-ng-2018-modeling,Modeling and Prediction of Online Product Review Helpfulness: A Survey
robin-etal-2020-term.pdf,"In the Aspect Term Extraction sub task of SemEval 2014 Task 4 (Pontiki et al., 2014), despite the strict guidelines given for the task of manual creation of the gold standard, the authors acknowledge disagreements between the annotators on deciding the exact boundaries of the terms (whether to include conjunctions, some adjectives, etc.) Astrakhantsev (2018) and ˇSajatovi´c et al.","Pontiki et al., 2014;Astrakhantsev, 2018",robin-etal-2020-term,A Term Extraction Approach to Survey Analysis in Health Care
rodrigo-gines-chamorro-padial-2026-media.pdf,"Rather than resolving disagreement through aggregation, annotation frameworks should preserve individual judgments, enabling models to predict distributions of opinion rather than single labels (Basile et al., 2021; Cabitza et al., 2023).","Basile et al., 2021;Cabitza et al., 2023",rodrigo-gines-chamorro-padial-2026-media,Media Bias within Information Disorder: Bridging Two Research Communities through a Systematic Review
serban-etal-2018-survey.pdf,"The Agreement by Create Debaters Corpus (Rosenthal and McKeown, 2015), the Agreement in Wikipedia Talk Pages Corpus (Andreas et al., 2012) and the Internet Argument Corpus (Abbott et al., 2016) all cover dialogues with annotations measuring levels of agreement or disagreement in responses to posts in various media.","Rosenthal and McKeown, 2015;Andreas et al., 2012;Abbott et al., 2016",serban-etal-2018-survey,A Survey of Available Corpora For Building Data-Driven Dialogue Systems: The Journal Version
shi-etal-2024-medical.pdf,"In contrast to traditional fine-tuning meth2845 ods (Hu et al., 2023), prompt tuning only finetuning a very small set of parameters, thus effectively aligning LLMs to the medical domain (Nori et al., 2023).","Hu et al., 2023;Nori et al., 2023",shi-etal-2024-medical,"Medical Dialogue System: A Survey of Categories, Methods, Evaluation and Challenges"
sim-etal-2025-vlms.pdf,"Parallel research supports this finding and further reveals that text encoders preserve compositional information better than vision encoders, a result that contradicts intuition (Milewski et al., 2022; Alper et al., 2023; Wang et al., 2024b).","Milewski et al., 2022;Alper et al., 2023;Wang et al., 2024b",sim-etal-2025-vlms,Can {VLM}s Actually See and Read? A Survey on Modality Collapse in Vision-Language Models
sommerschield-etal-2023-machine.pdf,"However, the statistical approach of these works was challenged by Sproat (2010), and Sproat (2014) later introduced a novel measure based on repetition turn 723 Computational Linguistics Volume 49, Number 3 out, classifying the data for the Indus Valley script as a non-linguistic symbol system, thereby contradicting those earlier works.","Sproat, 2010;Sproat, 2014",sommerschield-etal-2023-machine,Machine Learning for Ancient Languages: A Survey
vanderlyn-etal-2022-toward.pdf,"5.3.3 Neural Approaches: Semantic Segmentation Framing In contrast to framing CUR as a sequence to sequence task, recent approaches (Liu et al., 2020a; Jiang et al., 2022; Zhang et al., 2022) propose to consider it similar to semantic segmentation or object detection in computer vision.","Liu et al., 2020a;Jiang et al., 2022;Zhang et al., 2022",vanderlyn-etal-2022-toward,Toward Implicit Reference in Dialog: A Survey of Methods and Data
wein-opitz-2024-survey.pdf,"For example, the AMR graph can be transformed to generate (1) paraphrases (e.g., by swapping the root (Huang et al., 2023), or swapping out a concept with a synonym, and then generating text (Shi et al., 2023)), or to generate (2) contradictions (e.g., by inserting a targeted negation to a predicate and then generating text from the manipulated structure (Ghazarian et al., 2022)).","Huang et al., 2023;Shi et al., 2023;Ghazarian et al., 2022",wein-opitz-2024-survey,A Survey of {AMR} Applications
wiegand-etal-2010-survey.pdf,"There have only been few research efforts in sentiment analysis examining the impact of scope modeling for negation in contrast to other research areas, such as the biomedical domain (Huang and Lowe, 2007; Morante et al., 2008; Morante and Daelemans, 2009).","Huang and Lowe, 2007;Morante et al., 2008;Morante and Daelemans, 2009",wiegand-etal-2010-survey,A survey on the role of negation in sentiment analysis
yao-yu-2026-llm.pdf,"Specialist agents matter when the case requires domain-specific constraints or structured disagreement, such as rare disease, imaging, or multidisciplinary review (Kim et al., 2024; Chen et al., 2026; Rose et al., 2025).","Kim et al., 2024;Chen et al., 2026;Rose et al., 2025",yao-yu-2026-llm,{LLM}-Based Multi-Agent Systems for Clinical Workflows: A Survey of {AI} Hospitals
yao-yu-2026-llm.pdf,"It is the ability to localize responsibility, make specialty assumptions visible, and reconcile disagreement before the workflow moves on (Chen et al., 2025c; Liu et al., 2026; Yan et al., 2025a).","Chen et al., 2025c;Liu et al., 2026;Yan et al., 2025a",yao-yu-2026-llm,{LLM}-Based Multi-Agent Systems for Clinical Workflows: A Survey of {AI} Hospitals
yao-yu-2026-llm.pdf,"Multi-Round Interactive Debate delays commitment so that disagreement can be surfaced, compared, and resolved before the workflow moves on (Fan et al., 2025; Chen et al., 2025d; Kim et al., 2024; Tang et al., 2024; Smit et al., 2024; Lu et al., 2024; Swanson et al., 2025).","Fan et al., 2025;Chen et al., 2025d;Kim et al., 2024;Tang et al., 2024;Smit et al., 2024;Lu et al., 2024;Swanson et al., 2025",yao-yu-2026-llm,{LLM}-Based Multi-Agent Systems for Clinical Workflows: A Survey of {AI} Hospitals
zerong-etal-2025-systematic.pdf,"The rest extend these label sets by adding labels such as partially supported (Li et al., 2024), Conflicting evidence/cherry-picking (Schlichtkrull et al., 2023), and Misleading (Braun et al., 2024).","Li et al., 2024;Schlichtkrull et al., 2023;Braun et al., 2024",zerong-etal-2025-systematic,"A Systematic Survey of Claim Verification: Corpora, Systems, and Case Studies"
